count(*)
99996
count(*)
99996
count(*)
0
c_nationkey	count(*)
0	50004
1	17
2	123
3	374
4	953
5	1849
6	3160
7	4512
8	5761
9	6538
10	6577
11	6021
12	5645
13	5018
14	4452
15	4450
16	4261
17	4484
18	4437
19	4753
20	4541
21	4277
22	3791
23	3286
24	2794
25	2225
26	1728
27	1283
28	954
29	656
30	427
31	266
32	157
33	89
34	57
35	36
36	22
37	9
38	5
39	2
40	3
41	3
c_nationkey	count(*)
0	5925
1	5975
2	5999
3	6020
4	5995
5	5952
6	6100
7	5908
8	6042
9	6161
10	6009
11	5963
12	5948
13	6033
14	5992
15	5921
16	5974
17	5975
18	6024
19	6100
20	5904
21	6008
22	6078
23	6011
24	5983
