ERROR 122 (HY000) at line 6: IDB-2009: Unable to perform the operation because DMLProc with PID 38391 is currently holding the table lock for session 29.
c_custkey	c_nationkey
117	24
213	24
339	24
365	24
386	24
446	24
448	24
549	24
566	24
581	24
592	24
607	24
619	24
630	24
638	24
641	24
676	24
689	24
728	24
749	24
804	24
816	24
849	24
909	24
952	24
978	24
1057	24
1093	24
1102	24
1136	24
1160	24
1235	24
1251	24
1265	24
1267	24
1268	24
1274	24
1289	24
1290	24
1295	24
1347	24
1393	24
1448	24
1454	24
1467	24
1485	24
1486	24
1493	24
1520	24
1527	24
1549	24
1567	24
1630	24
1632	24
1634	24
1646	24
1650	24
1675	24
1697	24
1718	24
1777	24
1788	24
1827	24
1834	24
1889	24
1901	24
1904	24
1907	24
1940	24
1968	24
1974	24
1997	24
2009	24
2020	24
2068	24
2087	24
2104	24
2185	24
2223	24
2235	24
2249	24
2256	24
2261	24
2262	24
2281	24
2326	24
2357	24
2361	24
2367	24
2372	24
2373	24
2391	24
2410	24
2423	24
2457	24
2482	24
2487	24
2493	24
2543	24
2554	24
