sum(lo_revenue)	d_year	p_brand1
536614942.00	1992	MFGR#2221
566576533.00	1992	MFGR#2222
611142969.00	1992	MFGR#2223
482362196.00	1992	MFGR#2224
488807456.00	1992	MFGR#2225
574589427.00	1992	MFGR#2226
488696399.00	1992	MFGR#2227
566865932.00	1992	MFGR#2228
512861914.00	1993	MFGR#2221
508210871.00	1993	MFGR#2222
568455193.00	1993	MFGR#2223
417056216.00	1993	MFGR#2224
497142055.00	1993	MFGR#2225
408684270.00	1993	MFGR#2226
513491105.00	1993	MFGR#2227
551465576.00	1993	MFGR#2228
520663174.00	1994	MFGR#2221
528071034.00	1994	MFGR#2222
533441968.00	1994	MFGR#2223
509556230.00	1994	MFGR#2224
471850865.00	1994	MFGR#2225
537913364.00	1994	MFGR#2226
551828007.00	1994	MFGR#2227
557141344.00	1994	MFGR#2228
617898238.00	1995	MFGR#2221
526589910.00	1995	MFGR#2222
468152630.00	1995	MFGR#2223
520297954.00	1995	MFGR#2224
452257255.00	1995	MFGR#2225
543149241.00	1995	MFGR#2226
429714898.00	1995	MFGR#2227
673944891.00	1995	MFGR#2228
513178621.00	1996	MFGR#2221
465686677.00	1996	MFGR#2222
520752202.00	1996	MFGR#2223
475201799.00	1996	MFGR#2224
399348332.00	1996	MFGR#2225
559356433.00	1996	MFGR#2226
545178296.00	1996	MFGR#2227
557028752.00	1996	MFGR#2228
485729811.00	1997	MFGR#2221
551054761.00	1997	MFGR#2222
601757950.00	1997	MFGR#2223
426518537.00	1997	MFGR#2224
564028380.00	1997	MFGR#2225
533736855.00	1997	MFGR#2226
621670387.00	1997	MFGR#2227
549342278.00	1997	MFGR#2228
285624374.00	1998	MFGR#2221
286336019.00	1998	MFGR#2222
290388036.00	1998	MFGR#2223
275987469.00	1998	MFGR#2224
303183944.00	1998	MFGR#2225
275867788.00	1998	MFGR#2226
257992311.00	1998	MFGR#2227
318829044.00	1998	MFGR#2228
