c_nation	s_nation	d_year	revenue
CHINA	INDIA	1992	4717026604.00
CHINA	CHINA	1992	4642850678.00
CHINA	JAPAN	1992	4637174115.00
INDONESIA	INDIA	1992	4550898876.00
INDONESIA	INDONESIA	1992	4501957460.00
JAPAN	INDONESIA	1992	4473040290.00
CHINA	INDONESIA	1992	4459841301.00
VIETNAM	INDIA	1992	4405297190.00
INDONESIA	CHINA	1992	4393310080.00
JAPAN	INDIA	1992	4376445625.00
INDIA	INDIA	1992	4319943279.00
JAPAN	CHINA	1992	4310539045.00
INDIA	VIETNAM	1992	4269378327.00
VIETNAM	CHINA	1992	4238442959.00
VIETNAM	INDONESIA	1992	4232410638.00
JAPAN	VIETNAM	1992	4231286525.00
CHINA	VIETNAM	1992	4225787175.00
VIETNAM	VIETNAM	1992	4196829794.00
INDONESIA	VIETNAM	1992	4179497498.00
INDIA	INDONESIA	1992	4074067067.00
INDIA	JAPAN	1992	4044118020.00
JAPAN	JAPAN	1992	3998315020.00
INDONESIA	JAPAN	1992	3927317473.00
VIETNAM	JAPAN	1992	3877833798.00
INDIA	CHINA	1992	3795201384.00
CHINA	CHINA	1993	4795434938.00
INDONESIA	INDIA	1993	4710936663.00
VIETNAM	CHINA	1993	4634440676.00
VIETNAM	INDIA	1993	4581780404.00
CHINA	INDIA	1993	4553980408.00
INDONESIA	INDONESIA	1993	4520923464.00
VIETNAM	VIETNAM	1993	4473518321.00
INDONESIA	CHINA	1993	4438884279.00
JAPAN	CHINA	1993	4390571671.00
INDIA	INDONESIA	1993	4374479695.00
VIETNAM	INDONESIA	1993	4373053490.00
CHINA	VIETNAM	1993	4358195908.00
JAPAN	INDIA	1993	4329557004.00
INDIA	INDIA	1993	4325899991.00
CHINA	INDONESIA	1993	4318839312.00
INDIA	CHINA	1993	4316812952.00
INDONESIA	VIETNAM	1993	4159442422.00
CHINA	JAPAN	1993	4146323494.00
INDONESIA	JAPAN	1993	4122674886.00
VIETNAM	JAPAN	1993	4116451431.00
INDIA	VIETNAM	1993	4116282351.00
JAPAN	VIETNAM	1993	4068715535.00
JAPAN	INDONESIA	1993	3976449468.00
JAPAN	JAPAN	1993	3858405788.00
INDIA	JAPAN	1993	3729037351.00
CHINA	INDIA	1994	4947383667.00
INDONESIA	INDIA	1994	4716090262.00
CHINA	INDONESIA	1994	4712627764.00
CHINA	CHINA	1994	4700479076.00
INDONESIA	VIETNAM	1994	4569598360.00
INDONESIA	INDONESIA	1994	4517962084.00
INDONESIA	CHINA	1994	4509988906.00
VIETNAM	INDIA	1994	4503284312.00
JAPAN	INDIA	1994	4461023305.00
VIETNAM	CHINA	1994	4426330553.00
CHINA	VIETNAM	1994	4365938016.00
VIETNAM	VIETNAM	1994	4341324127.00
VIETNAM	INDONESIA	1994	4294967900.00
JAPAN	INDONESIA	1994	4275351198.00
INDIA	INDONESIA	1994	4228219614.00
INDIA	CHINA	1994	4209931944.00
JAPAN	CHINA	1994	4179978668.00
INDONESIA	JAPAN	1994	4111405794.00
VIETNAM	JAPAN	1994	4084280415.00
CHINA	JAPAN	1994	4064428331.00
INDIA	INDIA	1994	4047510185.00
JAPAN	VIETNAM	1994	4021168747.00
INDIA	VIETNAM	1994	3863444054.00
JAPAN	JAPAN	1994	3702738785.00
INDIA	JAPAN	1994	3556880334.00
INDONESIA	CHINA	1995	4763097756.00
CHINA	INDIA	1995	4714139935.00
CHINA	INDONESIA	1995	4638813032.00
JAPAN	CHINA	1995	4534258998.00
CHINA	VIETNAM	1995	4531317197.00
INDONESIA	INDIA	1995	4529599248.00
INDIA	INDIA	1995	4471761734.00
CHINA	CHINA	1995	4471087074.00
INDONESIA	VIETNAM	1995	4441132518.00
VIETNAM	CHINA	1995	4430395688.00
VIETNAM	INDONESIA	1995	4427931743.00
INDONESIA	INDONESIA	1995	4407013762.00
CHINA	JAPAN	1995	4388899465.00
VIETNAM	INDIA	1995	4363720308.00
JAPAN	VIETNAM	1995	4243083240.00
JAPAN	INDIA	1995	4235219733.00
JAPAN	INDONESIA	1995	4205952662.00
VIETNAM	VIETNAM	1995	4150285175.00
INDIA	INDONESIA	1995	4104218740.00
INDONESIA	JAPAN	1995	4096385055.00
INDIA	JAPAN	1995	4093591652.00
VIETNAM	JAPAN	1995	4092676256.00
INDIA	CHINA	1995	4069241105.00
JAPAN	JAPAN	1995	3900830547.00
INDIA	VIETNAM	1995	3850282039.00
INDONESIA	INDIA	1996	4968031186.00
CHINA	INDIA	1996	4764207811.00
INDONESIA	CHINA	1996	4740947944.00
CHINA	CHINA	1996	4716483583.00
INDONESIA	VIETNAM	1996	4665281636.00
VIETNAM	INDIA	1996	4655560921.00
CHINA	VIETNAM	1996	4564268791.00
VIETNAM	CHINA	1996	4451367194.00
JAPAN	INDIA	1996	4387495214.00
INDONESIA	INDONESIA	1996	4343974347.00
CHINA	JAPAN	1996	4302465609.00
INDIA	INDONESIA	1996	4291111083.00
VIETNAM	VIETNAM	1996	4265872177.00
INDONESIA	JAPAN	1996	4255630834.00
CHINA	INDONESIA	1996	4215098399.00
VIETNAM	JAPAN	1996	4209205652.00
JAPAN	INDONESIA	1996	4135813257.00
INDIA	CHINA	1996	4115863796.00
JAPAN	CHINA	1996	4091045178.00
INDIA	INDIA	1996	4084805343.00
VIETNAM	INDONESIA	1996	4079943063.00
JAPAN	VIETNAM	1996	4029547483.00
JAPAN	JAPAN	1996	3920448212.00
INDIA	VIETNAM	1996	3843408876.00
INDIA	JAPAN	1996	3737937757.00
CHINA	INDIA	1997	4567031030.00
CHINA	CHINA	1997	4459729228.00
INDIA	INDIA	1997	4432191709.00
INDONESIA	INDIA	1997	4391082956.00
INDONESIA	CHINA	1997	4378076291.00
JAPAN	INDIA	1997	4376400680.00
CHINA	INDONESIA	1997	4375686329.00
VIETNAM	VIETNAM	1997	4369935904.00
INDONESIA	VIETNAM	1997	4330485159.00
VIETNAM	INDIA	1997	4298585389.00
VIETNAM	CHINA	1997	4269996438.00
INDONESIA	INDONESIA	1997	4262587478.00
INDIA	INDONESIA	1997	4243857357.00
INDIA	CHINA	1997	4182963860.00
VIETNAM	INDONESIA	1997	4172328119.00
CHINA	VIETNAM	1997	4157328465.00
JAPAN	JAPAN	1997	4128479573.00
JAPAN	INDONESIA	1997	4121128588.00
INDONESIA	JAPAN	1997	4120596213.00
JAPAN	CHINA	1997	4075354459.00
INDIA	VIETNAM	1997	3997340137.00
JAPAN	VIETNAM	1997	3996423289.00
CHINA	JAPAN	1997	3965669688.00
VIETNAM	JAPAN	1997	3908199624.00
INDIA	JAPAN	1997	3819678440.00
