c_city	s_city	d_year	revenue
UNITED ST3	UNITED ST4	1992	90757339.00
UNITED ST7	UNITED ST4	1992	84770807.00
UNITED ST6	UNITED ST0	1992	83548464.00
UNITED ST2	UNITED ST0	1992	79638573.00
UNITED ST0	UNITED ST6	1992	79563543.00
UNITED ST4	UNITED ST0	1992	76840524.00
UNITED ST8	UNITED ST0	1992	76400246.00
UNITED ST0	UNITED ST0	1992	74810264.00
UNITED ST2	UNITED ST1	1992	72723191.00
UNITED ST9	UNITED ST5	1992	71720497.00
UNITED ST3	UNITED ST0	1992	70146346.00
UNITED ST1	UNITED ST4	1992	66075681.00
UNITED ST5	UNITED ST0	1992	64963611.00
UNITED ST6	UNITED ST6	1992	63721997.00
UNITED ST6	UNITED ST4	1992	62967796.00
UNITED ST8	UNITED ST4	1992	59391066.00
UNITED ST9	UNITED ST2	1992	59058101.00
UNITED ST9	UNITED ST3	1992	58976766.00
UNITED ST9	UNITED ST7	1992	58176781.00
UNITED ST9	UNITED ST8	1992	58070343.00
UNITED ST9	UNITED ST0	1992	57745124.00
UNITED ST0	UNITED ST4	1992	54665074.00
UNITED ST4	UNITED ST4	1992	53881117.00
UNITED ST4	UNITED ST9	1992	52694846.00
UNITED ST0	UNITED ST7	1992	52172920.00
UNITED ST1	UNITED ST7	1992	51767206.00
UNITED ST0	UNITED ST5	1992	51380835.00
UNITED ST8	UNITED ST3	1992	50796539.00
UNITED ST3	UNITED ST2	1992	49963192.00
UNITED ST2	UNITED ST6	1992	49012870.00
UNITED ST4	UNITED ST5	1992	48549750.00
UNITED ST0	UNITED ST8	1992	48061929.00
UNITED ST8	UNITED ST1	1992	47732591.00
UNITED ST4	UNITED ST2	1992	47665282.00
UNITED ST7	UNITED ST6	1992	46911909.00
UNITED ST5	UNITED ST4	1992	46002223.00
UNITED ST0	UNITED ST9	1992	44961823.00
UNITED ST2	UNITED ST8	1992	44862459.00
UNITED ST2	UNITED ST4	1992	44507490.00
UNITED ST4	UNITED ST8	1992	44409414.00
UNITED ST5	UNITED ST7	1992	43903679.00
UNITED ST4	UNITED ST6	1992	43887013.00
UNITED ST8	UNITED ST2	1992	43301582.00
UNITED ST6	UNITED ST8	1992	43198904.00
UNITED ST2	UNITED ST2	1992	42737960.00
UNITED ST1	UNITED ST5	1992	42432153.00
UNITED ST8	UNITED ST6	1992	41848902.00
UNITED ST6	UNITED ST9	1992	41671258.00
UNITED ST5	UNITED ST1	1992	41270926.00
UNITED ST9	UNITED ST4	1992	40866468.00
UNITED ST8	UNITED ST8	1992	40748093.00
UNITED ST2	UNITED ST9	1992	40650457.00
UNITED ST4	UNITED ST1	1992	40513075.00
UNITED ST6	UNITED ST7	1992	39227260.00
UNITED ST1	UNITED ST2	1992	38258061.00
UNITED ST9	UNITED ST1	1992	38127813.00
UNITED ST3	UNITED ST1	1992	37817090.00
UNITED ST3	UNITED ST8	1992	37288287.00
UNITED ST1	UNITED ST0	1992	37285422.00
UNITED ST0	UNITED ST3	1992	37205264.00
UNITED ST8	UNITED ST9	1992	37031174.00
UNITED ST1	UNITED ST3	1992	36476521.00
UNITED ST9	UNITED ST9	1992	36079713.00
UNITED ST9	UNITED ST6	1992	35735500.00
UNITED ST3	UNITED ST6	1992	35608823.00
UNITED ST7	UNITED ST0	1992	34623691.00
UNITED ST1	UNITED ST1	1992	34446802.00
UNITED ST7	UNITED ST5	1992	34407260.00
UNITED ST3	UNITED ST3	1992	34405444.00
UNITED ST2	UNITED ST3	1992	33886514.00
UNITED ST5	UNITED ST5	1992	33459801.00
UNITED ST1	UNITED ST6	1992	33289184.00
UNITED ST3	UNITED ST7	1992	32759912.00
UNITED ST7	UNITED ST1	1992	32335275.00
UNITED ST8	UNITED ST7	1992	30874288.00
UNITED ST5	UNITED ST6	1992	30639530.00
UNITED ST7	UNITED ST8	1992	28934508.00
UNITED ST0	UNITED ST1	1992	28845751.00
UNITED ST4	UNITED ST7	1992	28708967.00
UNITED ST7	UNITED ST9	1992	27784652.00
UNITED ST5	UNITED ST3	1992	27211988.00
UNITED ST6	UNITED ST1	1992	27165819.00
UNITED ST7	UNITED ST7	1992	26785903.00
UNITED ST6	UNITED ST2	1992	25808244.00
UNITED ST3	UNITED ST5	1992	24980140.00
UNITED ST7	UNITED ST2	1992	24331672.00
UNITED ST5	UNITED ST2	1992	23941214.00
UNITED ST2	UNITED ST5	1992	23233916.00
UNITED ST6	UNITED ST3	1992	23034357.00
UNITED ST1	UNITED ST9	1992	22226802.00
UNITED ST2	UNITED ST7	1992	21386346.00
UNITED ST3	UNITED ST9	1992	20986047.00
UNITED ST4	UNITED ST3	1992	20400466.00
UNITED ST8	UNITED ST5	1992	19573182.00
UNITED ST7	UNITED ST3	1992	19279205.00
UNITED ST5	UNITED ST9	1992	18801986.00
UNITED ST1	UNITED ST8	1992	18513518.00
UNITED ST5	UNITED ST8	1992	18490350.00
UNITED ST6	UNITED ST5	1992	17452742.00
UNITED ST0	UNITED ST2	1992	14757939.00
UNITED ST2	UNITED ST0	1993	88482861.00
UNITED ST8	UNITED ST0	1993	86422800.00
UNITED ST6	UNITED ST2	1993	83496825.00
UNITED ST0	UNITED ST0	1993	80274048.00
UNITED ST1	UNITED ST0	1993	75117405.00
UNITED ST8	UNITED ST7	1993	75049755.00
UNITED ST1	UNITED ST4	1993	72261855.00
UNITED ST9	UNITED ST0	1993	71943097.00
UNITED ST7	UNITED ST0	1993	69762054.00
UNITED ST0	UNITED ST9	1993	68466754.00
UNITED ST8	UNITED ST9	1993	67822641.00
UNITED ST8	UNITED ST5	1993	65913261.00
UNITED ST6	UNITED ST9	1993	65351166.00
UNITED ST8	UNITED ST4	1993	63167399.00
UNITED ST3	UNITED ST4	1993	62923881.00
UNITED ST0	UNITED ST5	1993	61474997.00
UNITED ST4	UNITED ST0	1993	60617427.00
UNITED ST7	UNITED ST1	1993	58271685.00
UNITED ST5	UNITED ST0	1993	57862591.00
UNITED ST2	UNITED ST7	1993	57721003.00
UNITED ST6	UNITED ST0	1993	57143417.00
UNITED ST3	UNITED ST0	1993	56610080.00
UNITED ST5	UNITED ST9	1993	55595882.00
UNITED ST4	UNITED ST1	1993	54958368.00
UNITED ST9	UNITED ST5	1993	54485629.00
UNITED ST3	UNITED ST7	1993	53882236.00
UNITED ST4	UNITED ST5	1993	53395203.00
UNITED ST2	UNITED ST1	1993	52923102.00
UNITED ST9	UNITED ST4	1993	52810972.00
UNITED ST1	UNITED ST9	1993	51186357.00
UNITED ST0	UNITED ST1	1993	51107109.00
UNITED ST5	UNITED ST1	1993	50726825.00
UNITED ST2	UNITED ST5	1993	50623694.00
UNITED ST1	UNITED ST5	1993	50420259.00
UNITED ST6	UNITED ST6	1993	49999347.00
UNITED ST1	UNITED ST8	1993	48940330.00
UNITED ST1	UNITED ST7	1993	48423340.00
UNITED ST7	UNITED ST5	1993	47324942.00
UNITED ST3	UNITED ST6	1993	47313283.00
UNITED ST1	UNITED ST2	1993	46461943.00
UNITED ST4	UNITED ST2	1993	45535110.00
UNITED ST4	UNITED ST7	1993	43879138.00
UNITED ST0	UNITED ST6	1993	43783051.00
UNITED ST6	UNITED ST7	1993	43518455.00
UNITED ST9	UNITED ST8	1993	43217410.00
UNITED ST6	UNITED ST5	1993	42603222.00
UNITED ST3	UNITED ST2	1993	42597804.00
UNITED ST8	UNITED ST6	1993	41514633.00
UNITED ST1	UNITED ST1	1993	40743851.00
UNITED ST7	UNITED ST7	1993	40201643.00
UNITED ST5	UNITED ST4	1993	39909231.00
UNITED ST2	UNITED ST8	1993	39797737.00
UNITED ST0	UNITED ST4	1993	39599733.00
UNITED ST2	UNITED ST4	1993	39315996.00
UNITED ST5	UNITED ST5	1993	38627829.00
UNITED ST8	UNITED ST1	1993	38205165.00
UNITED ST5	UNITED ST3	1993	37957872.00
UNITED ST7	UNITED ST9	1993	37700416.00
UNITED ST6	UNITED ST8	1993	37556601.00
UNITED ST9	UNITED ST2	1993	36881124.00
UNITED ST6	UNITED ST1	1993	36817523.00
UNITED ST5	UNITED ST6	1993	36692868.00
UNITED ST4	UNITED ST6	1993	36508901.00
UNITED ST0	UNITED ST2	1993	35899825.00
UNITED ST6	UNITED ST4	1993	34942636.00
UNITED ST5	UNITED ST7	1993	34745962.00
UNITED ST8	UNITED ST2	1993	34096906.00
UNITED ST0	UNITED ST8	1993	33750286.00
UNITED ST3	UNITED ST8	1993	33432477.00
UNITED ST0	UNITED ST3	1993	31983971.00
UNITED ST7	UNITED ST2	1993	31693311.00
UNITED ST3	UNITED ST1	1993	31529273.00
UNITED ST7	UNITED ST6	1993	29981015.00
UNITED ST5	UNITED ST2	1993	29671485.00
UNITED ST2	UNITED ST9	1993	29630171.00
UNITED ST7	UNITED ST3	1993	29576497.00
