d_year	p_color	count(*)
1994	almond	1
1994	blue	1
1994	brown	2
1994	dodger	1
1994	forest	1
1994	ivory	1
1994	light	1
1994	moccasin	1
1994	pink	1
1994	saddle	1
d_yearmonthnum	p_category	count(*)
199401	MFGR#11	15
199401	MFGR#12	19
199401	MFGR#13	13
199402	MFGR#11	14
199402	MFGR#12	14
199402	MFGR#13	12
199403	MFGR#11	23
199403	MFGR#12	19
199403	MFGR#13	12
199404	MFGR#11	7
c_city	p_brand1	count(*)
GERMANY  3	MFGR#1311	1
GERMANY  9	MFGR#1316	1
IRAQ     0	MFGR#119	1
IRAQ     0	MFGR#1240	1
IRAQ     1	MFGR#119	1
IRAQ     2	MFGR#1126	1
IRAQ     2	MFGR#1320	1
IRAQ     5	MFGR#1111	1
IRAQ     5	MFGR#119	1
IRAQ     6	MFGR#1331	1
c_city	d_year	count(*)
GERMANY  1	1994	1
GERMANY  3	1994	1
ROMANIA  0	1994	1
ROMANIA  8	1994	1
RUSSIA   1	1994	1
p_brand1	d_yearmonthnum	count(*)
MFGR#111	199403	1
MFGR#1114	199402	2
MFGR#1114	199404	1
MFGR#1116	199401	1
MFGR#1116	199403	1
MFGR#1116	199404	1
MFGR#1117	199401	1
MFGR#1117	199402	1
MFGR#1119	199403	1
MFGR#112	199401	2
p_color	c_city	count(*)
almond	IRAQ     1	1
bisque	RUSSIA   0	1
blanched	IRAQ     8	1
blue	GERMANY  3	1
brown	EGYPT    0	1
brown	GERMANY  1	1
burnished	RUSSIA   8	1
coral	EGYPT    2	1
cornflower	JAPAN    4	1
dark	ROMANIA  8	1
p_category	c_nation	count(*)
MFGR#11	GERMANY	14
MFGR#11	ROMANIA	24
MFGR#11	RUSSIA	21
MFGR#12	GERMANY	20
MFGR#12	ROMANIA	31
MFGR#12	RUSSIA	16
MFGR#13	GERMANY	22
MFGR#13	ROMANIA	11
MFGR#13	RUSSIA	13
p_brand1	c_region	count(*)
MFGR#1120	EUROPE	1
MFGR#1123	EUROPE	1
MFGR#1240	EUROPE	1
MFGR#1311	EUROPE	1
MFGR#1314	EUROPE	1
MFGR#1316	EUROPE	1
d_yearmonthnum	p_brand1	count(*)
199401	MFGR#124	1
199401	MFGR#1331	1
199402	MFGR#117	1
199402	MFGR#1225	1
199403	MFGR#1234	1
c_city	p_color	count(*)
GERMANY  0	brown	1
GERMANY  0	goldenrod	1
GERMANY  0	light	1
GERMANY  0	purple	1
GERMANY  1	aquamarine	1
GERMANY  1	cornflower	1
GERMANY  1	dodger	1
GERMANY  1	goldenrod	1
GERMANY  1	lavender	1
GERMANY  1	lawn	1
c_nation	p_category	count(*)
EGYPT	MFGR#11	2
EGYPT	MFGR#12	2
EGYPT	MFGR#13	1
GERMANY	MFGR#12	3
GERMANY	MFGR#13	5
IRAQ	MFGR#11	7
IRAQ	MFGR#12	1
IRAQ	MFGR#13	4
JAPAN	MFGR#11	1
JAPAN	MFGR#12	2
c_region	p_brand1	count(*)
EUROPE	MFGR#111	1
EUROPE	MFGR#1114	3
EUROPE	MFGR#1116	3
EUROPE	MFGR#1117	2
EUROPE	MFGR#1119	1
EUROPE	MFGR#112	3
EUROPE	MFGR#1120	3
EUROPE	MFGR#1121	1
EUROPE	MFGR#1122	3
EUROPE	MFGR#1123	1
c_city	s_region	count(*)
GERMANY  3	EUROPE	1
GERMANY  9	EUROPE	1
ROMANIA  2	EUROPE	1
ROMANIA  7	EUROPE	1
ROMANIA  8	EUROPE	1
RUSSIA   4	EUROPE	1
p_category	d_yearmonthnum	count(*)
MFGR#11	199401	1
MFGR#11	199402	2
MFGR#11	199403	1
MFGR#12	199401	1
MFGR#12	199402	1
MFGR#12	199403	2
MFGR#13	199401	1
MFGR#13	199403	1
MFGR#13	199404	1
p_brand1	c_city	count(*)
MFGR#111	ROMANIA  4	1
MFGR#1114	ROMANIA  4	1
MFGR#1114	RUSSIA   2	1
MFGR#1114	RUSSIA   7	1
MFGR#1116	ROMANIA  0	1
MFGR#1116	ROMANIA  2	1
MFGR#1116	ROMANIA  4	1
MFGR#1117	ROMANIA  0	1
MFGR#1117	ROMANIA  2	1
MFGR#1119	RUSSIA   7	1
s_region	c_nation	count(*)
EUROPE	GERMANY	2
EUROPE	IRAQ	8
EUROPE	JAPAN	2
EUROPE	ROMANIA	3
EUROPE	RUSSIA	1
