lo_shipmode	c_region	sum(lo_extendedprice)	count(*)
AIR	AFRICA	6692341454.00	2170
AIR	AMERICA	6829862723.00	2214
AIR	ASIA	6934628243.00	2237
AIR	EUROPE	6977588465.00	2198
AIR	MIDDLE EAST	6781486218.00	2175
FOB	AFRICA	6644625108.00	2151
FOB	AMERICA	7117994571.00	2262
FOB	ASIA	6903328289.00	2259
FOB	EUROPE	6938127498.00	2249
FOB	MIDDLE EAST	7218461911.00	2318
MAIL	AFRICA	6584303083.00	2199
MAIL	AMERICA	6710835968.00	2103
MAIL	ASIA	6920325838.00	2267
MAIL	EUROPE	6608116172.00	2116
MAIL	MIDDLE EAST	7020902816.00	2242
RAIL	AFRICA	7123044538.00	2319
RAIL	AMERICA	7140145994.00	2264
RAIL	ASIA	6991904526.00	2282
RAIL	EUROPE	6649376830.00	2189
RAIL	MIDDLE EAST	6689669570.00	2145
REG AIR	AFRICA	6586716132.00	2141
REG AIR	AMERICA	6737719855.00	2176
REG AIR	ASIA	6903132842.00	2291
REG AIR	EUROPE	7154052205.00	2302
REG AIR	MIDDLE EAST	6518002365.00	2122
SHIP	AFRICA	6603614498.00	2253
SHIP	AMERICA	6532857882.00	2160
SHIP	ASIA	6901536175.00	2253
SHIP	EUROPE	6802869947.00	2242
SHIP	MIDDLE EAST	7067448477.00	2256
TRUCK	AFRICA	7003016669.00	2253
TRUCK	AMERICA	6949181793.00	2203
TRUCK	ASIA	6575914644.00	2127
TRUCK	EUROPE	6703264540.00	2198
TRUCK	MIDDLE EAST	6792067995.00	2252
