c_name	d_month	sum(lo_extendedprice)	min(lo_orderdate)	max(lo_orderdate)
Customer#000005044	April	7753400.00	19970414	19970422
Customer#000005044	Augest	45510875.00	19970811	19970820
Customer#000005044	December	102205364.00	19971213	19971224
Customer#000005044	February	6175292.00	19970226	19970226
Customer#000005044	January	3621912.00	19970119	19970119
Customer#000005044	July	25620520.00	19970702	19970728
Customer#000005044	June	23521471.00	19970602	19970620
Customer#000005044	May	47570177.00	19970513	19970530
Customer#000005044	November	26601914.00	19971123	19971124
Customer#000005044	Octorber	22654964.00	19971014	19971031
Customer#000005044	September	0.00	19970923	19970923
Customer#000010774	Augest	24107364.00	19970805	19970816
Customer#000010774	December	103069587.00	19971204	19971211
Customer#000010774	February	10331019.00	19970215	19970222
Customer#000010774	January	5452488.00	19970113	19970113
Customer#000010774	July	0.00	19970716	19970716
Customer#000010774	June	55198666.00	19970606	19970614
Customer#000010774	March	71491559.00	19970311	19970328
Customer#000010774	November	69058986.00	19971109	19971126
Customer#000010774	Octorber	41452044.00	19971020	19971026
Customer#000010774	September	25036440.00	19970930	19970930
Customer#000011731	April	21010770.00	19970405	19970405
Customer#000011731	Augest	24964622.00	19970809	19970830
Customer#000011731	December	128906122.00	19971205	19971220
Customer#000011731	February	22985450.00	19970207	19970211
Customer#000011731	January	35279253.00	19970117	19970131
Customer#000011731	July	10747859.00	19970709	19970709
Customer#000011731	June	6292314.00	19970616	19970616
Customer#000011731	March	20465224.00	19970305	19970305
Customer#000011731	September	8316196.00	19970902	19970908
Customer#000012592	April	9612602.00	19970407	19970407
Customer#000012592	Augest	25927879.00	19970806	19970806
Customer#000012592	December	99589904.00	19971202	19971224
Customer#000012592	July	41813796.00	19970708	19970711
Customer#000012592	June	17050900.00	19970603	19970613
Customer#000012592	March	29972200.00	19970323	19970323
Customer#000012592	May	4027650.00	19970509	19970509
Customer#000012592	November	9907414.00	19971115	19971115
Customer#000012592	Octorber	44985700.00	19971011	19971031
Customer#000013162	April	14778738.00	19970418	19970418
Customer#000013162	Augest	65509387.00	19970809	19970831
Customer#000013162	December	108420814.00	19971217	19971230
Customer#000013162	February	22996891.00	19970205	19970205
Customer#000013162	January	39856974.00	19970123	19970130
Customer#000013162	July	7456848.00	19970707	19970719
Customer#000013162	March	2928907.00	19970301	19970301
Customer#000013162	May	76644949.00	19970503	19970531
Customer#000013162	Octorber	54828559.00	19971018	19971031
Customer#000018829	April	0.00	19970402	19970402
Customer#000018829	December	99496186.00	19971205	19971222
Customer#000018829	January	7197416.00	19970106	19970125
Customer#000018829	June	12004849.00	19970606	19970606
Customer#000018829	March	0.00	19970313	19970313
Customer#000018829	May	9467778.00	19970512	19970522
Customer#000018829	November	14159426.00	19971123	19971123
Customer#000019123	April	9166502.00	19970420	19970420
Customer#000019123	December	119723270.00	19971201	19971230
Customer#000019123	February	0.00	19970212	19970214
Customer#000019123	January	34771024.00	19970121	19970126
Customer#000019123	July	16128929.00	19970705	19970720
Customer#000019123	March	55962971.00	19970311	19970314
Customer#000019123	May	18880127.00	19970518	19970524
Customer#000019123	November	30034974.00	19971112	19971112
Customer#000019123	Octorber	33170059.00	19971013	19971013
Customer#000019123	September	5258108.00	19970910	19970919
Customer#000021787	April	17161194.00	19970429	19970429
Customer#000021787	December	100032710.00	19971216	19971226
Customer#000021787	February	61301740.00	19970213	19970216
Customer#000021787	January	39999203.00	19970105	19970113
Customer#000021787	June	19040392.00	19970610	19970620
Customer#000021787	May	0.00	19970514	19970514
Customer#000021787	November	55179818.00	19971107	19971125
Customer#000021787	Octorber	41633746.00	19971012	19971013
Customer#000021787	September	0.00	19970918	19970918
Customer#000022648	April	32998138.00	19970404	19970430
Customer#000022648	Augest	10695833.00	19970806	19970824
Customer#000022648	December	109442542.00	19971217	19971228
Customer#000022648	February	0.00	19970214	19970214
Customer#000022648	January	0.00	19970105	19970114
Customer#000022648	June	62377518.00	19970607	19970627
Customer#000022648	March	0.00	19970309	19970309
Customer#000022648	May	17511650.00	19970520	19970520
Customer#000022648	November	20351795.00	19971117	19971117
Customer#000022648	Octorber	8769834.00	19971012	19971030
Customer#000028780	Augest	15859006.00	19970810	19970819
Customer#000028780	December	100458356.00	19971215	19971227
Customer#000028780	January	6877631.00	19970101	19970101
Customer#000028780	June	21077321.00	19970601	19970614
Customer#000028780	March	22472642.00	19970316	19970322
Customer#000028780	May	32114371.00	19970508	19970523
count(*)
11926
