p_category	sum(lo_ordtotalprice)	count(*)
MFGR#11	3697508380803.00	244419
MFGR#12	3580696906989.00	236840
MFGR#13	3666833078644.00	242460
MFGR#14	3644961103585.00	240475
MFGR#15	3601231482573.00	238075
MFGR#21	3583305491817.00	236235
MFGR#22	3631602926697.00	239326
MFGR#23	3691487555404.00	244410
MFGR#24	3632761298009.00	240019
MFGR#25	3586323487871.00	237603
MFGR#31	3615386344281.00	239431
MFGR#32	3666736329490.00	241625
MFGR#33	3623357671272.00	239204
MFGR#34	3626054317129.00	239278
MFGR#35	3691165930730.00	244348
MFGR#41	3660439725000.00	242674
MFGR#42	3646437321393.00	240861
MFGR#43	3610385273168.00	238779
MFGR#44	3555875573249.00	234772
MFGR#45	3624508373131.00	238818
MFGR#51	3660203769729.00	241598
MFGR#52	3627680698348.00	239132
MFGR#53	3614872451091.00	238818
MFGR#54	3705447570321.00	244934
MFGR#55	3581747074264.00	237081
lo_orderkey	lo_linenumber	lo_discount
2	1	0.00
3	6	10.00
4	1	3.00
5	3	8.00
6	1	8.00
33	4	9.00
36	1	9.00
38	1	4.00
64	1	5.00
65	3	9.00
66	2	4.00
68	7	9.00
97	3	6.00
99	4	9.00
102	4	7.00
128	1	6.00
132	4	10.00
161	1	1.00
162	1	2.00
167	2	9.00
193	3	6.00
196	2	3.00
199	2	8.00
225	7	10.00
227	2	7.00
228	1	10.00
257	1	5.00
288	5	10.00
289	5	10.00
290	4	5.00
291	3	10.00
294	1	0.00
295	4	10.00
321	2	8.00
323	3	7.00
324	1	7.00
327	2	9.00
352	1	7.00
385	2	8.00
389	1	9.00
391	1	9.00
418	3	4.00
421	1	2.00
422	4	10.00
423	1	6.00
452	1	4.00
454	1	6.00
480	1	4.00
483	3	4.00
