p_category	sum(lo_ordtotalprice)	count(*)
MFGR#11	3697508380803.00	244419
MFGR#12	3580696906989.00	236840
MFGR#13	3666833078644.00	242460
MFGR#14	3644961103585.00	240475
MFGR#15	3601231482573.00	238075
MFGR#21	3583305491817.00	236235
MFGR#22	3631602926697.00	239326
MFGR#23	3691487555404.00	244410
MFGR#24	3632761298009.00	240019
MFGR#25	3586323487871.00	237603
MFGR#31	3615386344281.00	239431
MFGR#32	3666736329490.00	241625
MFGR#33	3623357671272.00	239204
MFGR#34	3626054317129.00	239278
MFGR#35	3691165930730.00	244348
MFGR#41	3660439725000.00	242674
MFGR#42	3646437321393.00	240861
MFGR#43	3610385273168.00	238779
MFGR#44	3555875573249.00	234772
MFGR#45	3624508373131.00	238818
MFGR#51	3660203769729.00	241598
MFGR#52	3627680698348.00	239132
MFGR#53	3614872451091.00	238818
MFGR#54	3705447570321.00	244934
MFGR#55	3581747074264.00	237081
