lo_orderkey	lo_linenumber	lo_custkey	lo_partkey	lo_suppkey	lo_orderdate	lo_orderpriority	lo_shippriority	lo_quantity	lo_extendedprice	lo_ordtotalprice	lo_discount	lo_revenue	lo_supplycost	lo_tax	lo_commitdate	lo_shipmode
1	1	7381	155190	4137	19960102	5-LOW	0	17.00	2116823.00	17366547.00	4.00	2032150.00	74711.00	2.00	19960212	TRUCK
1	2	7381	67310	815	19960102	5-LOW	0	36.00	4598316.00	17366547.00	9.00	4184467.00	76638.00	6.00	19960228	MAIL
1	3	7381	63700	355	19960102	5-LOW	0	8.00	1330960.00	17366547.00	10.00	1197864.00	99822.00	2.00	19960305	REG AIR
1	4	7381	2132	4711	19960102	5-LOW	0	28.00	2895564.00	17366547.00	9.00	2634963.00	62047.00	6.00	19960330	AIR
1	5	7381	24027	8123	19960102	5-LOW	0	24.00	2282448.00	17366547.00	10.00	2054203.00	57061.00	4.00	19960314	FOB
1	6	7381	15635	6836	19960102	5-LOW	0	32.00	4962016.00	17366547.00	7.00	4614674.00	93037.00	2.00	19960207	MAIL
2	1	15601	106170	5329	19961201	1-URGENT	0	38.00	4469446.00	4692918.00	0.00	4469446.00	70570.00	5.00	19970114	RAIL
3	1	24664	4297	9793	19931014	5-LOW	0	45.00	5405805.00	19384625.00	6.00	5081456.00	72077.00	0.00	19940104	AIR
3	2	24664	19036	8333	19931014	5-LOW	0	49.00	4679647.00	19384625.00	10.00	4211682.00	57301.00	0.00	19931220	RAIL
3	3	24664	128449	7045	19931014	5-LOW	0	27.00	3989088.00	19384625.00	6.00	3749742.00	88646.00	7.00	19931122	SHIP
3	4	24664	29380	3709	19931014	5-LOW	0	2.00	261876.00	19384625.00	1.00	259257.00	78562.00	6.00	19940107	TRUCK
3	5	24664	183095	8034	19931014	5-LOW	0	28.00	3298652.00	19384625.00	4.00	3166705.00	70685.00	0.00	19940110	FOB
3	6	24664	62143	8827	19931014	5-LOW	0	26.00	2873364.00	19384625.00	10.00	2586027.00	66308.00	2.00	19931218	RAIL
4	1	27356	88035	9060	19951011	5-LOW	0	30.00	3069090.00	3215178.00	3.00	2977017.00	61381.00	8.00	19951214	REG AIR
5	1	8897	108570	209	19940730	5-LOW	0	15.00	2367855.00	14465920.00	2.00	2320497.00	94714.00	4.00	19940831	AIR
5	2	8897	123927	1295	19940730	5-LOW	0	26.00	5072392.00	14465920.00	7.00	4717324.00	117055.00	8.00	19940925	FOB
5	3	8897	37531	4166	19940730	5-LOW	0	50.00	7342650.00	14465920.00	8.00	6755238.00	88111.00	3.00	19941013	AIR
6	1	11125	139636	2876	19920221	4-NOT SPECI	0	0.00	0.00	0.00	8.00	0.00	100537.00	3.00	19920515	TRUCK
7	1	7828	182052	8674	19960110	2-HIGH	0	12.00	1360860.00	25200418.00	7.00	1265599.00	68043.00	3.00	19960313	FOB
7	2	7828	145243	4536	19960110	2-HIGH	0	9.00	1159416.00	25200418.00	8.00	1066662.00	77294.00	8.00	19960302	SHIP
7	3	7828	94780	6528	19960110	2-HIGH	0	46.00	8163988.00	25200418.00	10.00	7347589.00	106486.00	7.00	19960327	MAIL
7	4	7828	163073	237	19960110	2-HIGH	0	28.00	3180996.00	25200418.00	3.00	3085566.00	68164.00	4.00	19960408	FOB
7	5	7828	151894	9498	19960110	2-HIGH	0	38.00	7394382.00	25200418.00	8.00	6802831.00	116753.00	1.00	19960224	TRUCK
7	6	7828	79251	3973	19960110	2-HIGH	0	35.00	4305875.00	25200418.00	6.00	4047522.00	73815.00	3.00	19960223	FOB
7	7	7828	157238	5405	19960110	2-HIGH	0	5.00	647615.00	25200418.00	4.00	621710.00	77713.00	2.00	19960326	FOB
