lo_orderkey	lo_linenumber	lo_custkey	lo_partkey	lo_suppkey	lo_orderdate	lo_orderpriority	lo_shippriority	lo_quantity	lo_extendedprice	lo_ordtotalprice	lo_discount	lo_revenue	lo_supplycost	lo_tax	lo_commitdate	lo_shipmode
4000	1	13915	195697	968	19920104	5-LOW	0	41.00	7350029.00	13346683.00	6.00	6909027.00	107561.00	1.00	19920314	FOB
4000	2	13915	74526	3072	19920104	5-LOW	0	44.00	6602288.00	13346683.00	9.00	6008082.00	90031.00	6.00	19920218	AIR
8000	1	3044	133621	3153	19930920	5-LOW	0	28.00	4632936.00	24789979.00	5.00	4401289.00	99277.00	3.00	19931128	AIR
8000	2	3044	166740	5808	19930920	5-LOW	0	23.00	4155502.00	24789979.00	9.00	3781506.00	108404.00	2.00	19931105	FOB
8000	3	3044	196689	6549	19930920	5-LOW	0	42.00	7499856.00	24789979.00	9.00	6824868.00	107140.00	4.00	19931127	SHIP
8000	4	3044	149680	3860	19930920	5-LOW	0	29.00	5016072.00	24789979.00	0.00	5016072.00	103780.00	8.00	19931117	RAIL
8000	5	3044	62257	9209	19930920	5-LOW	0	23.00	2804275.00	24789979.00	10.00	2523847.00	73155.00	4.00	19931021	RAIL
8000	6	3044	146226	5465	19930920	5-LOW	0	11.00	1399442.00	24789979.00	10.00	1259497.00	76333.00	0.00	19931208	REG AIR
12000	1	22993	129438	5460	19940513	4-NOT SPECI	0	0.00	0.00	0.00	3.00	0.00	88045.00	3.00	19940801	MAIL
12000	2	22993	64359	4538	19940513	4-NOT SPECI	0	0.00	0.00	0.00	9.00	0.00	79401.00	1.00	19940617	MAIL
12000	3	22993	77944	4625	19940513	4-NOT SPECI	0	0.00	0.00	0.00	3.00	0.00	115316.00	5.00	19940722	AIR
12000	4	22993	196890	8788	19940513	4-NOT SPECI	0	0.00	0.00	0.00	0.00	0.00	119213.00	6.00	19940808	RAIL
16000	1	14671	5083	8809	19971217	3-MEDIUM	0	32.00	3161856.00	16248857.00	2.00	3098618.00	59284.00	2.00	19980210	RAIL
16000	2	14671	15725	3918	19971217	3-MEDIUM	0	1.00	164072.00	16248857.00	5.00	155868.00	98443.00	7.00	19980205	MAIL
16000	3	14671	84366	7797	19971217	3-MEDIUM	0	22.00	2970792.00	16248857.00	1.00	2941084.00	81021.00	8.00	19980123	SHIP
16000	4	14671	127254	6657	19971217	3-MEDIUM	0	48.00	6150000.00	16248857.00	8.00	5658000.00	76875.00	1.00	19980228	TRUCK
16000	5	14671	146762	795	19971217	3-MEDIUM	0	4.00	723504.00	16248857.00	6.00	680093.00	108525.00	1.00	19980123	SHIP
16000	6	14671	14271	9962	19971217	3-MEDIUM	0	31.00	3674337.00	16248857.00	9.00	3343646.00	71116.00	0.00	19980309	SHIP
20000	1	18469	98850	1971	19960724	2-HIGH	0	32.00	5916320.00	6675559.00	6.00	5561340.00	110931.00	2.00	19961010	MAIL
20000	2	18469	161359	179	19960724	2-HIGH	0	7.00	994245.00	6675559.00	3.00	964417.00	85221.00	4.00	19960827	SHIP
24000	1	15070	10880	3706	19950709	2-HIGH	0	2.00	358176.00	356420.00	7.00	333103.00	107452.00	7.00	19950812	FOB
28000	1	21722	82563	8678	19950403	1-URGENT	0	31.00	4791236.00	7552159.00	8.00	4407937.00	92733.00	1.00	19950622	FOB
28000	2	21722	20343	9147	19950403	1-URGENT	0	17.00	2147678.00	7552159.00	9.00	1954386.00	75800.00	1.00	19950517	FOB
28000	3	21722	100578	4408	19950403	1-URGENT	0	7.00	1104999.00	7552159.00	2.00	1082899.00	94714.00	4.00	19950612	SHIP
32000	1	9760	10815	8741	19920914	5-LOW	0	17.00	2933877.00	16086002.00	2.00	2875199.00	103548.00	2.00	19921205	FOB
32000	2	9760	151916	9546	19920914	5-LOW	0	30.00	5903730.00	16086002.00	2.00	5785655.00	118074.00	3.00	19921128	AIR
32000	3	9760	48037	9039	19920914	5-LOW	0	45.00	4432635.00	16086002.00	4.00	4255329.00	59101.00	2.00	19921023	SHIP
32000	4	9760	149353	474	19920914	5-LOW	0	21.00	2944935.00	16086002.00	5.00	2797688.00	84141.00	2.00	19921111	FOB
36000	1	21241	7988	7521	19920124	1-URGENT	0	15.00	2843970.00	2984461.00	1.00	2815530.00	113758.00	6.00	19920421	REG AIR
40000	1	22816	161117	9883	19950130	2-HIGH	0	50.00	5890550.00	8778483.00	8.00	5419306.00	70686.00	1.00	19950329	TRUCK
40000	2	22816	92686	816	19950130	2-HIGH	0	20.00	3357360.00	8778483.00	8.00	3088771.00	100720.00	7.00	19950327	TRUCK
44000	1	5542	125229	2915	19921005	4-NOT SPECI	0	0.00	0.00	0.00	8.00	0.00	75253.00	0.00	19921206	SHIP
44000	2	5542	123176	4102	19921005	4-NOT SPECI	0	0.00	0.00	0.00	5.00	0.00	71950.00	4.00	19921208	REG AIR
44000	3	5542	3723	425	19921005	4-NOT SPECI	0	0.00	0.00	0.00	9.00	0.00	97603.00	1.00	19921219	MAIL
44000	4	5542	169379	2345	19921005	4-NOT SPECI	0	0.00	0.00	0.00	5.00	0.00	86902.00	4.00	19921226	TRUCK
44000	5	5542	150108	9406	19921005	4-NOT SPECI	0	0.00	0.00	0.00	8.00	0.00	69486.00	8.00	19921227	RAIL
44000	6	5542	50968	9704	19921005	4-NOT SPECI	0	0.00	0.00	0.00	0.00	0.00	115137.00	6.00	19921203	SHIP
44000	7	5542	14157	4153	19921005	4-NOT SPECI	0	0.00	0.00	0.00	1.00	0.00	64269.00	8.00	19921215	SHIP
48000	1	21745	30728	1894	19920814	2-HIGH	0	39.00	6469008.00	6256824.00	7.00	6016177.00	99523.00	4.00	19921021	MAIL
52000	1	17015	163776	384	19921004	5-LOW	0	11.00	2023747.00	20540932.00	10.00	1821372.00	110386.00	5.00	19930101	RAIL
52000	2	17015	173217	6771	19921004	5-LOW	0	39.00	5031819.00	20540932.00	8.00	4629273.00	77412.00	5.00	19921113	TRUCK
52000	3	17015	41968	7724	19921004	5-LOW	0	31.00	5920876.00	20540932.00	4.00	5684040.00	114597.00	2.00	19930102	REG AIR
52000	4	17015	153815	5326	19921004	5-LOW	0	38.00	7101478.00	20540932.00	1.00	7030463.00	112128.00	5.00	19921225	AIR
52000	5	17015	165437	7210	19921004	5-LOW	0	4.00	600972.00	20540932.00	5.00	570923.00	90145.00	3.00	19921201	REG AIR
56000	1	28405	184408	8621	19961104	3-MEDIUM	0	15.00	2238600.00	6838416.00	1.00	2216214.00	89544.00	4.00	19970107	TRUCK
56000	2	28405	135475	9528	19961104	3-MEDIUM	0	31.00	4682457.00	6838416.00	6.00	4401509.00	90628.00	3.00	19970124	FOB
60000	1	28481	29106	413	19950421	2-HIGH	0	45.00	4657950.00	29903763.00	5.00	4425052.00	62106.00	6.00	19950529	MAIL
60000	2	28481	184228	2103	19950421	2-HIGH	0	23.00	3018106.00	29903763.00	5.00	2867200.00	78733.00	3.00	19950608	FOB
60000	3	28481	105684	9026	19950421	2-HIGH	0	45.00	7603560.00	29903763.00	2.00	7451488.00	101380.00	2.00	19950531	SHIP
60000	4	28481	27052	9696	19950421	2-HIGH	0	29.00	2839245.00	29903763.00	2.00	2782460.00	58743.00	1.00	19950607	SHIP
60000	5	28481	58445	3478	19950421	2-HIGH	0	31.00	4350664.00	29903763.00	0.00	4350664.00	84206.00	5.00	19950718	TRUCK
60000	6	28481	83577	5389	19950421	2-HIGH	0	45.00	7022565.00	29903763.00	4.00	6741662.00	93634.00	8.00	19950717	TRUCK
64000	1	13160	152520	816	19920706	1-URGENT	0	49.00	7705348.00	24693802.00	0.00	7705348.00	94351.00	1.00	19920806	TRUCK
64000	2	13160	195260	2345	19920706	1-URGENT	0	45.00	6098670.00	24693802.00	10.00	5488803.00	81315.00	1.00	19920805	REG AIR
64000	3	13160	121498	5864	19920706	1-URGENT	0	29.00	4406521.00	24693802.00	5.00	4186194.00	91169.00	4.00	19920924	AIR
64000	4	13160	1225	5701	19920706	1-URGENT	0	29.00	3266038.00	24693802.00	6.00	3070075.00	67573.00	6.00	19920822	AIR
64000	5	13160	177051	7185	19920706	1-URGENT	0	33.00	3722565.00	24693802.00	0.00	3722565.00	67683.00	1.00	19920825	REG AIR
68000	1	28733	2727	5014	19960420	1-URGENT	0	28.00	4563216.00	18762268.00	5.00	4335055.00	97783.00	4.00	19960605	REG AIR
