bit_and(CIDX)	bit_or(CIDX)	bit_xor(CIDX)
0	15	0
bit_and(CBIGINT)	bit_or(CBIGINT)	bit_xor(CBIGINT)
0	18446744073709551615	18446744073709551613
bit_and(CDECIMAL1)	bit_or(CDECIMAL1)	bit_xor(CDECIMAL1)
0	18446744073709551615	18446744073709551602
bit_and(CDECIMAL4)	bit_or(CDECIMAL4)	bit_xor(CDECIMAL4)
0	18446744073709551615	18446744073709551610
bit_and(CDECIMAL4_2)	bit_or(CDECIMAL4_2)	bit_xor(CDECIMAL4_2)
0	18446744073709551614	18446744073709551612
bit_and(CDECIMAL5)	bit_or(CDECIMAL5)	bit_xor(CDECIMAL5)
0	18446744073709551615	18446744073709551610
bit_and(CDECIMAL9)	bit_or(CDECIMAL9)	bit_xor(CDECIMAL9)
0	18446744073709551615	18446744073709551610
bit_and(CDECIMAL9_2)	bit_or(CDECIMAL9_2)	bit_xor(CDECIMAL9_2)
0	18446744073709551600	18446744073709551584
bit_and(CDECIMAL10)	bit_or(CDECIMAL10)	bit_xor(CDECIMAL10)
0	18446744073709551615	18446744073709551610
bit_and(CDECIMAL18)	bit_or(CDECIMAL18)	bit_xor(CDECIMAL18)
0	18446744073709551615	18446744073709551610
bit_and(CDECIMAL18_2)	bit_or(CDECIMAL18_2)	bit_xor(CDECIMAL18_2)
0	18446744073709549568	18446744073709547520
bit_and(CINTEGER)	bit_or(CINTEGER)	bit_xor(CINTEGER)
0	18446744073709551615	18446744073709551613
bit_and(CSMALLINT)	bit_or(CSMALLINT)	bit_xor(CSMALLINT)
0	18446744073709551615	18446744073709551613
bit_and(CTINYINT)	bit_or(CTINYINT)	bit_xor(CTINYINT)
0	18446744073709551615	18446744073709551613
bit_and(CDOUBLE)	bit_or(CDOUBLE)	bit_xor(CDOUBLE)
0	18446744073709551615	18446744073709551615
bit_and(CFLOAT)	bit_or(CFLOAT)	bit_xor(CFLOAT)
0	18446743798831644672	18446742424442109952
bit_and(CDATE)	bit_or(CDATE)	bit_xor(CDATE)
19959824	20101503	19970105
bit_and(CDATETIME)	bit_or(CDATETIME)	bit_xor(CDATETIME)
19797693702144	20263638401015	19970100870209
bit_and(CCHAR1)	bit_or(CCHAR1)	bit_xor(CCHAR1)
0	0	0
bit_and(CCHAR2)	bit_or(CCHAR2)	bit_xor(CCHAR2)
0	0	0
bit_and(CCHAR3)	bit_or(CCHAR3)	bit_xor(CCHAR3)
0	0	0
bit_and(CCHAR4)	bit_or(CCHAR4)	bit_xor(CCHAR4)
0	0	0
bit_and(CCHAR5)	bit_or(CCHAR5)	bit_xor(CCHAR5)
0	0	0
bit_and(CCHAR6)	bit_or(CCHAR6)	bit_xor(CCHAR6)
0	0	0
bit_and(CCHAR7)	bit_or(CCHAR7)	bit_xor(CCHAR7)
0	0	0
bit_and(CCHAR8)	bit_or(CCHAR8)	bit_xor(CCHAR8)
0	0	0
bit_and(CCHAR9)	bit_or(CCHAR9)	bit_xor(CCHAR9)
0	0	0
bit_and(CCHAR255)	bit_or(CCHAR255)	bit_xor(CCHAR255)
0	0	0
bit_and(CVCHAR1)	bit_or(CVCHAR1)	bit_xor(CVCHAR1)
0	0	0
bit_and(CVCHAR2)	bit_or(CVCHAR2)	bit_xor(CVCHAR2)
0	0	0
bit_and(CVCHAR3)	bit_or(CVCHAR3)	bit_xor(CVCHAR3)
0	0	0
bit_and(CVCHAR4)	bit_or(CVCHAR4)	bit_xor(CVCHAR4)
0	0	0
bit_and(CVCHAR5)	bit_or(CVCHAR5)	bit_xor(CVCHAR5)
0	0	0
