CIDX	CBIGINT	CINTEGER	CSMALLINT	CDECIMAL1	CDECIMAL18	CDECIMAL18_2	CDATE	CTINYINT	CDATETIME	CCHAR1	COUNT(CCHAR1)
1	-72036854775806	-7483646	-766	-9	-9999999999999	-99999999999.99	1997-01-01	-26	1997-01-01 00:00:00	a	1
2	-72036854775805	-7483645	-765	-8	-9999999999998	-99999999999.98	1997-01-01	-25	1997-01-01 00:00:01	a	1
3	-72036854775804	-7483644	-764	-7	-9999999999997	-99999999999.97	1997-01-02	-24	1997-01-02 00:00:01	a	1
4	-72036854775803	-7483643	-763	-6	-9999999999996	-99999999999.96	1997-01-03	-23	1997-01-03 00:00:02	a	1
5	-72036854775802	-7483642	-762	-5	-9999999999995	-99999999999.95	1997-01-04	-22	1997-01-04 00:00:03	a	1
6	72036854775803	7483643	763	5	9999999999995	99999999999.95	2009-12-28	23	2009-12-31 23:59:56	z	1
7	72036854775804	7483644	764	6	9999999999996	99999999999.96	2009-12-29	24	2009-12-31 23:59:57	z	1
8	72036854775805	7483645	765	7	9999999999997	99999999999.97	2009-12-30	25	2009-12-31 23:59:58	z	1
9	72036854775806	7483646	766	8	9999999999998	99999999999.98	2009-12-31	26	2009-12-31 23:59:59	z	1
10	72036854775807	7483647	767	9	9999999999999	99999999999.99	2009-12-31	27	2009-12-31 23:59:59	z	1
11	0	0	0	0	0	0.00	2009-12-31	0	2009-12-31 23:59:59	NULL	0
CIDX	CCHAR2	CCHAR3	CCHAR4	CCHAR5	CCHAR6	CCHAR7	CCHAR8	CCHAR9	CCHAR255	CVCHAR1	COUNT(CVCHAR1)
1	aa	aaa	aaaa	aaaaa	aaaaaa	aaaaaaa	aaaaaaaa	aaaaaaaaa	aaaaaaaaaa	a	1
2	b	c	d	e	f	g	h	i	j	a	1
3	bb	cc	dd	ee	ff	gg	hh	ii	jj	a	1
4	bb	ccc	ddd	eee	fff	ggg	hhh	iii	jjj	a	1
5	bb	ccc	dddd	eeee	ffff	gggg	hhhh	iiii	jjjj	a	1
6	yy	xxx	wwww	vvvvv	uuuuuu	ttttttt	sssssss	rrrrrrr	qqqqqqq	z	1
7	yy	xxx	wwww	vvvvv	uuuuuu	ttttttt	ssssssss	rrrrrrrr	qqqqqqqq	z	1
8	yy	xxx	wwww	vvvvv	uuuuuu	ttttttt	ssssssss	rrrrrrrrr	qqqqqqqqq	z	1
9	yy	xxx	wwww	vvvvv	uuuuuu	ttttttt	ssssssss	rrrrrrrrr	qqqqqqqqqq	z	1
10	zz	zzz	zzzz	zzzzz	zzzzzz	zzzzzzz	zzzzzzzz	zzzzzzzzz	zzzzzzzzzz	z	1
11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0
CIDX	CVCHAR2	CVCHAR3	CVCHAR4	CVCHAR5	CVCHAR7	CVCHAR8	CVCHAR255	CDATE	CDATETIME	CINTEGER	COUNT(CINTEGER)
1	aa	aaa	aaaa	aaaaa	aaaaaaa	aaaaaaaa	aaaaaaaaaa	1997-01-01	1997-01-01 00:00:00	-7483646	1
2	b	c	d	e	g	h	j	1997-01-01	1997-01-01 00:00:01	-7483645	1
3	bb	cc	dd	ee	gg	hh	jj	1997-01-02	1997-01-02 00:00:01	-7483644	1
4	bb	ccc	ddd	eee	ggg	hhh	jjj	1997-01-03	1997-01-03 00:00:02	-7483643	1
5	bb	ccc	dddd	eeee	gggg	hhhh	jjjj	1997-01-04	1997-01-04 00:00:03	-7483642	1
6	yy	xxx	wwww	vvvvv	ttttttt	sssssss	qqqqqqq	2009-12-28	2009-12-31 23:59:56	7483643	1
7	yy	xxx	wwww	vvvvv	ttttttt	ssssssss	qqqqqqqq	2009-12-29	2009-12-31 23:59:57	7483644	1
8	yy	xxx	wwww	vvvvv	ttttttt	ssssssss	qqqqqqqqq	2009-12-30	2009-12-31 23:59:58	7483645	1
9	yy	xxx	wwww	vvvvv	ttttttt	ssssssss	qqqqqqqqqq	2009-12-31	2009-12-31 23:59:59	7483646	1
10	zz	zzz	zzzz	zzzzz	zzzzzzz	zzzzzzzz	zzzzzzzzzz	2009-12-31	2009-12-31 23:59:59	7483647	1
11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2009-12-31	2009-12-31 23:59:59	0	1
