CIDX	CBIGINT	COUNT(CBIGINT)
1	-72036854775806	1
2	-72036854775805	1
3	-72036854775804	1
4	-72036854775803	1
5	-72036854775802	1
6	72036854775803	1
7	72036854775804	1
8	72036854775805	1
9	72036854775806	1
10	72036854775807	1
11	0	1
CIDX	CDECIMAL1	COUNT(CDECIMAL1)
1	-9	1
2	-8	1
3	-7	1
4	-6	1
5	-5	1
6	5	1
7	6	1
8	7	1
9	8	1
10	9	1
11	0	1
CIDX	CDECIMAL4	COUNT(CDECIMAL4)
1	-999	1
2	-998	1
3	-997	1
4	-996	1
5	-995	1
6	995	1
7	996	1
8	997	1
9	998	1
10	999	1
11	0	1
CIDX	CDECIMAL4_2	COUNT(CDECIMAL4_2)
1	-9.99	1
2	-9.98	1
3	-9.97	1
4	-9.96	1
5	-9.95	1
6	9.95	1
7	9.96	1
8	9.97	1
9	9.98	1
10	9.99	1
11	0.00	1
CIDX	CDECIMAL5	COUNT(CDECIMAL5)
1	-999	1
2	-998	1
3	-997	1
4	-996	1
5	-995	1
6	995	1
7	996	1
8	997	1
9	998	1
10	999	1
11	0	1
CIDX	CDECIMAL9	COUNT(CDECIMAL9)
1	-999999	1
2	-999998	1
3	-999997	1
4	-999996	1
5	-999995	1
6	999995	1
7	999996	1
8	999997	1
9	999998	1
10	999999	1
11	0	1
CIDX	CDECIMAL9_2	COUNT(CDECIMAL9_2)
1	-9999.99	1
2	-9999.98	1
3	-9999.97	1
4	-9999.96	1
5	-9999.95	1
6	9999.95	1
7	9999.96	1
8	9999.97	1
9	9999.98	1
10	9999.99	1
11	0.00	1
CIDX	CDECIMAL10	COUNT(CDECIMAL10)
1	-9999999	1
2	-9999998	1
3	-9999997	1
4	-9999996	1
5	-9999995	1
6	9999995	1
7	9999996	1
8	9999997	1
9	9999998	1
10	9999999	1
11	0	1
CIDX	CDECIMAL18	COUNT(CDECIMAL18)
1	-9999999999999	1
2	-9999999999998	1
3	-9999999999997	1
4	-9999999999996	1
5	-9999999999995	1
6	9999999999995	1
7	9999999999996	1
8	9999999999997	1
9	9999999999998	1
10	9999999999999	1
11	0	1
CIDX	CDECIMAL18_2	COUNT(CDECIMAL18_2)
1	-99999999999.99	1
2	-99999999999.98	1
3	-99999999999.97	1
4	-99999999999.96	1
5	-99999999999.95	1
6	99999999999.95	1
7	99999999999.96	1
8	99999999999.97	1
9	99999999999.98	1
10	99999999999.99	1
11	0.00	1
CIDX	CINTEGER	COUNT(CINTEGER)
1	-7483646	1
2	-7483645	1
3	-7483644	1
4	-7483643	1
5	-7483642	1
6	7483643	1
7	7483644	1
8	7483645	1
9	7483646	1
10	7483647	1
11	0	1
CIDX	CSMALLINT	COUNT(CSMALLINT)
1	-766	1
2	-765	1
3	-764	1
4	-763	1
5	-762	1
6	763	1
7	764	1
8	765	1
9	766	1
10	767	1
11	0	1
CIDX	CTINYINT	COUNT(CTINYINT)
1	-26	1
2	-25	1
3	-24	1
4	-23	1
5	-22	1
6	23	1
7	24	1
8	25	1
9	26	1
10	27	1
11	0	1
CIDX	CDATE	COUNT(CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	1
7	2009-12-29	1
8	2009-12-30	1
9	2009-12-31	1
10	2009-12-31	1
11	2009-12-31	1
CIDX	CDATETIME	COUNT(CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	1
7	2009-12-31 23:59:57	1
8	2009-12-31 23:59:58	1
9	2009-12-31 23:59:59	1
10	2009-12-31 23:59:59	1
11	2009-12-31 23:59:59	1
CIDX	CCHAR1	COUNT(CCHAR1)
1	a	1
2	a	1
3	a	1
4	a	1
5	a	1
6	z	1
7	z	1
8	z	1
9	z	1
10	z	1
11	NULL	0
CIDX	CCHAR2	COUNT(CCHAR2)
1	aa	1
2	b	1
3	bb	1
4	bb	1
5	bb	1
6	yy	1
7	yy	1
8	yy	1
9	yy	1
10	zz	1
11	NULL	0
CIDX	CCHAR3	COUNT(CCHAR3)
1	aaa	1
2	c	1
3	cc	1
4	ccc	1
5	ccc	1
6	xxx	1
7	xxx	1
8	xxx	1
9	xxx	1
10	zzz	1
11	NULL	0
CIDX	CCHAR4	COUNT(CCHAR4)
1	aaaa	1
2	d	1
3	dd	1
4	ddd	1
5	dddd	1
6	wwww	1
7	wwww	1
8	wwww	1
9	wwww	1
10	zzzz	1
11	NULL	0
CIDX	CCHAR5	COUNT(CCHAR5)
1	aaaaa	1
2	e	1
3	ee	1
4	eee	1
5	eeee	1
6	vvvvv	1
7	vvvvv	1
8	vvvvv	1
9	vvvvv	1
10	zzzzz	1
11	NULL	0
CIDX	CCHAR6	COUNT(CCHAR6)
1	aaaaaa	1
2	f	1
3	ff	1
4	fff	1
5	ffff	1
6	uuuuuu	1
7	uuuuuu	1
8	uuuuuu	1
9	uuuuuu	1
10	zzzzzz	1
11	NULL	0
CIDX	CCHAR7	COUNT(CCHAR7)
1	aaaaaaa	1
2	g	1
3	gg	1
4	ggg	1
5	gggg	1
6	ttttttt	1
7	ttttttt	1
8	ttttttt	1
9	ttttttt	1
10	zzzzzzz	1
11	NULL	0
CIDX	CCHAR8	COUNT(CCHAR8)
1	aaaaaaaa	1
2	h	1
3	hh	1
4	hhh	1
5	hhhh	1
6	sssssss	1
7	ssssssss	1
8	ssssssss	1
9	ssssssss	1
10	zzzzzzzz	1
11	NULL	0
CIDX	CCHAR9	COUNT(CCHAR9)
1	aaaaaaaaa	1
2	i	1
3	ii	1
4	iii	1
5	iiii	1
6	rrrrrrr	1
7	rrrrrrrr	1
8	rrrrrrrrr	1
9	rrrrrrrrr	1
10	zzzzzzzzz	1
11	NULL	0
CIDX	CCHAR255	COUNT(CCHAR255)
1	aaaaaaaaaa	1
2	j	1
3	jj	1
4	jjj	1
5	jjjj	1
6	qqqqqqq	1
7	qqqqqqqq	1
8	qqqqqqqqq	1
9	qqqqqqqqqq	1
10	zzzzzzzzzz	1
11	NULL	0
CIDX	CVCHAR1	COUNT(CVCHAR1)
1	a	1
2	a	1
3	a	1
4	a	1
5	a	1
6	z	1
7	z	1
8	z	1
9	z	1
10	z	1
11	NULL	0
CIDX	CVCHAR2	COUNT(CVCHAR2)
1	aa	1
2	b	1
3	bb	1
4	bb	1
5	bb	1
6	yy	1
7	yy	1
8	yy	1
9	yy	1
10	zz	1
11	NULL	0
CIDX	CVCHAR3	COUNT(CVCHAR3)
1	aaa	1
2	c	1
3	cc	1
4	ccc	1
5	ccc	1
6	xxx	1
7	xxx	1
8	xxx	1
9	xxx	1
10	zzz	1
11	NULL	0
CIDX	CVCHAR4	COUNT(CVCHAR4)
1	aaaa	1
2	d	1
3	dd	1
4	ddd	1
5	dddd	1
6	wwww	1
7	wwww	1
8	wwww	1
9	wwww	1
10	zzzz	1
11	NULL	0
CIDX	CVCHAR5	COUNT(CVCHAR5)
1	aaaaa	1
2	e	1
3	ee	1
4	eee	1
5	eeee	1
6	vvvvv	1
7	vvvvv	1
8	vvvvv	1
9	vvvvv	1
10	zzzzz	1
11	NULL	0
CIDX	CVCHAR6	COUNT(CVCHAR6)
1	aaaaaa	1
2	f	1
3	ff	1
4	fff	1
5	ffff	1
6	uuuuuu	1
7	uuuuuu	1
8	uuuuuu	1
9	uuuuuu	1
10	zzzzzz	1
11	NULL	0
CIDX	CVCHAR7	COUNT(CVCHAR7)
1	aaaaaaa	1
2	g	1
3	gg	1
4	ggg	1
5	gggg	1
6	ttttttt	1
7	ttttttt	1
8	ttttttt	1
9	ttttttt	1
10	zzzzzzz	1
11	NULL	0
CIDX	CVCHAR8	COUNT(CVCHAR8)
1	aaaaaaaa	1
2	h	1
3	hh	1
4	hhh	1
5	hhhh	1
6	sssssss	1
7	ssssssss	1
8	ssssssss	1
9	ssssssss	1
10	zzzzzzzz	1
11	NULL	0
CIDX	CVCHAR255	COUNT(CVCHAR255)
1	aaaaaaaaaa	1
2	j	1
3	jj	1
4	jjj	1
5	jjjj	1
6	qqqqqqq	1
7	qqqqqqqq	1
8	qqqqqqqqq	1
9	qqqqqqqqqq	1
10	zzzzzzzzzz	1
11	NULL	0
