CIDX	CBIGINT	CINTEGER	CSMALLINT	COUNT(CSMALLINT)
1	-72036854775806	-7483646	-766	1
2	-72036854775805	-7483645	-765	1
3	-72036854775804	-7483644	-764	1
4	-72036854775803	-7483643	-763	1
5	-72036854775802	-7483642	-762	1
6	72036854775803	7483643	763	1
7	72036854775804	7483644	764	1
8	72036854775805	7483645	765	1
9	72036854775806	7483646	766	1
10	72036854775807	7483647	767	1
11	0	0	0	1
CIDX	CDECIMAL1	CDECIMAL18	CDECIMAL18_2	COUNT(CDECIMAL18_2)
1	-9	-9999999999999	-99999999999.99	1
2	-8	-9999999999998	-99999999999.98	1
3	-7	-9999999999997	-99999999999.97	1
4	-6	-9999999999996	-99999999999.96	1
5	-5	-9999999999995	-99999999999.95	1
6	5	9999999999995	99999999999.95	1
7	6	9999999999996	99999999999.96	1
8	7	9999999999997	99999999999.97	1
9	8	9999999999998	99999999999.98	1
10	9	9999999999999	99999999999.99	1
11	0	0	0.00	1
CIDX	CDATE	CTINYINT	CDATETIME	COUNT(CDATETIME)
1	1997-01-01	-26	1997-01-01 00:00:00	1
2	1997-01-01	-25	1997-01-01 00:00:01	1
3	1997-01-02	-24	1997-01-02 00:00:01	1
4	1997-01-03	-23	1997-01-03 00:00:02	1
5	1997-01-04	-22	1997-01-04 00:00:03	1
6	2009-12-28	23	2009-12-31 23:59:56	1
7	2009-12-29	24	2009-12-31 23:59:57	1
8	2009-12-30	25	2009-12-31 23:59:58	1
9	2009-12-31	26	2009-12-31 23:59:59	1
10	2009-12-31	27	2009-12-31 23:59:59	1
11	2009-12-31	0	2009-12-31 23:59:59	1
CIDX	CCHAR1	CCHAR2	CCHAR3	COUNT(CCHAR3)
1	a	aa	aaa	1
2	a	b	c	1
3	a	bb	cc	1
4	a	bb	ccc	1
5	a	bb	ccc	1
6	z	yy	xxx	1
7	z	yy	xxx	1
8	z	yy	xxx	1
9	z	yy	xxx	1
10	z	zz	zzz	1
11	NULL	NULL	NULL	0
CIDX	CCHAR4	CCHAR5	CCHAR6	COUNT(CCHAR6)
1	aaaa	aaaaa	aaaaaa	1
2	d	e	f	1
3	dd	ee	ff	1
4	ddd	eee	fff	1
5	dddd	eeee	ffff	1
6	wwww	vvvvv	uuuuuu	1
7	wwww	vvvvv	uuuuuu	1
8	wwww	vvvvv	uuuuuu	1
9	wwww	vvvvv	uuuuuu	1
10	zzzz	zzzzz	zzzzzz	1
11	NULL	NULL	NULL	0
CIDX	CCHAR7	CCHAR8	CCHAR9	COUNT(CCHAR9)
1	aaaaaaa	aaaaaaaa	aaaaaaaaa	1
2	g	h	i	1
3	gg	hh	ii	1
4	ggg	hhh	iii	1
5	gggg	hhhh	iiii	1
6	ttttttt	sssssss	rrrrrrr	1
7	ttttttt	ssssssss	rrrrrrrr	1
8	ttttttt	ssssssss	rrrrrrrrr	1
9	ttttttt	ssssssss	rrrrrrrrr	1
10	zzzzzzz	zzzzzzzz	zzzzzzzzz	1
11	NULL	NULL	NULL	0
CIDX	CCHAR255	CVCHAR1	CVCHAR2	COUNT(CCHAR2)
1	aaaaaaaaaa	a	aa	1
2	j	a	b	1
3	jj	a	bb	1
4	jjj	a	bb	1
5	jjjj	a	bb	1
6	qqqqqqq	z	yy	1
7	qqqqqqqq	z	yy	1
8	qqqqqqqqq	z	yy	1
9	qqqqqqqqqq	z	yy	1
10	zzzzzzzzzz	z	zz	1
11	NULL	NULL	NULL	0
CIDX	CVCHAR3	CVCHAR4	CVCHAR5	COUNT(CVCHAR5)
1	aaa	aaaa	aaaaa	1
2	c	d	e	1
3	cc	dd	ee	1
4	ccc	ddd	eee	1
5	ccc	dddd	eeee	1
6	xxx	wwww	vvvvv	1
7	xxx	wwww	vvvvv	1
8	xxx	wwww	vvvvv	1
9	xxx	wwww	vvvvv	1
10	zzz	zzzz	zzzzz	1
11	NULL	NULL	NULL	0
CIDX	CVCHAR7	CVCHAR8	CVCHAR255	COUNT(CVCHAR255)
1	aaaaaaa	aaaaaaaa	aaaaaaaaaa	1
2	g	h	j	1
3	gg	hh	jj	1
4	ggg	hhh	jjj	1
5	gggg	hhhh	jjjj	1
6	ttttttt	sssssss	qqqqqqq	1
7	ttttttt	ssssssss	qqqqqqqq	1
8	ttttttt	ssssssss	qqqqqqqqq	1
9	ttttttt	ssssssss	qqqqqqqqqq	1
10	zzzzzzz	zzzzzzzz	zzzzzzzzzz	1
11	NULL	NULL	NULL	0
