count(distinct l_linenumber)
7
sum(distinct l_linenumber)	avg(distinct l_linenumber)	count(distinct l_linenumber)
28	4.0000	7
l_partkey	l_suppkey	sum(distinct l_tax)
20	21	0.00
51	2552	0.08
53	7554	0.03
79	7580	0.07
91	2592	0.07
149	5150	0.05
149	7650	0.06
175	5176	0.01
179	2680	0.08
182	7683	0.08
194	5195	0.00
195	196	0.03
221	2722	0.07
222	7723	0.08
245	246	0.02
278	279	0.07
299	5300	0.08
309	310	0.02
318	7819	0.08
321	2822	0.00
358	359	0.02
364	2865	0.05
403	7904	0.03
416	2917	0.05
449	5450	0.07
450	2951	0.00
484	2985	0.05
486	2987	0.05
532	3033	0.07
567	8068	0.01
574	575	0.07
580	581	0.04
598	599	0.00
641	642	0.03
641	3142	0.07
655	5656	0.06
667	8168	0.03
674	675	0.08
716	5717	0.04
738	739	0.05
741	5742	0.01
802	3303	0.06
811	5812	0.08
824	825	0.00
833	8334	0.00
841	3342	0.02
864	3365	0.02
875	3376	0.05
942	5943	0.07
945	8446	0.06
951	5952	0.02
957	5958	0.08
963	8464	0.07
976	977	0.00
983	984	0.07
1004	3505	0.08
1009	6010	0.08
1035	1036	0.06
1036	6037	0.05
1049	3550	0.00
1051	3552	0.05
1062	3563	0.07
1079	3580	0.01
1101	6102	0.02
1107	3608	0.05
1127	6128	0.01
1169	1170	0.07
1200	1201	0.04
1206	8707	0.02
1209	3710	0.02
1269	3770	0.05
1324	1325	0.05
1333	1334	0.02
1334	6335	0.05
1343	8844	0.03
1349	6350	0.08
1377	6378	0.01
1386	8887	0.06
1388	3889	0.07
1423	1424	0.01
1426	6427	0.00
1428	1429	0.04
1529	4030	0.03
1536	6537	0.03
1537	9038	0.07
1622	4123	0.03
1634	9135	0.06
1635	6636	0.07
1652	9153	0.00
1676	6677	0.05
1722	4223	0.00
1739	4240	0.02
1745	6746	0.00
1804	9305	0.05
1818	4319	0.07
1868	9369	0.04
1884	6885	0.07
1887	4388	0.05
1888	4389	0.05
1896	9397	0.04
1923	9424	0.00
1925	9426	0.02
1933	6934	0.04
1947	1948	0.01
2031	7032	0.07
2064	2065	0.06
2079	7080	0.03
2097	9598	0.02
2110	2111	0.05
2128	9629	0.01
2131	9632	0.04
2132	4633	0.06
2145	4646	0.08
2202	9703	0.03
2221	7222	0.07
2282	2283	0.01
2309	9810	0.07
2319	9820	0.01
2320	9821	0.06
2357	2358	0.02
2417	7418	0.04
2419	9920	0.04
2451	2452	0.06
2457	2458	0.07
2488	4989	0.06
2543	44	0.04
2546	47	0.05
2555	5056	0.02
2569	70	0.06
2575	7576	0.06
2585	2586	0.07
2594	5095	0.04
2631	2632	0.03
2633	2634	0.05
2643	2644	0.02
2643	7644	0.00
2659	2660	0.00
2673	174	0.08
2700	2701	0.03
2743	7744	0.03
2841	5342	0.05
2867	5368	0.02
2904	405	0.07
2946	2947	0.08
2957	5458	0.01
2968	469	0.08
2968	5469	0.00
2993	7994	0.02
2994	7995	0.05
3007	5508	0.07
3016	3017	0.08
3037	5538	0.04
3041	542	0.00
3054	8055	0.01
3058	8059	0.04
3059	3060	0.03
3066	567	0.06
3110	5611	0.02
3199	3200	0.05
3228	8229	0.03
3290	5791	0.07
3325	3326	0.08
3390	891	0.07
3390	5891	0.04
3426	5927	0.05
3443	5944	0.04
3476	977	0.06
3482	3483	0.01
3496	8497	0.07
3498	3499	0.00
3502	6003	0.06
3541	3542	0.04
3645	8646	0.04
3648	3649	0.08
3667	1168	0.05
3671	8672	0.03
3674	6175	0.08
3680	1181	0.02
3763	6264	0.02
3764	8765	0.01
3773	1274	0.04
3794	8795	0.04
3839	3840	0.08
3860	6361	0.02
3931	1432	0.02
4005	6506	0.00
4034	4035	0.08
4039	6540	0.08
4076	6577	0.08
4088	1589	0.08
4119	1620	0.01
4124	4125	0.05
4165	1666	0.02
4172	6673	0.06
4189	1690	0.01
4228	6729	0.04
4234	6735	0.06
4237	1738	0.00
4249	9250	0.08
4281	9282	0.06
4297	1798	0.00
4313	1814	0.08
4355	9356	0.03
4362	4363	0.02
4379	4380	0.03
4397	4398	0.01
4400	1901	0.06
4412	6913	0.03
4415	1916	0.01
4429	4430	0.05
4477	4478	0.08
4508	9509	0.00
4547	4548	0.00
4570	7071	0.05
4601	9602	0.03
4612	4613	0.05
4641	4642	0.08
4649	4650	0.07
4660	9661	0.07
4669	7170	0.05
4703	7204	0.02
4708	4709	0.04
4714	7215	0.04
4730	4731	0.04
4733	2234	0.01
4749	7250	0.02
4782	2283	0.06
4788	4789	0.04
4801	7302	0.00
4819	7320	0.00
4825	2326	0.03
4827	7328	0.00
4924	2425	0.08
4924	7425	0.00
4935	9936	0.02
4949	7450	0.04
4955	9956	0.07
4967	2468	0.03
4984	4985	0.04
5012	2513	0.04
5035	5036	0.04
5041	7542	0.03
5043	44	0.05
5044	2545	0.01
5079	80	0.07
5099	100	0.03
5101	2602	0.06
5111	2612	0.02
5130	5131	0.05
5133	5134	0.07
5143	7644	0.00
5144	145	0.03
5178	2679	0.04
5192	5193	0.04
5241	7742	0.05
5263	5264	0.05
5267	2768	0.04
5301	302	0.04
5304	5305	0.06
5337	338	0.06
5351	352	0.02
5364	7865	0.00
5410	5411	0.05
5424	7925	0.05
5458	459	0.06
5483	7984	0.07
5501	3002	0.08
5539	540	0.08
5566	5567	0.05
5570	5571	0.04
5585	586	0.00
5607	608	0.07
5669	670	0.04
5693	8194	0.04
5722	5723	0.02
5727	728	0.06
5729	5730	0.05
5731	732	0.04
5732	3233	0.01
5747	5748	0.08
5757	758	0.05
5775	776	0.04
5840	5841	0.02
5894	3395	0.05
5898	3399	0.02
5905	8406	0.06
5922	923	0.00
5933	5934	0.01
5946	8447	0.01
5964	965	0.05
5970	971	0.06
5978	8479	0.08
5989	8490	0.03
6014	1015	0.08
6017	8518	0.03
6068	3569	0.07
6095	1096	0.05
6106	1107	0.08
6119	1120	0.00
6128	6129	0.03
6161	3662	0.03
6173	8674	0.05
6189	8690	0.05
6205	8706	0.02
6243	3744	0.01
6317	1318	0.00
6324	8825	0.06
6331	8832	0.03
6370	1371	0.03
6372	1373	0.03
6376	3877	0.02
6393	6394	0.05
6445	8946	0.01
6474	8975	0.03
6482	6483	0.04
6539	4040	0.02
6666	1667	0.08
6721	6722	0.01
6723	9224	0.06
6744	6745	0.00
6752	1753	0.03
6810	1811	0.04
6827	6828	0.06
6855	4356	0.05
6856	4357	0.03
6856	6857	0.04
6895	6896	0.00
6898	4399	0.07
6898	9399	0.02
6951	1952	0.00
6983	1984	0.06
6983	4484	0.09
6992	6993	0.02
7068	4569	0.03
7068	9569	0.02
7083	9584	0.07
7096	4597	0.01
7126	2127	0.01
7136	9637	0.04
7166	2167	0.04
7167	9668	0.06
7183	9684	0.01
7243	4744	0.05
7256	7257	0.06
7283	7284	0.06
7306	2307	0.03
7312	4813	0.08
7317	4818	0.03
7352	4853	0.01
7367	4868	0.06
7372	4873	0.04
7408	7409	0.05
7429	9930	0.02
7436	4937	0.01
7533	5034	0.07
7548	7549	0.05
7552	7553	0.02
7554	55	0.08
7582	2583	0.01
7589	5090	0.06
7614	5115	0.08
7666	167	0.08
7666	5167	0.04
7741	5242	0.04
7764	2765	0.05
7781	5282	0.01
7827	5328	0.03
7877	5378	0.06
7891	5392	0.06
7914	415	0.08
7967	7968	0.05
7976	477	0.08
8022	5523	0.08
8104	605	0.05
8116	8117	0.05
8139	640	0.04
8147	648	0.04
8176	3177	0.06
8199	5700	0.04
8234	5735	0.08
8238	739	0.03
8245	3246	0.07
8265	5766	0.05
8277	5778	0.04
8279	8280	0.05
8334	3335	0.04
8362	863	0.04
8372	873	0.05
8448	3449	0.04
8491	3492	0.07
8521	3522	0.00
8529	8530	0.03
8532	1033	0.07
8567	6068	0.04
8614	3615	0.08
8635	8636	0.00
8646	8647	0.04
8657	6158	0.03
8670	8671	0.00
8679	3680	0.01
8696	3697	0.04
8700	6201	0.02
8710	8711	0.05
8756	6257	0.02
8770	1271	0.00
8771	6272	0.04
8773	6274	0.03
8790	3791	0.06
8806	3807	0.08
8816	8817	0.00
8827	8828	0.07
8840	8841	0.01
8850	6351	0.01
8881	1382	0.00
8890	1391	0.05
8899	8900	0.04
8905	6406	0.03
8927	3928	0.08
8928	1429	0.00
8948	1449	0.07
