cdatetime	year(cdatetime)	week(cdatetime)
1997-01-01 00:00:00	1997	0
1997-01-01 00:00:01	1997	0
1997-01-02 00:00:01	1997	0
1997-01-03 00:00:02	1997	0
1997-01-04 00:00:03	1997	0
2009-12-31 23:59:56	2009	52
2009-12-31 23:59:57	2009	52
2009-12-31 23:59:58	2009	52
2009-12-31 23:59:59	2009	52
cdatetime	week(cdatetime)
1997-01-01 00:00:00	0
1997-01-01 00:00:01	0
1997-01-02 00:00:01	0
1997-01-03 00:00:02	0
1997-01-04 00:00:03	0
2009-12-31 23:59:56	52
2009-12-31 23:59:57	52
2009-12-31 23:59:58	52
2009-12-31 23:59:59	52
cdatetime	year(cdatetime)
1997-01-01 00:00:00	1997
1997-01-01 00:00:01	1997
1997-01-02 00:00:01	1997
1997-01-03 00:00:02	1997
1997-01-04 00:00:03	1997
2009-12-31 23:59:56	2009
2009-12-31 23:59:57	2009
2009-12-31 23:59:58	2009
2009-12-31 23:59:59	2009
