cidx	cbigint	cdecimal9	cast(cbigint as decimal(9,2))
1	-72036854775806	-999999	-9999999.99
2	-72036854775805	-999998	-9999999.99
3	-72036854775804	-999997	-9999999.99
4	-72036854775803	-999996	-9999999.99
5	-72036854775802	-999995	-9999999.99
6	72036854775803	999995	9999999.99
7	72036854775804	999996	9999999.99
8	72036854775805	999997	9999999.99
9	72036854775806	999998	9999999.99
10	72036854775807	999999	9999999.99
11	0	0	0.00
cidx	cbigint	cdecimal9	cast(cbigint as decimal(9,2))
1	-72036854775806	-10000000	-9999999.99
2	-72036854775805	-10000000	-9999999.99
3	-72036854775804	-10000000	-9999999.99
4	-72036854775803	-10000000	-9999999.99
5	-72036854775802	-10000000	-9999999.99
6	72036854775803	10000000	9999999.99
7	72036854775804	10000000	9999999.99
8	72036854775805	10000000	9999999.99
9	72036854775806	10000000	9999999.99
10	72036854775807	10000000	9999999.99
11	0	0	0.00
CDECIMAL10
-9999999
-9999998
-9999997
-9999996
-9999995
0
10000000
10000000
10000000
10000000
10000000
CDECIMAL18
-9999999999999
-9999999999998
-9999999999997
-9999999999996
-9999999999995
0
10000000
10000000
10000000
10000000
10000000
CDECIMAL18_2
-99999999999.99
-99999999999.98
-99999999999.97
-99999999999.96
-99999999999.95
0.00
9999999.99
9999999.99
9999999.99
9999999.99
9999999.99
CINTEGER
-7483646
-7483645
-7483644
-7483643
-7483642
0
10000000
10000000
10000000
10000000
10000000
c1	c2
-990000	-990000
-980000	-980000
-970000	-970000
-960000	-960000
-950000	-950000
-940000	-940000
-930000	-930000
-920000	-920000
-910000	-910000
-900000	-900000
-890000	-890000
-880000	-880000
-870000	-870000
-860000	-860000
-850000	-850000
-840000	-840000
-830000	-830000
-820000	-820000
-810000	-810000
-800000	-800000
-790000	-790000
-780000	-780000
-770000	-770000
-760000	-760000
-750000	-750000
-740000	-740000
-730000	-730000
-720000	-720000
-710000	-710000
-700000	-700000
-690000	-690000
-680000	-680000
-670000	-670000
-660000	-660000
-650000	-650000
-640000	-640000
-630000	-630000
-620000	-620000
-610000	-610000
-600000	-600000
-590000	-590000
-580000	-580000
-570000	-570000
-560000	-560000
-550000	-550000
-540000	-540000
-530000	-530000
-520000	-520000
-510000	-510000
-500000	-500000
-490000	-490000
-480000	-480000
-470000	-470000
-460000	-460000
-450000	-450000
-440000	-440000
-430000	-430000
-420000	-420000
-410000	-410000
-400000	-400000
-390000	-390000
-380000	-380000
-370000	-370000
-360000	-360000
-350000	-350000
-340000	-340000
-330000	-330000
-320000	-320000
-310000	-310000
-300000	-300000
-290000	-290000
-280000	-280000
-270000	-270000
-260000	-260000
-250000	-250000
-240000	-240000
-230000	-230000
-220000	-220000
-210000	-210000
-200000	-200000
-190000	-190000
-180000	-180000
-170000	-170000
-160000	-160000
-150000	-150000
-140000	-140000
-130000	-130000
-120000	-120000
-110000	-110000
-100000	-100000
-90000	-90000
