c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	31	41	91	1	1	21	31	41	92	1	1	21	31	41	93	1	1	21	31	41	94	1	1	21	31	41	95
2	2	22	32	42	52	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
11	101	202	302	402	901	21	101	204	304	404	902	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
12	102	201	302	402	901	NULL	NULL	NULL	NULL	NULL	NULL	32	106	201	306	406	903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
13	102	202	301	402	901	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43	108	208	301	408	904	NULL	NULL	NULL	NULL	NULL	NULL
14	102	202	302	401	901	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	54	110	210	310	401	905
111	1012	2021	3032	4042	9011	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
111	1012	2021	3032	4042	9011	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
111	1012	2021	3032	4042	9011	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
111	1012	2021	3032	4042	9011	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
112	1012	2022	3031	4042	9021	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	NULL	NULL	NULL	NULL	NULL	NULL
112	1012	2022	3031	4042	9021	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	NULL	NULL	NULL	NULL	NULL	NULL
113	1012	2022	3032	4041	9031	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	511	1010	2020	3030	4041	9015
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	NULL	NULL	NULL	NULL	NULL	NULL
