cidx	CBIGINT	ATAN(CBIGINT)
1	-72036854775806	-1.57079632679488
2	-72036854775805	-1.57079632679488
3	-72036854775804	-1.57079632679488
4	-72036854775803	-1.57079632679488
5	-72036854775802	-1.57079632679488
6	72036854775803	1.57079632679488
7	72036854775804	1.57079632679488
8	72036854775805	1.57079632679488
9	72036854775806	1.57079632679488
10	72036854775807	1.57079632679488
11	0	0
cidx	CDECIMAL1	ATAN(CDECIMAL1)
1	-9	-1.460139105621
2	-8	-1.44644133224814
3	-7	-1.42889927219073
4	-6	-1.40564764938027
5	-5	-1.37340076694502
6	5	1.37340076694502
7	6	1.40564764938027
8	7	1.42889927219073
9	8	1.44644133224814
10	9	1.460139105621
11	0	0
cidx	CDECIMAL4	ATAN(CDECIMAL4)
1	-999	-1.56979532612823
2	-998	-1.56979432312222
3	-997	-1.56979331810417
4	-996	-1.569792311068
5	-995	-1.56979130200765
6	995	1.56979130200765
7	996	1.569792311068
8	997	1.56979331810417
9	998	1.56979432312222
10	999	1.56979532612823
11	0	0
cidx	CDECIMAL4_2	ATAN(CDECIMAL4_2)
1	-9.99	-1.47102856627631
2	-9.98	-1.47092926160793
3	-9.97	-1.47082975971473
4	-9.96	-1.47073006001057
5	-9.95	-1.47063016190697
6	9.95	1.47063016190697
7	9.96	1.47073006001057
8	9.97	1.47082975971473
9	9.98	1.47092926160793
10	9.99	1.47102856627631
11	0.00	0
cidx	CDECIMAL5	ATAN(CDECIMAL5)
1	-999	-1.56979532612823
2	-998	-1.56979432312222
3	-997	-1.56979331810417
4	-996	-1.569792311068
5	-995	-1.56979130200765
6	995	1.56979130200765
7	996	1.569792311068
8	997	1.56979331810417
9	998	1.56979432312222
10	999	1.56979532612823
11	0	0
cidx	CDECIMAL9	ATAN(CDECIMAL9)
1	-999999	-1.5707953267939
2	-999998	-1.5707953267929
3	-999997	-1.5707953267919
4	-999996	-1.5707953267909
5	-999995	-1.5707953267899
6	999995	1.5707953267899
7	999996	1.5707953267909
8	999997	1.5707953267919
9	999998	1.5707953267929
10	999999	1.5707953267939
11	0	0
cidx	CDECIMAL9_2	ATAN(CDECIMAL9_2)
1	-9999.99	-1.57069632669523
2	-9999.98	-1.57069632659523
3	-9999.97	-1.57069632649523
4	-9999.96	-1.57069632639523
5	-9999.95	-1.57069632629523
6	9999.95	1.57069632629523
7	9999.96	1.57069632639523
8	9999.97	1.57069632649523
9	9999.98	1.57069632659523
10	9999.99	1.57069632669523
11	0.00	0
cidx	CDECIMAL10	ATAN(CDECIMAL10)
1	-9999999	-1.57079622679489
2	-9999998	-1.57079622679488
3	-9999997	-1.57079622679487
4	-9999996	-1.57079622679486
5	-9999995	-1.57079622679485
6	9999995	1.57079622679485
7	9999996	1.57079622679486
8	9999997	1.57079622679487
9	9999998	1.57079622679488
10	9999999	1.57079622679489
11	0	0
cidx	CDECIMAL18	ATAN(CDECIMAL18)
1	-9999999999999	-1.5707963267948
2	-9999999999998	-1.5707963267948
3	-9999999999997	-1.5707963267948
4	-9999999999996	-1.5707963267948
5	-9999999999995	-1.5707963267948
6	9999999999995	1.5707963267948
7	9999999999996	1.5707963267948
8	9999999999997	1.5707963267948
9	9999999999998	1.5707963267948
10	9999999999999	1.5707963267948
11	0	0
cidx	CDECIMAL18_2	ATAN(CDECIMAL18_2)
1	-99999999999.99	-1.5707963267849
2	-99999999999.98	-1.5707963267849
3	-99999999999.97	-1.5707963267849
