cidx	CBIGINT	CaseCol
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CBIGINT	CaseCol
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CBIGINT	CaseCol
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CDECIMAL1	CaseCol
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CDECIMAL1	CaseCol
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CDECIMAL1	CaseCol
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CDECIMAL4	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL4	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL4	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL4_2	CaseCol
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDECIMAL4_2	CaseCol
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDECIMAL4_2	CaseCol
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDECIMAL5	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL5	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL5	CaseCol
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL9	CaseCol
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	NULL
7	999996	NULL
8	999997	NULL
9	999998	NULL
10	999999	NULL
11	0	NULL
cidx	CDECIMAL9	CaseCol
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	NULL
7	999996	NULL
8	999997	NULL
9	999998	NULL
10	999999	NULL
11	0	NULL
cidx	CDECIMAL9	CaseCol
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	NULL
7	999996	NULL
8	999997	NULL
9	999998	NULL
10	999999	NULL
11	0	NULL
cidx	CDECIMAL9_2	CaseCol
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	NULL
7	9999.96	NULL
8	9999.97	NULL
9	9999.98	NULL
10	9999.99	NULL
11	0.00	NULL
cidx	CDECIMAL9_2	CaseCol
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	NULL
7	9999.96	NULL
8	9999.97	NULL
9	9999.98	NULL
10	9999.99	NULL
11	0.00	NULL
cidx	CDECIMAL9_2	CaseCol
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	NULL
7	9999.96	NULL
8	9999.97	NULL
9	9999.98	NULL
10	9999.99	NULL
11	0.00	NULL
cidx	CDECIMAL10	CaseCol
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	NULL
7	9999996	NULL
8	9999997	NULL
9	9999998	NULL
10	9999999	NULL
11	0	NULL
cidx	CDECIMAL10	CaseCol
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	NULL
7	9999996	NULL
8	9999997	NULL
9	9999998	NULL
10	9999999	NULL
11	0	NULL
cidx	CDECIMAL10	CaseCol
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	NULL
7	9999996	NULL
8	9999997	NULL
9	9999998	NULL
10	9999999	NULL
11	0	NULL
cidx	CDECIMAL18	CaseCol
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	NULL
7	9999999999996	NULL
8	9999999999997	NULL
9	9999999999998	NULL
10	9999999999999	NULL
11	0	NULL
cidx	CDECIMAL18	CaseCol
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	NULL
7	9999999999996	NULL
8	9999999999997	NULL
9	9999999999998	NULL
10	9999999999999	NULL
11	0	NULL
cidx	CDECIMAL18	CaseCol
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	NULL
7	9999999999996	NULL
8	9999999999997	NULL
9	9999999999998	NULL
10	9999999999999	NULL
11	0	NULL
cidx	CDECIMAL18_2	CaseCol
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CDECIMAL18_2	CaseCol
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CDECIMAL18_2	CaseCol
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CINTEGER	CaseCol
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CINTEGER	CaseCol
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CINTEGER	CaseCol
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CSMALLINT	CaseCol
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CSMALLINT	CaseCol
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CSMALLINT	CaseCol
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
