cidx	CAST('2010-5-10 12:14:22' AS DATE)
1	2010-05-10
2	2010-05-10
3	2010-05-10
4	2010-05-10
5	2010-05-10
6	2010-05-10
7	2010-05-10
8	2010-05-10
9	2010-05-10
10	2010-05-10
11	2010-05-10
cidx	CAST('2010-5-10' AS DATETIME)
1	2010-05-10 00:00:00
2	2010-05-10 00:00:00
3	2010-05-10 00:00:00
4	2010-05-10 00:00:00
5	2010-05-10 00:00:00
6	2010-05-10 00:00:00
7	2010-05-10 00:00:00
8	2010-05-10 00:00:00
9	2010-05-10 00:00:00
10	2010-05-10 00:00:00
11	2010-05-10 00:00:00
cidx	CAST('12:14:22' AS DATETIME)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
