cidx	CCHAR1	CAST(CCHAR1 AS CHAR(1))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(2))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(3))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(4))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(5))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(6))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(7))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(8))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(9))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	CAST(CCHAR1 AS CHAR(20))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(1))
1	aa	a
2	b	b
3	bb	b
4	bb	b
5	bb	b
6	yy	y
7	yy	y
8	yy	y
9	yy	y
10	zz	z
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(2))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(3))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(4))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(5))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(6))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(7))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(8))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(9))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	CAST(CCHAR2 AS CHAR(20))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(1))
1	aaa	a
2	c	c
3	cc	c
4	ccc	c
5	ccc	c
6	xxx	x
7	xxx	x
8	xxx	x
9	xxx	x
10	zzz	z
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(2))
1	aaa	aa
2	c	c
3	cc	cc
4	ccc	cc
5	ccc	cc
6	xxx	xx
7	xxx	xx
8	xxx	xx
9	xxx	xx
10	zzz	zz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(3))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(4))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(5))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(6))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(7))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(8))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(9))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	CAST(CCHAR3 AS CHAR(20))
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(1))
1	aaaa	a
2	d	d
3	dd	d
4	ddd	d
5	dddd	d
6	wwww	w
7	wwww	w
8	wwww	w
9	wwww	w
10	zzzz	z
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(2))
1	aaaa	aa
2	d	d
3	dd	dd
4	ddd	dd
5	dddd	dd
6	wwww	ww
7	wwww	ww
8	wwww	ww
9	wwww	ww
10	zzzz	zz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(3))
1	aaaa	aaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	ddd
6	wwww	www
7	wwww	www
8	wwww	www
9	wwww	www
10	zzzz	zzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(4))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(5))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(6))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(7))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(8))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(9))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	CAST(CCHAR4 AS CHAR(20))
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(1))
1	aaaaa	a
2	e	e
3	ee	e
4	eee	e
5	eeee	e
6	vvvvv	v
7	vvvvv	v
8	vvvvv	v
9	vvvvv	v
10	zzzzz	z
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(2))
1	aaaaa	aa
2	e	e
3	ee	ee
4	eee	ee
5	eeee	ee
6	vvvvv	vv
7	vvvvv	vv
8	vvvvv	vv
9	vvvvv	vv
10	zzzzz	zz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(3))
1	aaaaa	aaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eee
6	vvvvv	vvv
7	vvvvv	vvv
8	vvvvv	vvv
9	vvvvv	vvv
10	zzzzz	zzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(4))
1	aaaaa	aaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvv
7	vvvvv	vvvv
8	vvvvv	vvvv
9	vvvvv	vvvv
10	zzzzz	zzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(5))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(6))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(7))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(8))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(9))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	CAST(CCHAR5 AS CHAR(20))
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(1))
1	aaaaaa	a
2	f	f
3	ff	f
4	fff	f
5	ffff	f
6	uuuuuu	u
7	uuuuuu	u
8	uuuuuu	u
9	uuuuuu	u
10	zzzzzz	z
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(2))
1	aaaaaa	aa
2	f	f
3	ff	ff
4	fff	ff
5	ffff	ff
6	uuuuuu	uu
7	uuuuuu	uu
8	uuuuuu	uu
9	uuuuuu	uu
10	zzzzzz	zz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(3))
1	aaaaaa	aaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	fff
6	uuuuuu	uuu
7	uuuuuu	uuu
8	uuuuuu	uuu
9	uuuuuu	uuu
10	zzzzzz	zzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(4))
1	aaaaaa	aaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuu
7	uuuuuu	uuuu
8	uuuuuu	uuuu
9	uuuuuu	uuuu
10	zzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(5))
1	aaaaaa	aaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
