cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS SIGNED)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CDECIMAL4_2	CAST(CDECIMAL4_2 AS SIGNED)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDATE	CAST(CDATE AS SIGNED)
1	1997-01-01	19970101
2	1997-01-01	19970101
3	1997-01-02	19970102
4	1997-01-03	19970103
5	1997-01-04	19970104
6	2009-12-28	20091228
7	2009-12-29	20091229
8	2009-12-30	20091230
9	2009-12-31	20091231
10	2009-12-31	20091231
11	2009-12-31	20091231
cidx	CBIGINT	CAST(CBIGINT AS SIGNED)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CDECIMAL1	CAST(CDECIMAL1 AS SIGNED)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CINTEGER	CAST(CINTEGER AS SIGNED)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CSMALLINT	CAST(CSMALLINT AS SIGNED)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CTINYINT	CAST(CTINYINT AS SIGNED)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CCHAR1	CAST(CCHAR1 AS SIGNED)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS SIGNED)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS SIGNED)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS SIGNED)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
11	0.00
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
11	0
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
11	0
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
11	0
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
11	0
cidx	CCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR9
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CVCHAR2
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	2000-01-01
1	2000-01-01
2	2000-01-01
3	2000-01-01
4	2000-01-01
5	2000-01-01
6	2000-01-01
7	2000-01-01
8	2000-01-01
9	2000-01-01
10	2000-01-01
11	2000-01-01
cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS CHAR)
1	-99999999999.99	-99999999999.99
2	-99999999999.98	-99999999999.98
3	-99999999999.97	-99999999999.97
4	-99999999999.96	-99999999999.96
5	-99999999999.95	-99999999999.95
6	99999999999.95	99999999999.95
7	99999999999.96	99999999999.96
8	99999999999.97	99999999999.97
9	99999999999.98	99999999999.98
10	99999999999.99	99999999999.99
11	0.00	0.00
cidx	CDECIMAL4_2	CAST(CDECIMAL4_2 AS CHAR)
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CAST(CDATE AS CHAR)
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE	CAST(CDATE AS CHAR)
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
cidx	CBIGINT	CAST(CBIGINT AS CHAR)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CDECIMAL1	CAST(CDECIMAL1 AS CHAR)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CINTEGER	CAST(CINTEGER AS CHAR)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CSMALLINT	CAST(CSMALLINT AS CHAR)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CTINYINT	CAST(CTINYINT AS CHAR)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CCHAR1	CAST(CCHAR1 AS CHAR)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR)
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS CHAR)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS CHAR)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
11	0.00
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
11	0
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
11	0
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
11	0
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
11	0
cidx	CCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR9
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CVCHAR2
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	2000-01-01
1	2000-01-01
2	2000-01-01
3	2000-01-01
4	2000-01-01
5	2000-01-01
6	2000-01-01
7	2000-01-01
8	2000-01-01
9	2000-01-01
10	2000-01-01
11	2000-01-01
CIDX	CDECIMAL18_2	CAST(CDECIMAL18_2 AS CHAR(10))
1	-99999999999.99	-999999999
2	-99999999999.98	-999999999
3	-99999999999.97	-999999999
4	-99999999999.96	-999999999
5	-99999999999.95	-999999999
6	99999999999.95	9999999999
7	99999999999.96	9999999999
8	99999999999.97	9999999999
9	99999999999.98	9999999999
10	99999999999.99	9999999999
11	0.00	0.00
CIDX	CDECIMAL4_2	CAST(CDECIMAL4_2 AS CHAR(10))
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
CIDX	CDATE	CAST(CDATE AS CHAR(10))
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
CIDX	CBIGINT	CAST(CBIGINT AS CHAR(10))
1	-72036854775806	-720368547
2	-72036854775805	-720368547
3	-72036854775804	-720368547
4	-72036854775803	-720368547
5	-72036854775802	-720368547
6	72036854775803	7203685477
7	72036854775804	7203685477
8	72036854775805	7203685477
9	72036854775806	7203685477
10	72036854775807	7203685477
11	0	0
CIDX	CDECIMAL1	CAST(CDECIMAL1 AS CHAR(10))
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
CIDX	CINTEGER	CAST(CINTEGER AS CHAR(10))
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
CIDX	CSMALLINT	CAST(CSMALLINT AS CHAR(10))
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
CIDX	CTINYINT	CAST(CTINYINT AS CHAR(10))
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
CIDX	CCHAR1	CAST(CCHAR1 AS CHAR(10))
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
CIDX	CCHAR9	CAST(CCHAR9 AS CHAR(10))
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
CIDX	CVCHAR2	CAST(CVCHAR2 AS CHAR(10))
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
