cidx	CBIGINT	CEIL(CBIGINT)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CDECIMAL1	CEIL(CDECIMAL1)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL4	CEIL(CDECIMAL4)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4_2	CEIL(CDECIMAL4_2)
1	-9.99	-9
2	-9.98	-9
3	-9.97	-9
4	-9.96	-9
5	-9.95	-9
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL5	CEIL(CDECIMAL5)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL9	CEIL(CDECIMAL9)
1	-999999	-999999
2	-999998	-999998
3	-999997	-999997
4	-999996	-999996
5	-999995	-999995
6	999995	999995
7	999996	999996
8	999997	999997
9	999998	999998
10	999999	999999
11	0	0
cidx	CDECIMAL9_2	CEIL(CDECIMAL9_2)
1	-9999.99	-9999
2	-9999.98	-9999
3	-9999.97	-9999
4	-9999.96	-9999
5	-9999.95	-9999
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL10	CEIL(CDECIMAL10)
1	-9999999	-9999999
2	-9999998	-9999998
3	-9999997	-9999997
4	-9999996	-9999996
5	-9999995	-9999995
6	9999995	9999995
7	9999996	9999996
8	9999997	9999997
9	9999998	9999998
10	9999999	9999999
11	0	0
cidx	CDECIMAL18	CEIL(CDECIMAL18)
1	-9999999999999	-9999999999999
2	-9999999999998	-9999999999998
3	-9999999999997	-9999999999997
4	-9999999999996	-9999999999996
5	-9999999999995	-9999999999995
6	9999999999995	9999999999995
7	9999999999996	9999999999996
8	9999999999997	9999999999997
9	9999999999998	9999999999998
10	9999999999999	9999999999999
11	0	0
cidx	CDECIMAL18_2	CEIL(CDECIMAL18_2)
1	-99999999999.99	-99999999999
2	-99999999999.98	-99999999999
3	-99999999999.97	-99999999999
4	-99999999999.96	-99999999999
5	-99999999999.95	-99999999999
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CINTEGER	CEIL(CINTEGER)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CSMALLINT	CEIL(CSMALLINT)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CTINYINT	CEIL(CTINYINT)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CEIL(1.23)
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
cidx	CEIL(-1.23)
1	-1
2	-1
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	-1
10	-1
11	-1
cidx	CEIL(0)
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
