cidx	CBIGINT	CONVERT(CBIGINT,SIGNED)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CBIGINT	CONVERT(CBIGINT,DECIMAL(9))
1	-72036854775806	-999999999
2	-72036854775805	-999999999
3	-72036854775804	-999999999
4	-72036854775803	-999999999
5	-72036854775802	-999999999
6	72036854775803	999999999
7	72036854775804	999999999
8	72036854775805	999999999
9	72036854775806	999999999
10	72036854775807	999999999
11	0	0
cidx	CBIGINT	CONVERT(CBIGINT,DECIMAL(9,2))
1	-72036854775806	-9999999.99
2	-72036854775805	-9999999.99
3	-72036854775804	-9999999.99
4	-72036854775803	-9999999.99
5	-72036854775802	-9999999.99
6	72036854775803	9999999.99
7	72036854775804	9999999.99
8	72036854775805	9999999.99
9	72036854775806	9999999.99
10	72036854775807	9999999.99
11	0	0.00
cidx	CDECIMAL1	CONVERT(CDECIMAL1,SIGNED)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	CONVERT(CDECIMAL1,DECIMAL(9))
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	CONVERT(CDECIMAL1,DECIMAL(9,2))
1	-9	-9.00
2	-8	-8.00
3	-7	-7.00
4	-6	-6.00
5	-5	-5.00
6	5	5.00
7	6	6.00
8	7	7.00
9	8	8.00
10	9	9.00
11	0	0.00
cidx	CDECIMAL4	CONVERT(CDECIMAL4,SIGNED)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4	CONVERT(CDECIMAL4,DECIMAL(9))
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4	CONVERT(CDECIMAL4,DECIMAL(9,2))
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL4_2	CONVERT(CDECIMAL4_2,SIGNED)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL4_2	CONVERT(CDECIMAL4_2,DECIMAL(9))
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL4_2	CONVERT(CDECIMAL4_2,DECIMAL(9,2))
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CDECIMAL5	CONVERT(CDECIMAL5,SIGNED)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL5	CONVERT(CDECIMAL5,DECIMAL(9))
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL5	CONVERT(CDECIMAL5,DECIMAL(9,2))
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL9	CONVERT(CDECIMAL9,SIGNED)
1	-999999	-999999
2	-999998	-999998
3	-999997	-999997
4	-999996	-999996
5	-999995	-999995
6	999995	999995
7	999996	999996
8	999997	999997
9	999998	999998
10	999999	999999
11	0	0
cidx	CDECIMAL9	CONVERT(CDECIMAL9,DECIMAL(9))
1	-999999	-999999
2	-999998	-999998
3	-999997	-999997
4	-999996	-999996
5	-999995	-999995
6	999995	999995
7	999996	999996
8	999997	999997
9	999998	999998
10	999999	999999
11	0	0
cidx	CDECIMAL9	CONVERT(CDECIMAL9,DECIMAL(9,2))
1	-999999	-999999.00
2	-999998	-999998.00
3	-999997	-999997.00
4	-999996	-999996.00
5	-999995	-999995.00
6	999995	999995.00
7	999996	999996.00
8	999997	999997.00
9	999998	999998.00
10	999999	999999.00
11	0	0.00
cidx	CDECIMAL9_2	CONVERT(CDECIMAL9_2,SIGNED)
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
