cidx	CDATE	DATE(CDATE)
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
cidx	CDATETIME	DATE(CDATETIME)
1	1997-01-01 00:00:00	1997-01-01
2	1997-01-01 00:00:01	1997-01-01
3	1997-01-02 00:00:01	1997-01-02
4	1997-01-03 00:00:02	1997-01-03
5	1997-01-04 00:00:03	1997-01-04
6	2009-12-31 23:59:56	2009-12-31
7	2009-12-31 23:59:57	2009-12-31
8	2009-12-31 23:59:58	2009-12-31
9	2009-12-31 23:59:59	2009-12-31
10	2009-12-31 23:59:59	2009-12-31
11	2009-12-31 23:59:59	2009-12-31
cidx	DATE('2009-02-28 22:23:0')
1	2009-02-28
2	2009-02-28
3	2009-02-28
4	2009-02-28
5	2009-02-28
6	2009-02-28
7	2009-02-28
8	2009-02-28
9	2009-02-28
10	2009-02-28
11	2009-02-28
cidx	DATE('2009-07-04')
1	2009-07-04
2	2009-07-04
3	2009-07-04
4	2009-07-04
5	2009-07-04
6	2009-07-04
7	2009-07-04
8	2009-07-04
9	2009-07-04
10	2009-07-04
11	2009-07-04
cidx	CDATETIME
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
