cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 SECOND)
1	1997-01-01	1997-01-01 00:00:03
2	1997-01-01	1997-01-01 00:00:03
3	1997-01-02	1997-01-02 00:00:03
4	1997-01-03	1997-01-03 00:00:03
5	1997-01-04	1997-01-04 00:00:03
6	2009-12-28	2009-12-28 00:00:03
7	2009-12-29	2009-12-29 00:00:03
8	2009-12-30	2009-12-30 00:00:03
9	2009-12-31	2009-12-31 00:00:03
10	2009-12-31	2009-12-31 00:00:03
11	2009-12-31	2009-12-31 00:00:03
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 MINUTE)
1	1997-01-01	1997-01-01 00:03:00
2	1997-01-01	1997-01-01 00:03:00
3	1997-01-02	1997-01-02 00:03:00
4	1997-01-03	1997-01-03 00:03:00
5	1997-01-04	1997-01-04 00:03:00
6	2009-12-28	2009-12-28 00:03:00
7	2009-12-29	2009-12-29 00:03:00
8	2009-12-30	2009-12-30 00:03:00
9	2009-12-31	2009-12-31 00:03:00
10	2009-12-31	2009-12-31 00:03:00
11	2009-12-31	2009-12-31 00:03:00
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 HOUR)
1	1997-01-01	1997-01-01 03:00:00
2	1997-01-01	1997-01-01 03:00:00
3	1997-01-02	1997-01-02 03:00:00
4	1997-01-03	1997-01-03 03:00:00
5	1997-01-04	1997-01-04 03:00:00
6	2009-12-28	2009-12-28 03:00:00
7	2009-12-29	2009-12-29 03:00:00
8	2009-12-30	2009-12-30 03:00:00
9	2009-12-31	2009-12-31 03:00:00
10	2009-12-31	2009-12-31 03:00:00
11	2009-12-31	2009-12-31 03:00:00
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 DAY)
1	1997-01-01	1997-01-04
2	1997-01-01	1997-01-04
3	1997-01-02	1997-01-05
4	1997-01-03	1997-01-06
5	1997-01-04	1997-01-07
6	2009-12-28	2009-12-31
7	2009-12-29	2010-01-01
8	2009-12-30	2010-01-02
9	2009-12-31	2010-01-03
10	2009-12-31	2010-01-03
11	2009-12-31	2010-01-03
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 WEEK)
1	1997-01-01	1997-01-22
2	1997-01-01	1997-01-22
