cidx	CDATE	DATE_SUB(CDATE, INTERVAL '01:22' YEAR_MONTH)
1	1997-01-01	1994-03-01
2	1997-01-01	1994-03-01
3	1997-01-02	1994-03-02
4	1997-01-03	1994-03-03
5	1997-01-04	1994-03-04
6	2009-12-28	2007-02-28
7	2009-12-29	2007-02-28
8	2009-12-30	2007-02-28
9	2009-12-31	2007-02-28
10	2009-12-31	2007-02-28
11	2009-12-31	2007-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 0 day)
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 0 MONTH)
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -100 day)
1	1997-01-01	1997-04-11
2	1997-01-01	1997-04-11
3	1997-01-02	1997-04-12
4	1997-01-03	1997-04-13
5	1997-01-04	1997-04-14
6	2009-12-28	2010-04-07
7	2009-12-29	2010-04-08
8	2009-12-30	2010-04-09
9	2009-12-31	2010-04-10
10	2009-12-31	2010-04-10
11	2009-12-31	2010-04-10
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 100 day)
1	1997-01-01	1996-09-23
2	1997-01-01	1996-09-23
3	1997-01-02	1996-09-24
4	1997-01-03	1996-09-25
5	1997-01-04	1996-09-26
6	2009-12-28	2009-09-19
7	2009-12-29	2009-09-20
8	2009-12-30	2009-09-21
9	2009-12-31	2009-09-22
10	2009-12-31	2009-09-22
11	2009-12-31	2009-09-22
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10:10:10:10' DAY_SECOND)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10:10:10' DAY_SECOND)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10:10:10:9' HOUR_SECOND)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10:10:10:9' month)
1	1997-01-01	1996-03-01
2	1997-01-01	1996-03-01
3	1997-01-02	1996-03-02
4	1997-01-03	1996-03-03
5	1997-01-04	1996-03-04
6	2009-12-28	2009-02-28
7	2009-12-29	2009-02-28
8	2009-12-30	2009-02-28
9	2009-12-31	2009-02-28
10	2009-12-31	2009-02-28
11	2009-12-31	2009-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10:10' DAY_MINUTE)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10:10' DAY_SECOND)
1	1997-01-01	1996-12-21 13:49:50
2	1997-01-01	1996-12-21 13:49:50
3	1997-01-02	1996-12-22 13:49:50
4	1997-01-03	1996-12-23 13:49:50
5	1997-01-04	1996-12-24 13:49:50
6	2009-12-28	2009-12-17 13:49:50
7	2009-12-29	2009-12-18 13:49:50
8	2009-12-30	2009-12-19 13:49:50
9	2009-12-31	2009-12-20 13:49:50
10	2009-12-31	2009-12-20 13:49:50
11	2009-12-31	2009-12-20 13:49:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10:10:10' HOUR_SECOND)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10' DAY_HOUR)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10:10' DAY_MINUTE)
1	1997-01-01	1996-12-21 13:50:00
2	1997-01-01	1996-12-21 13:50:00
3	1997-01-02	1996-12-22 13:50:00
4	1997-01-03	1996-12-23 13:50:00
5	1997-01-04	1996-12-24 13:50:00
6	2009-12-28	2009-12-17 13:50:00
7	2009-12-29	2009-12-18 13:50:00
8	2009-12-30	2009-12-19 13:50:00
9	2009-12-31	2009-12-20 13:50:00
10	2009-12-31	2009-12-20 13:50:00
11	2009-12-31	2009-12-20 13:50:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10:10' HOUR_MINUTE)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10:10' HOUR_SECOND)
1	1997-01-01	1996-12-31 13:49:50
2	1997-01-01	1996-12-31 13:49:50
3	1997-01-02	1997-01-01 13:49:50
4	1997-01-03	1997-01-02 13:49:50
5	1997-01-04	1997-01-03 13:49:50
6	2009-12-28	2009-12-27 13:49:50
7	2009-12-29	2009-12-28 13:49:50
8	2009-12-30	2009-12-29 13:49:50
9	2009-12-31	2009-12-30 13:49:50
10	2009-12-31	2009-12-30 13:49:50
11	2009-12-31	2009-12-30 13:49:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10.10' MINUTE_SECOND)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10' DAY_HOUR)
1	1997-01-01	1996-12-21 14:00:00
2	1997-01-01	1996-12-21 14:00:00
3	1997-01-02	1996-12-22 14:00:00
4	1997-01-03	1996-12-23 14:00:00
5	1997-01-04	1996-12-24 14:00:00
6	2009-12-28	2009-12-17 14:00:00
7	2009-12-29	2009-12-18 14:00:00
8	2009-12-30	2009-12-19 14:00:00
9	2009-12-31	2009-12-20 14:00:00
10	2009-12-31	2009-12-20 14:00:00
11	2009-12-31	2009-12-20 14:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10' HOUR_MINUTE)
1	1997-01-01	1996-12-31 13:50:00
2	1997-01-01	1996-12-31 13:50:00
3	1997-01-02	1997-01-01 13:50:00
4	1997-01-03	1997-01-02 13:50:00
5	1997-01-04	1997-01-03 13:50:00
6	2009-12-28	2009-12-27 13:50:00
7	2009-12-29	2009-12-28 13:50:00
8	2009-12-30	2009-12-29 13:50:00
9	2009-12-31	2009-12-30 13:50:00
10	2009-12-31	2009-12-30 13:50:00
11	2009-12-31	2009-12-30 13:50:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10' HOUR_MINUTE)
1	1997-01-01	1996-12-31 13:50:00
2	1997-01-01	1996-12-31 13:50:00
3	1997-01-02	1997-01-01 13:50:00
4	1997-01-03	1997-01-02 13:50:00
5	1997-01-04	1997-01-03 13:50:00
6	2009-12-28	2009-12-27 13:50:00
7	2009-12-29	2009-12-28 13:50:00
8	2009-12-30	2009-12-29 13:50:00
9	2009-12-31	2009-12-30 13:50:00
10	2009-12-31	2009-12-30 13:50:00
11	2009-12-31	2009-12-30 13:50:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10' HOUR_SECOND)
1	1997-01-01	1996-12-31 23:49:50
2	1997-01-01	1996-12-31 23:49:50
3	1997-01-02	1997-01-01 23:49:50
4	1997-01-03	1997-01-02 23:49:50
5	1997-01-04	1997-01-03 23:49:50
6	2009-12-28	2009-12-27 23:49:50
7	2009-12-29	2009-12-28 23:49:50
8	2009-12-30	2009-12-29 23:49:50
9	2009-12-31	2009-12-30 23:49:50
10	2009-12-31	2009-12-30 23:49:50
11	2009-12-31	2009-12-30 23:49:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10:10' MINUTE_SECOND)
1	1997-01-01	1996-12-31 23:49:50
2	1997-01-01	1996-12-31 23:49:50
3	1997-01-02	1997-01-01 23:49:50
4	1997-01-03	1997-01-02 23:49:50
5	1997-01-04	1997-01-03 23:49:50
6	2009-12-28	2009-12-27 23:49:50
7	2009-12-29	2009-12-28 23:49:50
8	2009-12-30	2009-12-29 23:49:50
9	2009-12-31	2009-12-30 23:49:50
10	2009-12-31	2009-12-30 23:49:50
11	2009-12-31	2009-12-30 23:49:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10 10' YEAR_MONTH)
1	1997-01-01	1986-03-01
2	1997-01-01	1986-03-01
3	1997-01-02	1986-03-02
4	1997-01-03	1986-03-03
5	1997-01-04	1986-03-04
6	2009-12-28	1999-02-28
7	2009-12-29	1999-02-28
8	2009-12-30	1999-02-28
9	2009-12-31	1999-02-28
10	2009-12-31	1999-02-28
11	2009-12-31	1999-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -10 -200 year_MONTH)
1	1997-01-01	2014-07-01
2	1997-01-01	2014-07-01
3	1997-01-02	2014-07-02
4	1997-01-03	2014-07-03
5	1997-01-04	2014-07-04
6	2009-12-28	2027-06-28
7	2009-12-29	2027-06-29
8	2009-12-30	2027-06-30
9	2009-12-31	2027-06-30
10	2009-12-31	2027-06-30
11	2009-12-31	2027-06-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 10 -200 year_MONTH)
1	1997-01-01	2012-11-01
2	1997-01-01	2012-11-01
3	1997-01-02	2012-11-02
4	1997-01-03	2012-11-03
5	1997-01-04	2012-11-04
6	2009-12-28	2025-10-28
7	2009-12-29	2025-10-29
8	2009-12-30	2025-10-30
9	2009-12-31	2025-10-31
10	2009-12-31	2025-10-31
11	2009-12-31	2025-10-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -10 day)
1	1997-01-01	1997-01-11
2	1997-01-01	1997-01-11
3	1997-01-02	1997-01-12
4	1997-01-03	1997-01-13
5	1997-01-04	1997-01-14
6	2009-12-28	2010-01-07
7	2009-12-29	2010-01-08
8	2009-12-30	2010-01-09
9	2009-12-31	2010-01-10
10	2009-12-31	2010-01-10
11	2009-12-31	2010-01-10
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 10 day)
1	1997-01-01	1996-12-22
2	1997-01-01	1996-12-22
3	1997-01-02	1996-12-23
4	1997-01-03	1996-12-24
5	1997-01-04	1996-12-25
6	2009-12-28	2009-12-18
7	2009-12-29	2009-12-19
8	2009-12-30	2009-12-20
9	2009-12-31	2009-12-21
10	2009-12-31	2009-12-21
11	2009-12-31	2009-12-21
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10' DAY_HOUR)
1	1997-01-01	1996-12-31 14:00:00
2	1997-01-01	1996-12-31 14:00:00
3	1997-01-02	1997-01-01 14:00:00
4	1997-01-03	1997-01-02 14:00:00
5	1997-01-04	1997-01-03 14:00:00
6	2009-12-28	2009-12-27 14:00:00
7	2009-12-29	2009-12-28 14:00:00
8	2009-12-30	2009-12-29 14:00:00
9	2009-12-31	2009-12-30 14:00:00
10	2009-12-31	2009-12-30 14:00:00
11	2009-12-31	2009-12-30 14:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10' HOUR_SECOND)
1	1997-01-01	1996-12-31 23:59:50
2	1997-01-01	1996-12-31 23:59:50
3	1997-01-02	1997-01-01 23:59:50
4	1997-01-03	1997-01-02 23:59:50
5	1997-01-04	1997-01-03 23:59:50
6	2009-12-28	2009-12-27 23:59:50
7	2009-12-29	2009-12-28 23:59:50
8	2009-12-30	2009-12-29 23:59:50
9	2009-12-31	2009-12-30 23:59:50
10	2009-12-31	2009-12-30 23:59:50
11	2009-12-31	2009-12-30 23:59:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10' MINUTE_SECOND)
1	1997-01-01	1996-12-31 23:59:50
2	1997-01-01	1996-12-31 23:59:50
3	1997-01-02	1997-01-01 23:59:50
