cidx	CDATE	DAYNAME(CDATE)
1	1997-01-01	Wednesday
2	1997-01-01	Wednesday
3	1997-01-02	Thursday
4	1997-01-03	Friday
5	1997-01-04	Saturday
6	2009-12-28	Monday
7	2009-12-29	Tuesday
8	2009-12-30	Wednesday
9	2009-12-31	Thursday
10	2009-12-31	Thursday
11	2009-12-31	Thursday
cidx	CDATETIME	DAYNAME(CDATETIME)
1	1997-01-01 00:00:00	Wednesday
2	1997-01-01 00:00:01	Wednesday
3	1997-01-02 00:00:01	Thursday
4	1997-01-03 00:00:02	Friday
5	1997-01-04 00:00:03	Saturday
6	2009-12-31 23:59:56	Thursday
7	2009-12-31 23:59:57	Thursday
8	2009-12-31 23:59:58	Thursday
9	2009-12-31 23:59:59	Thursday
10	2009-12-31 23:59:59	Thursday
11	2009-12-31 23:59:59	Thursday
cidx	DAYNAME('2009-02-28')
1	Saturday
2	Saturday
3	Saturday
4	Saturday
5	Saturday
6	Saturday
7	Saturday
8	Saturday
9	Saturday
10	Saturday
11	Saturday
cidx	DAYNAME('2009-07-04')
1	Saturday
2	Saturday
3	Saturday
4	Saturday
5	Saturday
6	Saturday
7	Saturday
8	Saturday
9	Saturday
10	Saturday
11	Saturday
cidx	CDATE
1	1997-01-01
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
