cidx	CDATE	DAYOFWEEK(CDATE)
1	1997-01-01	4
2	1997-01-01	4
3	1997-01-02	5
4	1997-01-03	6
5	1997-01-04	7
6	2009-12-28	2
7	2009-12-29	3
8	2009-12-30	4
9	2009-12-31	5
10	2009-12-31	5
11	2009-12-31	5
cidx	CDATETIME	DAYOFWEEK(CDATETIME)
1	1997-01-01 00:00:00	4
2	1997-01-01 00:00:01	4
3	1997-01-02 00:00:01	5
4	1997-01-03 00:00:02	6
5	1997-01-04 00:00:03	7
6	2009-12-31 23:59:56	5
7	2009-12-31 23:59:57	5
8	2009-12-31 23:59:58	5
9	2009-12-31 23:59:59	5
10	2009-12-31 23:59:59	5
11	2009-12-31 23:59:59	5
cidx	DAYOFWEEK('2009-02-28')
1	7
2	7
3	7
4	7
5	7
6	7
7	7
8	7
9	7
10	7
11	7
cidx	DAYOFWEEK('2009-07-04')
1	7
2	7
3	7
4	7
5	7
6	7
7	7
8	7
9	7
10	7
11	7
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
