cidx	CDATE	DAYOFYEAR(CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	2
4	1997-01-03	3
5	1997-01-04	4
6	2009-12-28	362
7	2009-12-29	363
8	2009-12-30	364
9	2009-12-31	365
10	2009-12-31	365
11	2009-12-31	365
cidx	CDATETIME	DAYOFYEAR(CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	2
4	1997-01-03 00:00:02	3
5	1997-01-04 00:00:03	4
6	2009-12-31 23:59:56	365
7	2009-12-31 23:59:57	365
8	2009-12-31 23:59:58	365
9	2009-12-31 23:59:59	365
10	2009-12-31 23:59:59	365
11	2009-12-31 23:59:59	365
cidx	DAYOFYEAR('2009-02-28')
1	59
2	59
3	59
4	59
5	59
6	59
7	59
8	59
9	59
10	59
11	59
cidx	DAYOFYEAR('2009-07-04')
1	185
2	185
3	185
4	185
5	185
6	185
7	185
8	185
9	185
10	185
11	185
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
