cidx	CDATE	EXTRACT( DAY FROM CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	2
4	1997-01-03	3
5	1997-01-04	4
6	2009-12-28	28
7	2009-12-29	29
8	2009-12-30	30
9	2009-12-31	31
10	2009-12-31	31
11	2009-12-31	31
cidx	CDATE	EXTRACT( WEEK FROM CDATE)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	EXTRACT( MONTH FROM CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	12
7	2009-12-29	12
8	2009-12-30	12
9	2009-12-31	12
10	2009-12-31	12
11	2009-12-31	12
cidx	CDATE	EXTRACT( QUARTER FROM CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	4
7	2009-12-29	4
8	2009-12-30	4
9	2009-12-31	4
10	2009-12-31	4
11	2009-12-31	4
cidx	CDATE	EXTRACT( YEAR FROM CDATE)
1	1997-01-01	1997
2	1997-01-01	1997
3	1997-01-02	1997
4	1997-01-03	1997
5	1997-01-04	1997
6	2009-12-28	2009
7	2009-12-29	2009
8	2009-12-30	2009
9	2009-12-31	2009
10	2009-12-31	2009
11	2009-12-31	2009
cidx	CDATE	EXTRACT( YEAR_MONTH FROM CDATE)
1	1997-01-01	199701
2	1997-01-01	199701
3	1997-01-02	199701
4	1997-01-03	199701
5	1997-01-04	199701
6	2009-12-28	200912
7	2009-12-29	200912
8	2009-12-30	200912
9	2009-12-31	200912
10	2009-12-31	200912
11	2009-12-31	200912
cidx	CDATETIME	EXTRACT( MICROSECOND FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	0
7	2009-12-31 23:59:57	0
8	2009-12-31 23:59:58	0
9	2009-12-31 23:59:59	0
10	2009-12-31 23:59:59	0
11	2009-12-31 23:59:59	0
cidx	CDATETIME	EXTRACT( SECOND FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	2
5	1997-01-04 00:00:03	3
6	2009-12-31 23:59:56	56
7	2009-12-31 23:59:57	57
8	2009-12-31 23:59:58	58
9	2009-12-31 23:59:59	59
10	2009-12-31 23:59:59	59
11	2009-12-31 23:59:59	59
cidx	CDATETIME	EXTRACT( MINUTE FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	59
7	2009-12-31 23:59:57	59
8	2009-12-31 23:59:58	59
9	2009-12-31 23:59:59	59
10	2009-12-31 23:59:59	59
