cidx	CBIGINT	FORMAT(CBIGINT,0)
1	-72036854775806	-72,036,854,775,806
2	-72036854775805	-72,036,854,775,805
3	-72036854775804	-72,036,854,775,804
4	-72036854775803	-72,036,854,775,803
5	-72036854775802	-72,036,854,775,802
6	72036854775803	72,036,854,775,803
7	72036854775804	72,036,854,775,804
8	72036854775805	72,036,854,775,805
9	72036854775806	72,036,854,775,806
10	72036854775807	72,036,854,775,807
11	0	0
cidx	CBIGINT	FORMAT(CBIGINT,1)
1	-72036854775806	-72,036,854,775,806.0
2	-72036854775805	-72,036,854,775,805.0
3	-72036854775804	-72,036,854,775,804.0
4	-72036854775803	-72,036,854,775,803.0
5	-72036854775802	-72,036,854,775,802.0
6	72036854775803	72,036,854,775,803.0
7	72036854775804	72,036,854,775,804.0
8	72036854775805	72,036,854,775,805.0
9	72036854775806	72,036,854,775,806.0
10	72036854775807	72,036,854,775,807.0
11	0	0.0
cidx	CBIGINT	FORMAT(CBIGINT,2)
1	-72036854775806	-72,036,854,775,806.00
2	-72036854775805	-72,036,854,775,805.00
3	-72036854775804	-72,036,854,775,804.00
4	-72036854775803	-72,036,854,775,803.00
5	-72036854775802	-72,036,854,775,802.00
6	72036854775803	72,036,854,775,803.00
7	72036854775804	72,036,854,775,804.00
8	72036854775805	72,036,854,775,805.00
9	72036854775806	72,036,854,775,806.00
10	72036854775807	72,036,854,775,807.00
11	0	0.00
cidx	CBIGINT	FORMAT(CBIGINT,3)
1	-72036854775806	-72,036,854,775,806.000
2	-72036854775805	-72,036,854,775,805.000
3	-72036854775804	-72,036,854,775,804.000
4	-72036854775803	-72,036,854,775,803.000
5	-72036854775802	-72,036,854,775,802.000
6	72036854775803	72,036,854,775,803.000
7	72036854775804	72,036,854,775,804.000
8	72036854775805	72,036,854,775,805.000
9	72036854775806	72,036,854,775,806.000
10	72036854775807	72,036,854,775,807.000
11	0	0.000
cidx	CBIGINT	FORMAT(CBIGINT,4)
1	-72036854775806	-72,036,854,775,806.0000
2	-72036854775805	-72,036,854,775,805.0000
3	-72036854775804	-72,036,854,775,804.0000
4	-72036854775803	-72,036,854,775,803.0000
5	-72036854775802	-72,036,854,775,802.0000
6	72036854775803	72,036,854,775,803.0000
7	72036854775804	72,036,854,775,804.0000
8	72036854775805	72,036,854,775,805.0000
9	72036854775806	72,036,854,775,806.0000
10	72036854775807	72,036,854,775,807.0000
11	0	0.0000
cidx	CDECIMAL1	FORMAT(CDECIMAL1,0)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	FORMAT(CDECIMAL1,1)
1	-9	-9.0
2	-8	-8.0
3	-7	-7.0
4	-6	-6.0
5	-5	-5.0
6	5	5.0
7	6	6.0
8	7	7.0
9	8	8.0
10	9	9.0
11	0	0.0
cidx	CDECIMAL1	FORMAT(CDECIMAL1,2)
1	-9	-9.00
2	-8	-8.00
3	-7	-7.00
4	-6	-6.00
5	-5	-5.00
6	5	5.00
7	6	6.00
8	7	7.00
9	8	8.00
10	9	9.00
11	0	0.00
cidx	CDECIMAL1	FORMAT(CDECIMAL1,3)
1	-9	-9.000
2	-8	-8.000
3	-7	-7.000
4	-6	-6.000
5	-5	-5.000
6	5	5.000
7	6	6.000
8	7	7.000
9	8	8.000
10	9	9.000
11	0	0.000
cidx	CDECIMAL1	FORMAT(CDECIMAL1,4)
1	-9	-9.0000
2	-8	-8.0000
3	-7	-7.0000
4	-6	-6.0000
5	-5	-5.0000
6	5	5.0000
7	6	6.0000
8	7	7.0000
9	8	8.0000
10	9	9.0000
11	0	0.0000
cidx	CDECIMAL4	FORMAT(CDECIMAL4,0)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4	FORMAT(CDECIMAL4,1)
1	-999	-999.0
2	-998	-998.0
3	-997	-997.0
4	-996	-996.0
5	-995	-995.0
6	995	995.0
7	996	996.0
8	997	997.0
9	998	998.0
10	999	999.0
11	0	0.0
cidx	CDECIMAL4	FORMAT(CDECIMAL4,2)
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL4	FORMAT(CDECIMAL4,3)
1	-999	-999.000
2	-998	-998.000
3	-997	-997.000
4	-996	-996.000
5	-995	-995.000
6	995	995.000
7	996	996.000
8	997	997.000
9	998	998.000
10	999	999.000
11	0	0.000
cidx	CDECIMAL4	FORMAT(CDECIMAL4,4)
1	-999	-999.0000
2	-998	-998.0000
3	-997	-997.0000
4	-996	-996.0000
5	-995	-995.0000
6	995	995.0000
7	996	996.0000
8	997	997.0000
9	998	998.0000
10	999	999.0000
11	0	0.0000
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,0)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
