cidx	CBIGINT	FORMAT(CBIGINT,0)
1	-72036854775806	-72,036,854,775,806
2	-72036854775805	-72,036,854,775,805
3	-72036854775804	-72,036,854,775,804
4	-72036854775803	-72,036,854,775,803
5	-72036854775802	-72,036,854,775,802
6	72036854775803	72,036,854,775,803
7	72036854775804	72,036,854,775,804
8	72036854775805	72,036,854,775,805
9	72036854775806	72,036,854,775,806
10	72036854775807	72,036,854,775,807
11	0	0
cidx	CDECIMAL1	FORMAT(CDECIMAL1,2)
1	-9	-9.00
2	-8	-8.00
3	-7	-7.00
4	-6	-6.00
5	-5	-5.00
6	5	5.00
7	6	6.00
8	7	7.00
9	8	8.00
10	9	9.00
11	0	0.00
cidx	CDECIMAL4	FORMAT(CDECIMAL4,-1)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,1)
1	-9.99	-10.0
2	-9.98	-10.0
3	-9.97	-10.0
4	-9.96	-10.0
5	-9.95	-10.0
6	9.95	10.0
7	9.96	10.0
8	9.97	10.0
9	9.98	10.0
10	9.99	10.0
11	0.00	0.0
cidx	CDECIMAL5	FORMAT(CDECIMAL5,4)
1	-999	-999.0000
2	-998	-998.0000
3	-997	-997.0000
4	-996	-996.0000
5	-995	-995.0000
6	995	995.0000
7	996	996.0000
8	997	997.0000
9	998	998.0000
10	999	999.0000
11	0	0.0000
cidx	CDECIMAL9	FORMAT(CDECIMAL9,5)
1	-999999	-999,999.00000
2	-999998	-999,998.00000
3	-999997	-999,997.00000
4	-999996	-999,996.00000
5	-999995	-999,995.00000
6	999995	999,995.00000
7	999996	999,996.00000
8	999997	999,997.00000
9	999998	999,998.00000
10	999999	999,999.00000
11	0	0.00000
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,2)
1	-9999.99	-9,999.99
2	-9999.98	-9,999.98
3	-9999.97	-9,999.97
4	-9999.96	-9,999.96
5	-9999.95	-9,999.95
6	9999.95	9,999.95
7	9999.96	9,999.96
8	9999.97	9,999.97
9	9999.98	9,999.98
10	9999.99	9,999.99
11	0.00	0.00
cidx	CDECIMAL10	FORMAT(CDECIMAL10,10)
1	-9999999	-9,999,999.0000000000
2	-9999998	-9,999,998.0000000000
3	-9999997	-9,999,997.0000000000
4	-9999996	-9,999,996.0000000000
5	-9999995	-9,999,995.0000000000
6	9999995	9,999,995.0000000000
7	9999996	9,999,996.0000000000
8	9999997	9,999,997.0000000000
9	9999998	9,999,998.0000000000
10	9999999	9,999,999.0000000000
11	0	0.0000000000
cidx	CDECIMAL18	FORMAT(CDECIMAL18,1)
1	-9999999999999	-9,999,999,999,999.0
2	-9999999999998	-9,999,999,999,998.0
3	-9999999999997	-9,999,999,999,997.0
4	-9999999999996	-9,999,999,999,996.0
5	-9999999999995	-9,999,999,999,995.0
6	9999999999995	9,999,999,999,995.0
7	9999999999996	9,999,999,999,996.0
8	9999999999997	9,999,999,999,997.0
9	9999999999998	9,999,999,999,998.0
10	9999999999999	9,999,999,999,999.0
11	0	0.0
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,4)
1	-99999999999.99	-99,999,999,999.9900
2	-99999999999.98	-99,999,999,999.9800
3	-99999999999.97	-99,999,999,999.9700
4	-99999999999.96	-99,999,999,999.9600
5	-99999999999.95	-99,999,999,999.9500
6	99999999999.95	99,999,999,999.9500
7	99999999999.96	99,999,999,999.9600
8	99999999999.97	99,999,999,999.9700
9	99999999999.98	99,999,999,999.9800
10	99999999999.99	99,999,999,999.9900
11	0.00	0.0000
cidx	CINTEGER	FORMAT(CINTEGER,5)
1	-7483646	-7,483,646.00000
2	-7483645	-7,483,645.00000
3	-7483644	-7,483,644.00000
4	-7483643	-7,483,643.00000
5	-7483642	-7,483,642.00000
6	7483643	7,483,643.00000
7	7483644	7,483,644.00000
8	7483645	7,483,645.00000
9	7483646	7,483,646.00000
10	7483647	7,483,647.00000
11	0	0.00000
cidx	CSMALLINT	FORMAT(CSMALLINT,0)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CTINYINT	FORMAT(CTINYINT,-4)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
