cidx	CDATE	HOUR(CDATE)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	0
7	2009-12-29	0
8	2009-12-30	0
9	2009-12-31	0
10	2009-12-31	0
11	2009-12-31	0
cidx	CDATETIME	HOUR(CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	23
7	2009-12-31 23:59:57	23
8	2009-12-31 23:59:58	23
9	2009-12-31 23:59:59	23
10	2009-12-31 23:59:59	23
11	2009-12-31 23:59:59	23
cidx	HOUR('1:14:25')
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
cidx	HOUR('13:14:25')
1	13
2	13
3	13
4	13
5	13
6	13
7	13
8	13
9	13
10	13
11	13
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
