cidx	CBIGINT	MOD(CBIGINT,10)
1	-72036854775806	-6
2	-72036854775805	-5
3	-72036854775804	-4
4	-72036854775803	-3
5	-72036854775802	-2
6	72036854775803	3
7	72036854775804	4
8	72036854775805	5
9	72036854775806	6
10	72036854775807	7
11	0	0
cidx	CBIGINT	MOD(CBIGINT,2)
1	-72036854775806	0
2	-72036854775805	-1
3	-72036854775804	0
4	-72036854775803	-1
5	-72036854775802	0
6	72036854775803	1
7	72036854775804	0
8	72036854775805	1
9	72036854775806	0
10	72036854775807	1
11	0	0
cidx	CBIGINT	MOD(CBIGINT,0)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CBIGINT	MOD(CBIGINT,-2)
1	-72036854775806	0
2	-72036854775805	-1
3	-72036854775804	0
4	-72036854775803	-1
5	-72036854775802	0
6	72036854775803	1
7	72036854775804	0
8	72036854775805	1
9	72036854775806	0
10	72036854775807	1
11	0	0
cidx	CBIGINT	MOD(CBIGINT,-1)
1	-72036854775806	0
2	-72036854775805	0
3	-72036854775804	0
4	-72036854775803	0
5	-72036854775802	0
6	72036854775803	0
7	72036854775804	0
8	72036854775805	0
9	72036854775806	0
10	72036854775807	0
11	0	0
cidx	CDECIMAL1	MOD(CDECIMAL1,10)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	MOD(CDECIMAL1,2)
1	-9	-1
2	-8	0
3	-7	-1
4	-6	0
5	-5	-1
6	5	1
7	6	0
8	7	1
9	8	0
10	9	1
11	0	0
cidx	CDECIMAL1	MOD(CDECIMAL1,0)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CDECIMAL1	MOD(CDECIMAL1,-2)
1	-9	-1
2	-8	0
3	-7	-1
4	-6	0
5	-5	-1
6	5	1
7	6	0
8	7	1
9	8	0
10	9	1
11	0	0
cidx	CDECIMAL1	MOD(CDECIMAL1,-1)
1	-9	0
2	-8	0
3	-7	0
4	-6	0
5	-5	0
6	5	0
7	6	0
8	7	0
9	8	0
10	9	0
11	0	0
cidx	CDECIMAL4	MOD(CDECIMAL4,10)
1	-999	-9
2	-998	-8
3	-997	-7
4	-996	-6
5	-995	-5
6	995	5
7	996	6
8	997	7
9	998	8
10	999	9
11	0	0
cidx	CDECIMAL4	MOD(CDECIMAL4,2)
1	-999	-1
2	-998	0
3	-997	-1
4	-996	0
5	-995	-1
6	995	1
7	996	0
8	997	1
9	998	0
10	999	1
11	0	0
cidx	CDECIMAL4	MOD(CDECIMAL4,0)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL4	MOD(CDECIMAL4,-2)
1	-999	-1
2	-998	0
3	-997	-1
4	-996	0
5	-995	-1
6	995	1
7	996	0
8	997	1
9	998	0
10	999	1
11	0	0
cidx	CDECIMAL4	MOD(CDECIMAL4,-1)
1	-999	0
2	-998	0
3	-997	0
4	-996	0
5	-995	0
6	995	0
7	996	0
8	997	0
9	998	0
10	999	0
11	0	0
cidx	CDECIMAL4_2	MOD(CDECIMAL4_2,10)
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CDECIMAL4_2	MOD(CDECIMAL4_2,2)
1	-9.99	-1.99
2	-9.98	-1.98
3	-9.97	-1.97
4	-9.96	-1.96
5	-9.95	-1.95
6	9.95	1.95
7	9.96	1.96
8	9.97	1.97
9	9.98	1.98
10	9.99	1.99
11	0.00	0.00
cidx	CDECIMAL4_2	MOD(CDECIMAL4_2,0)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDECIMAL4_2	MOD(CDECIMAL4_2,-2)
1	-9.99	-1.99
2	-9.98	-1.98
3	-9.97	-1.97
4	-9.96	-1.96
5	-9.95	-1.95
6	9.95	1.95
7	9.96	1.96
8	9.97	1.97
9	9.98	1.98
10	9.99	1.99
11	0.00	0.00
cidx	CDECIMAL4_2	MOD(CDECIMAL4_2,-1)
1	-9.99	-0.99
2	-9.98	-0.98
3	-9.97	-0.97
4	-9.96	-0.96
5	-9.95	-0.95
6	9.95	0.95
7	9.96	0.96
8	9.97	0.97
9	9.98	0.98
10	9.99	0.99
11	0.00	0.00
cidx	CDECIMAL5	MOD(CDECIMAL5,10)
1	-999	-9
2	-998	-8
3	-997	-7
4	-996	-6
5	-995	-5
6	995	5
7	996	6
8	997	7
9	998	8
10	999	9
11	0	0
cidx	CDECIMAL5	MOD(CDECIMAL5,2)
1	-999	-1
2	-998	0
3	-997	-1
4	-996	0
5	-995	-1
6	995	1
7	996	0
8	997	1
9	998	0
10	999	1
11	0	0
cidx	CDECIMAL5	MOD(CDECIMAL5,0)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	NULL
cidx	CDECIMAL5	MOD(CDECIMAL5,-2)
1	-999	-1
2	-998	0
3	-997	-1
4	-996	0
5	-995	-1
6	995	1
7	996	0
8	997	1
9	998	0
10	999	1
11	0	0
cidx	CDECIMAL5	MOD(CDECIMAL5,-1)
1	-999	0
2	-998	0
3	-997	0
4	-996	0
5	-995	0
6	995	0
7	996	0
8	997	0
9	998	0
10	999	0
11	0	0
cidx	CDECIMAL9	MOD(CDECIMAL9,10)
1	-999999	-9
2	-999998	-8
3	-999997	-7
4	-999996	-6
5	-999995	-5
6	999995	5
7	999996	6
8	999997	7
9	999998	8
10	999999	9
11	0	0
cidx	CDECIMAL9	MOD(CDECIMAL9,2)
1	-999999	-1
2	-999998	0
3	-999997	-1
4	-999996	0
5	-999995	-1
6	999995	1
7	999996	0
8	999997	1
9	999998	0
10	999999	1
11	0	0
