cidx	CDATE	MONTH(CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	12
7	2009-12-29	12
8	2009-12-30	12
9	2009-12-31	12
10	2009-12-31	12
11	2009-12-31	12
cidx	CDATETIME	MONTH(CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	12
7	2009-12-31 23:59:57	12
8	2009-12-31 23:59:58	12
9	2009-12-31 23:59:59	12
10	2009-12-31 23:59:59	12
11	2009-12-31 23:59:59	12
cidx	MONTH('2009-02-28')
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
cidx	MONTH('2009-07-04')
1	7
2	7
3	7
4	7
5	7
6	7
7	7
8	7
9	7
10	7
11	7
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
