cidx	CDATE	MONTHNAME(CDATE)
1	1997-01-01	January
2	1997-01-01	January
3	1997-01-02	January
4	1997-01-03	January
5	1997-01-04	January
6	2009-12-28	December
7	2009-12-29	December
8	2009-12-30	December
9	2009-12-31	December
10	2009-12-31	December
11	2009-12-31	December
cidx	CDATETIME	MONTHNAME(CDATETIME)
1	1997-01-01 00:00:00	January
2	1997-01-01 00:00:01	January
3	1997-01-02 00:00:01	January
4	1997-01-03 00:00:02	January
5	1997-01-04 00:00:03	January
6	2009-12-31 23:59:56	December
7	2009-12-31 23:59:57	December
8	2009-12-31 23:59:58	December
9	2009-12-31 23:59:59	December
10	2009-12-31 23:59:59	December
11	2009-12-31 23:59:59	December
cidx	MONTHNAME('2009-02-28')
1	February
2	February
3	February
4	February
5	February
6	February
7	February
8	February
9	February
10	February
11	February
cidx	MONTHNAME('2009-07-04')
1	July
2	July
3	July
4	July
5	July
6	July
7	July
8	July
9	July
10	July
11	July
cidx	CDATE
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
