cidx	CCHAR1	POSITION('aaa' IN CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	POSITION('zzz' IN CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	POSITION('aaaaaaaaa' IN CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	POSITION('zzzzzzzzz' IN CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR2	POSITION('aaa' IN CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR2	POSITION('zzz' IN CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR2	POSITION('aaaaaaaaa' IN CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR2	POSITION('zzzzzzzzz' IN CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR3	POSITION('aaa' IN CCHAR3)
1	aaa	1
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR3	POSITION('zzz' IN CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	1
11	NULL	NULL
cidx	CCHAR3	POSITION('aaaaaaaaa' IN CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR3	POSITION('zzzzzzzzz' IN CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR4	POSITION('aaa' IN CCHAR4)
1	aaaa	1
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR4	POSITION('zzz' IN CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	1
11	NULL	NULL
cidx	CCHAR4	POSITION('aaaaaaaaa' IN CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR4	POSITION('zzzzzzzzz' IN CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR5	POSITION('aaa' IN CCHAR5)
1	aaaaa	1
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR5	POSITION('zzz' IN CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	1
11	NULL	NULL
cidx	CCHAR5	POSITION('aaaaaaaaa' IN CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR5	POSITION('zzzzzzzzz' IN CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR6	POSITION('aaa' IN CCHAR6)
1	aaaaaa	1
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR6	POSITION('zzz' IN CCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	1
11	NULL	NULL
cidx	CCHAR6	POSITION('aaaaaaaaa' IN CCHAR6)
1	aaaaaa	0
