cidx	CBIGINT	RADIANS(CBIGINT)
1	-72036854775806	-1257280298618.82
2	-72036854775805	-1257280298618.8
3	-72036854775804	-1257280298618.78
4	-72036854775803	-1257280298618.76
5	-72036854775802	-1257280298618.75
6	72036854775803	1257280298618.76
7	72036854775804	1257280298618.78
8	72036854775805	1257280298618.8
9	72036854775806	1257280298618.82
10	72036854775807	1257280298618.83
11	0	0
cidx	CDECIMAL1	RADIANS(CDECIMAL1)
1	-9	-0.15707963267949
2	-8	-0.139626340159546
3	-7	-0.122173047639603
4	-6	-0.10471975511966
5	-5	-0.0872664625997165
6	5	0.0872664625997165
7	6	0.10471975511966
8	7	0.122173047639603
9	8	0.139626340159546
10	9	0.15707963267949
11	0	0
cidx	CDECIMAL4	RADIANS(CDECIMAL4)
1	-999	-17.4358392274234
2	-998	-17.4183859349034
3	-997	-17.4009326423835
4	-996	-17.3834793498635
5	-995	-17.3660260573436
6	995	17.3660260573436
7	996	17.3834793498635
8	997	17.4009326423835
9	998	17.4183859349034
10	999	17.4358392274234
11	0	0
cidx	CDECIMAL4_2	RADIANS(CDECIMAL4_2)
1	-9.99	-0.174358392274234
2	-9.98	-0.174183859349034
3	-9.97	-0.174009326423835
4	-9.96	-0.173834793498635
5	-9.95	-0.173660260573436
6	9.95	0.173660260573436
7	9.96	0.173834793498635
8	9.97	0.174009326423835
9	9.98	0.174183859349034
10	9.99	0.174358392274234
11	0.00	0
cidx	CDECIMAL5	RADIANS(CDECIMAL5)
1	-999	-17.4358392274234
2	-998	-17.4183859349034
3	-997	-17.4009326423835
4	-996	-17.3834793498635
5	-995	-17.3660260573436
6	995	17.3660260573436
7	996	17.3834793498635
8	997	17.4009326423835
9	998	17.4183859349034
10	999	17.4358392274234
11	0	0
cidx	CDECIMAL9	RADIANS(CDECIMAL9)
1	-999999	-17453.2750666508
2	-999998	-17453.2576133583
3	-999997	-17453.2401600657
4	-999996	-17453.2227067732
5	-999995	-17453.2052534807
6	999995	17453.2052534807
7	999996	17453.2227067732
8	999997	17453.2401600657
9	999998	17453.2576133583
10	999999	17453.2750666508
11	0	0
cidx	CDECIMAL9_2	RADIANS(CDECIMAL9_2)
1	-9999.99	-174.532750666508
2	-9999.98	-174.532576133583
3	-9999.97	-174.532401600657
4	-9999.96	-174.532227067732
5	-9999.95	-174.532052534807
6	9999.95	174.532052534807
7	9999.96	174.532227067732
8	9999.97	174.532401600657
9	9999.98	174.532576133583
10	9999.99	174.532750666508
11	0.00	0
cidx	CDECIMAL10	RADIANS(CDECIMAL10)
1	-9999999	-174532.90774614
2	-9999998	-174532.890292848
3	-9999997	-174532.872839555
4	-9999996	-174532.855386263
5	-9999995	-174532.83793297
6	9999995	174532.83793297
7	9999996	174532.855386263
8	9999997	174532.872839555
9	9999998	174532.890292848
10	9999999	174532.90774614
11	0	0
cidx	CDECIMAL18	RADIANS(CDECIMAL18)
1	-9999999999999	-174532925199.415
2	-9999999999998	-174532925199.398
3	-9999999999997	-174532925199.381
4	-9999999999996	-174532925199.363
5	-9999999999995	-174532925199.346
6	9999999999995	174532925199.346
7	9999999999996	174532925199.363
8	9999999999997	174532925199.381
9	9999999999998	174532925199.398
10	9999999999999	174532925199.415
11	0	0
cidx	CDECIMAL18_2	RADIANS(CDECIMAL18_2)
1	-99999999999.99	-1745329251.99416
2	-99999999999.98	-1745329251.99398
3	-99999999999.97	-1745329251.99381
4	-99999999999.96	-1745329251.99363
5	-99999999999.95	-1745329251.99346
6	99999999999.95	1745329251.99346
7	99999999999.96	1745329251.99363
8	99999999999.97	1745329251.99381
9	99999999999.98	1745329251.99398
10	99999999999.99	1745329251.99416
11	0.00	0
cidx	CINTEGER	RADIANS(CINTEGER)
1	-7483646	-130614.262753704
2	-7483645	-130614.245300411
3	-7483644	-130614.227847119
4	-7483643	-130614.210393826
5	-7483642	-130614.192940533
6	7483643	130614.210393826
7	7483644	130614.227847119
8	7483645	130614.245300411
9	7483646	130614.262753704
10	7483647	130614.280206996
11	0	0
cidx	CSMALLINT	RADIANS(CSMALLINT)
1	-766	-13.3692220702766
2	-765	-13.3517687777566
3	-764	-13.3343154852367
4	-763	-13.3168621927167
5	-762	-13.2994089001968
6	763	13.3168621927167
7	764	13.3343154852367
8	765	13.3517687777566
9	766	13.3692220702766
10	767	13.3866753627965
11	0	0
cidx	CTINYINT	RADIANS(CTINYINT)
1	-26	-0.453785605518526
2	-25	-0.436332312998582
3	-24	-0.418879020478639
4	-23	-0.401425727958696
5	-22	-0.383972435438752
6	23	0.401425727958696
7	24	0.418879020478639
8	25	0.436332312998582
9	26	0.453785605518526
10	27	0.471238898038469
11	0	0
cidx	RADIANS(0)
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
cidx	RADIANS(60)
1	1.0471975511966
2	1.0471975511966
3	1.0471975511966
4	1.0471975511966
5	1.0471975511966
6	1.0471975511966
7	1.0471975511966
8	1.0471975511966
9	1.0471975511966
10	1.0471975511966
11	1.0471975511966
cidx	RADIANS(90)
1	1.5707963267949
2	1.5707963267949
3	1.5707963267949
4	1.5707963267949
5	1.5707963267949
6	1.5707963267949
7	1.5707963267949
8	1.5707963267949
9	1.5707963267949
10	1.5707963267949
11	1.5707963267949
cidx	RADIANS(180)
1	3.14159265358979
2	3.14159265358979
3	3.14159265358979
4	3.14159265358979
5	3.14159265358979
6	3.14159265358979
7	3.14159265358979
8	3.14159265358979
9	3.14159265358979
10	3.14159265358979
11	3.14159265358979
cidx	RADIANS(360)
1	6.28318530717959
2	6.28318530717959
3	6.28318530717959
4	6.28318530717959
5	6.28318530717959
6	6.28318530717959
7	6.28318530717959
8	6.28318530717959
9	6.28318530717959
10	6.28318530717959
11	6.28318530717959
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
