cidx	CCHAR1	REPLACE(CCHAR1,'a','II')
1	a	II
2	a	II
3	a	II
4	a	II
5	a	II
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	REPLACE(CCHAR1,'zz','JJ')
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR2	REPLACE(CCHAR2,'a','II')
1	aa	IIII
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	REPLACE(CCHAR2,'zz','JJ')
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	JJ
11	NULL	NULL
cidx	CCHAR3	REPLACE(CCHAR3,'a','II')
1	aaa	IIIIII
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	REPLACE(CCHAR3,'zz','JJ')
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	JJz
11	NULL	NULL
cidx	CCHAR4	REPLACE(CCHAR4,'a','II')
1	aaaa	IIIIIIII
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	REPLACE(CCHAR4,'zz','JJ')
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	JJJJ
11	NULL	NULL
cidx	CCHAR5	REPLACE(CCHAR5,'a','II')
1	aaaaa	IIIIIIIIII
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	REPLACE(CCHAR5,'zz','JJ')
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	JJJJz
11	NULL	NULL
cidx	CCHAR6	REPLACE(CCHAR6,'a','II')
1	aaaaaa	IIIIIIIIIIII
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	REPLACE(CCHAR6,'zz','JJ')
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	JJJJJJ
11	NULL	NULL
cidx	CCHAR7	REPLACE(CCHAR7,'a','II')
1	aaaaaaa	IIIIIIIIIIIIII
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	REPLACE(CCHAR7,'zz','JJ')
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	JJJJJJz
11	NULL	NULL
cidx	CCHAR8	REPLACE(CCHAR8,'a','II')
1	aaaaaaaa	IIIIIIIIIIIIIIII
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR8	REPLACE(CCHAR8,'zz','JJ')
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	JJJJJJJJ
11	NULL	NULL
cidx	CCHAR9	REPLACE(CCHAR9,'a','II')
1	aaaaaaaaa	IIIIIIIIIIIIIIIIII
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR9	REPLACE(CCHAR9,'zz','JJ')
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	JJJJJJJJz
11	NULL	NULL
cidx	CCHAR255	REPLACE(CCHAR255,'a','II')
1	aaaaaaaaaa	IIIIIIIIIIIIIIIIIIII
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	REPLACE(CCHAR255,'zz','JJ')
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	JJJJJJJJJJ
11	NULL	NULL
cidx	CVCHAR1	REPLACE(CVCHAR1,'a','II')
1	a	II
2	a	II
3	a	II
4	a	II
5	a	II
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	REPLACE(CVCHAR1,'zz','JJ')
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR2	REPLACE(CVCHAR2,'a','II')
1	aa	IIII
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
