cidx	CCHAR1	RIGHT(CCHAR1,2)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	RIGHT(CCHAR1,5)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	RIGHT(CCHAR1,7)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	RIGHT(CCHAR1,8)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	RIGHT(CCHAR1,9)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	RIGHT(CCHAR1,25)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,2)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,5)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,7)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,8)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,9)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR2	RIGHT(CCHAR2,25)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,2)
1	aaa	aa
2	c	c
3	cc	cc
4	ccc	cc
5	ccc	cc
6	xxx	xx
7	xxx	xx
8	xxx	xx
9	xxx	xx
10	zzz	zz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,5)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,7)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,8)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,9)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR3	RIGHT(CCHAR3,25)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,2)
1	aaaa	aa
2	d	d
3	dd	dd
4	ddd	dd
5	dddd	dd
6	wwww	ww
7	wwww	ww
8	wwww	ww
9	wwww	ww
10	zzzz	zz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,5)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,7)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,8)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,9)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR4	RIGHT(CCHAR4,25)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,2)
1	aaaaa	aa
2	e	e
3	ee	ee
4	eee	ee
5	eeee	ee
6	vvvvv	vv
7	vvvvv	vv
8	vvvvv	vv
9	vvvvv	vv
10	zzzzz	zz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,5)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,7)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,8)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,9)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR5	RIGHT(CCHAR5,25)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,2)
1	aaaaaa	aa
2	f	f
3	ff	ff
4	fff	ff
5	ffff	ff
6	uuuuuu	uu
7	uuuuuu	uu
8	uuuuuu	uu
9	uuuuuu	uu
10	zzzzzz	zz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,5)
1	aaaaaa	aaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuu
7	uuuuuu	uuuuu
8	uuuuuu	uuuuu
9	uuuuuu	uuuuu
10	zzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,7)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,8)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,9)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	RIGHT(CCHAR6,25)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,2)
1	aaaaaaa	aa
2	g	g
3	gg	gg
4	ggg	gg
5	gggg	gg
6	ttttttt	tt
7	ttttttt	tt
8	ttttttt	tt
9	ttttttt	tt
10	zzzzzzz	zz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,5)
1	aaaaaaa	aaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttt
7	ttttttt	ttttt
8	ttttttt	ttttt
9	ttttttt	ttttt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,7)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,8)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,9)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	RIGHT(CCHAR7,25)
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,2)
1	aaaaaaaa	aa
2	h	h
3	hh	hh
4	hhh	hh
5	hhhh	hh
6	sssssss	ss
7	ssssssss	ss
8	ssssssss	ss
9	ssssssss	ss
10	zzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,5)
1	aaaaaaaa	aaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssss
7	ssssssss	sssss
8	ssssssss	sssss
9	ssssssss	sssss
10	zzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,7)
1	aaaaaaaa	aaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	sssssss
8	ssssssss	sssssss
9	ssssssss	sssssss
10	zzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,8)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,9)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR8	RIGHT(CCHAR8,25)
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,2)
1	aaaaaaaaa	aa
2	i	i
3	ii	ii
4	iii	ii
5	iiii	ii
6	rrrrrrr	rr
7	rrrrrrrr	rr
8	rrrrrrrrr	rr
9	rrrrrrrrr	rr
10	zzzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,5)
1	aaaaaaaaa	aaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrr
7	rrrrrrrr	rrrrr
8	rrrrrrrrr	rrrrr
9	rrrrrrrrr	rrrrr
10	zzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,7)
1	aaaaaaaaa	aaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrr
8	rrrrrrrrr	rrrrrrr
