cidx	CBIGINT	ROUND(CBIGINT)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CBIGINT	ROUND(CBIGINT,1)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CBIGINT	ROUND(CBIGINT,2)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CBIGINT	ROUND(CBIGINT,0)
1	-72036854775806	-72036854775806
2	-72036854775805	-72036854775805
3	-72036854775804	-72036854775804
4	-72036854775803	-72036854775803
5	-72036854775802	-72036854775802
6	72036854775803	72036854775803
7	72036854775804	72036854775804
8	72036854775805	72036854775805
9	72036854775806	72036854775806
10	72036854775807	72036854775807
11	0	0
cidx	CBIGINT	ROUND(CBIGINT,-2)
1	-72036854775806	-72036854775800
2	-72036854775805	-72036854775800
3	-72036854775804	-72036854775800
4	-72036854775803	-72036854775800
5	-72036854775802	-72036854775800
6	72036854775803	72036854775800
7	72036854775804	72036854775800
8	72036854775805	72036854775800
9	72036854775806	72036854775800
10	72036854775807	72036854775800
11	0	0
cidx	CBIGINT	ROUND(CBIGINT,-1)
1	-72036854775806	-72036854775810
2	-72036854775805	-72036854775810
3	-72036854775804	-72036854775800
4	-72036854775803	-72036854775800
5	-72036854775802	-72036854775800
6	72036854775803	72036854775800
7	72036854775804	72036854775800
8	72036854775805	72036854775810
9	72036854775806	72036854775810
10	72036854775807	72036854775810
11	0	0
cidx	CDECIMAL1	ROUND(CDECIMAL1)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	ROUND(CDECIMAL1,1)
1	-9	-9.0
2	-8	-8.0
3	-7	-7.0
4	-6	-6.0
5	-5	-5.0
6	5	5.0
7	6	6.0
8	7	7.0
9	8	8.0
10	9	9.0
11	0	0.0
cidx	CDECIMAL1	ROUND(CDECIMAL1,2)
1	-9	-9.00
2	-8	-8.00
3	-7	-7.00
4	-6	-6.00
5	-5	-5.00
6	5	5.00
7	6	6.00
8	7	7.00
9	8	8.00
10	9	9.00
11	0	0.00
cidx	CDECIMAL1	ROUND(CDECIMAL1,0)
1	-9	-9
2	-8	-8
3	-7	-7
4	-6	-6
5	-5	-5
6	5	5
7	6	6
8	7	7
9	8	8
10	9	9
11	0	0
cidx	CDECIMAL1	ROUND(CDECIMAL1,-2)
1	-9	0
2	-8	0
3	-7	0
4	-6	0
5	-5	0
6	5	0
7	6	0
8	7	0
9	8	0
10	9	0
11	0	0
cidx	CDECIMAL4	ROUND(CDECIMAL4)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4	ROUND(CDECIMAL4,1)
1	-999	-999.0
2	-998	-998.0
3	-997	-997.0
4	-996	-996.0
5	-995	-995.0
6	995	995.0
7	996	996.0
8	997	997.0
9	998	998.0
10	999	999.0
11	0	0.0
cidx	CDECIMAL4	ROUND(CDECIMAL4,2)
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL4	ROUND(CDECIMAL4,0)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL4	ROUND(CDECIMAL4,-2)
1	-999	-1000
2	-998	-1000
3	-997	-1000
4	-996	-1000
5	-995	-1000
6	995	1000
7	996	1000
8	997	1000
9	998	1000
10	999	1000
11	0	0
cidx	CDECIMAL4	ROUND(CDECIMAL4,-1)
1	-999	-1000
2	-998	-1000
3	-997	-1000
4	-996	-1000
5	-995	-1000
6	995	1000
7	996	1000
8	997	1000
9	998	1000
10	999	1000
11	0	0
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2,1)
1	-9.99	-10.0
2	-9.98	-10.0
3	-9.97	-10.0
4	-9.96	-10.0
5	-9.95	-10.0
6	9.95	10.0
7	9.96	10.0
