cidx	CDATE	SECOND(CDATE)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	0
7	2009-12-29	0
8	2009-12-30	0
9	2009-12-31	0
10	2009-12-31	0
11	2009-12-31	0
cidx	CDATETIME	SECOND(CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	2
5	1997-01-04 00:00:03	3
6	2009-12-31 23:59:56	56
7	2009-12-31 23:59:57	57
8	2009-12-31 23:59:58	58
9	2009-12-31 23:59:59	59
10	2009-12-31 23:59:59	59
11	2009-12-31 23:59:59	59
cidx	SECOND('1:14:25')
1	25
2	25
3	25
4	25
5	25
6	25
7	25
8	25
9	25
10	25
11	25
cidx	SECOND('13:14:25')
1	25
2	25
3	25
4	25
5	25
6	25
7	25
8	25
9	25
10	25
11	25
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
