cidx	TIME_FORMAT('2009-10-04 22:23:00','%W %M %Y %w %l')
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	TIME_FORMAT('2009-10-04 22:23:00','%D %y %a %d %m %b %j')
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	TIME_FORMAT('22:23:00','%f %H %h %I %i %k %l %p %r %S %s %T')
1	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
2	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
3	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
4	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
5	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
6	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
7	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
8	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
9	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
10	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
11	000000 22 10 10 23 22 10 PM 10:23:00 PM 00 00 22:23:00
cidx	TIME_FORMAT('01:02:00','%f %H %h %I %i %k %l %p %r %S %s %T')
1	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
2	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
3	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
4	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
5	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
6	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
7	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
8	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
9	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
10	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
11	000000 01 01 01 02 1 1 AM 01:02:00 AM 00 00 01:02:00
