cidx	CDATETIME	TIME_TO_SEC(CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	2
5	1997-01-04 00:00:03	3
6	2009-12-31 23:59:56	86396
7	2009-12-31 23:59:57	86397
8	2009-12-31 23:59:58	86398
9	2009-12-31 23:59:59	86399
10	2009-12-31 23:59:59	86399
11	2009-12-31 23:59:59	86399
cidx	TIME_TO_SEC('22:23:00')
1	80580
2	80580
3	80580
4	80580
5	80580
6	80580
7	80580
8	80580
9	80580
10	80580
11	80580
cidx	TIME_TO_SEC('00:39:38')
1	2378
2	2378
3	2378
4	2378
5	2378
6	2378
7	2378
8	2378
9	2378
10	2378
11	2378
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
