cidx	CDATE	WEEK(CDATE,0)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	WEEK(CDATE,1)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	53
7	2009-12-29	53
8	2009-12-30	53
9	2009-12-31	53
10	2009-12-31	53
11	2009-12-31	53
cidx	CDATE	WEEK(CDATE,2)
1	1997-01-01	52
2	1997-01-01	52
3	1997-01-02	52
4	1997-01-03	52
5	1997-01-04	52
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	WEEK(CDATE,3)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	53
7	2009-12-29	53
8	2009-12-30	53
9	2009-12-31	53
10	2009-12-31	53
11	2009-12-31	53
cidx	CDATE	WEEK(CDATE,4)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	WEEK(CDATE,5)
1	1997-01-01	0
2	1997-01-01	0
3	1997-01-02	0
4	1997-01-03	0
5	1997-01-04	0
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	WEEK(CDATE,6)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATE	WEEK(CDATE,7)
1	1997-01-01	53
2	1997-01-01	53
3	1997-01-02	53
4	1997-01-03	53
5	1997-01-04	53
6	2009-12-28	52
7	2009-12-29	52
8	2009-12-30	52
9	2009-12-31	52
10	2009-12-31	52
11	2009-12-31	52
cidx	CDATETIME	WEEK(CDATETIME,0)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	CDATETIME	WEEK(CDATETIME,1)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	53
7	2009-12-31 23:59:57	53
8	2009-12-31 23:59:58	53
9	2009-12-31 23:59:59	53
10	2009-12-31 23:59:59	53
11	2009-12-31 23:59:59	53
cidx	CDATETIME	WEEK(CDATETIME,2)
1	1997-01-01 00:00:00	52
2	1997-01-01 00:00:01	52
3	1997-01-02 00:00:01	52
4	1997-01-03 00:00:02	52
5	1997-01-04 00:00:03	52
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	CDATETIME	WEEK(CDATETIME,3)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	53
7	2009-12-31 23:59:57	53
8	2009-12-31 23:59:58	53
9	2009-12-31 23:59:59	53
10	2009-12-31 23:59:59	53
11	2009-12-31 23:59:59	53
cidx	CDATETIME	WEEK(CDATETIME,4)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	CDATETIME	WEEK(CDATETIME,5)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	CDATETIME	WEEK(CDATETIME,6)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	52
