cidx	cdouble	repeat(cdouble, 3)
1	-1.797693231e+108	-1.797693231e+108-1.797693231e+108-1.797693231e+108
2	-1.79769323e+108	-1.79769323e+108-1.79769323e+108-1.79769323e+108
3	-1.797693229e+108	-1.797693229e+108-1.797693229e+108-1.797693229e+108
4	-1.797693228e+108	-1.797693228e+108-1.797693228e+108-1.797693228e+108
5	-1.797693227e+108	-1.797693227e+108-1.797693227e+108-1.797693227e+108
6	1.797693227e+108	1.797693227e+1081.797693227e+1081.797693227e+108
7	1.797693228e+108	1.797693228e+1081.797693228e+1081.797693228e+108
8	1.797693229e+108	1.797693229e+1081.797693229e+1081.797693229e+108
9	1.79769323e+108	1.79769323e+1081.79769323e+1081.79769323e+108
10	1.797693231e+108	1.797693231e+1081.797693231e+1081.797693231e+108
11	0	000
cidx	cfloat	repeat(cfloat, 3)
1	-3.40287e+018	-3.40287e+018-3.40287e+018-3.40287e+
2	-3.40287e+018	-3.40287e+018-3.40287e+018-3.40287e+
3	-3.40286e+018	-3.40286e+018-3.40286e+018-3.40286e+
4	-3.40286e+018	-3.40286e+018-3.40286e+018-3.40286e+
5	-3.40286e+018	-3.40286e+018-3.40286e+018-3.40286e+
6	3.40286e+018	3.40286e+0183.40286e+0183.40286e+018
7	3.40286e+018	3.40286e+0183.40286e+0183.40286e+018
8	3.40286e+018	3.40286e+0183.40286e+0183.40286e+018
9	3.40287e+018	3.40287e+0183.40287e+0183.40287e+018
10	3.40287e+018	3.40287e+0183.40287e+0183.40287e+018
11	0	000
cidx	cdouble	concat(cdouble, 'abc')
1	-1.797693231e+108	-1.797693231e+108abc
2	-1.79769323e+108	-1.79769323e+108abc
3	-1.797693229e+108	-1.797693229e+108abc
4	-1.797693228e+108	-1.797693228e+108abc
5	-1.797693227e+108	-1.797693227e+108abc
6	1.797693227e+108	1.797693227e+108abc
7	1.797693228e+108	1.797693228e+108abc
8	1.797693229e+108	1.797693229e+108abc
9	1.79769323e+108	1.79769323e+108abc
10	1.797693231e+108	1.797693231e+108abc
11	0	0abc
cidx	cfloat	concat(cfloat, 'abc')
1	-3.40287e+018	-3.40287e+018ab
2	-3.40287e+018	-3.40287e+018ab
3	-3.40286e+018	-3.40286e+018ab
4	-3.40286e+018	-3.40286e+018ab
5	-3.40286e+018	-3.40286e+018ab
6	3.40286e+018	3.40286e+018abc
7	3.40286e+018	3.40286e+018abc
8	3.40286e+018	3.40286e+018abc
9	3.40287e+018	3.40287e+018abc
10	3.40287e+018	3.40287e+018abc
11	0	0abc
cidx	cdouble	concat_ws('|', cdouble, 'abc')
1	-1.797693231e+108	-1.797693231e+108|abc
2	-1.79769323e+108	-1.79769323e+108|abc
3	-1.797693229e+108	-1.797693229e+108|abc
4	-1.797693228e+108	-1.797693228e+108|abc
5	-1.797693227e+108	-1.797693227e+108|abc
6	1.797693227e+108	1.797693227e+108|abc
7	1.797693228e+108	1.797693228e+108|abc
8	1.797693229e+108	1.797693229e+108|abc
9	1.79769323e+108	1.79769323e+108|abc
10	1.797693231e+108	1.797693231e+108|abc
11	0	0|abc
cidx	cfloat	concat_ws('|', cfloat, 'abc')
1	-3.40287e+018	-3.40287e+018|ab
2	-3.40287e+018	-3.40287e+018|ab
3	-3.40286e+018	-3.40286e+018|ab
4	-3.40286e+018	-3.40286e+018|ab
5	-3.40286e+018	-3.40286e+018|ab
6	3.40286e+018	3.40286e+018|abc
7	3.40286e+018	3.40286e+018|abc
8	3.40286e+018	3.40286e+018|abc
9	3.40287e+018	3.40287e+018|abc
10	3.40287e+018	3.40287e+018|abc
11	0	0|abc
cidx	cdouble	elt(1, cdouble, cfloat)
1	-1.797693231e+108	-1.797693231e+108
2	-1.79769323e+108	-1.79769323e+108
3	-1.797693229e+108	-1.797693229e+108
4	-1.797693228e+108	-1.797693228e+108
5	-1.797693227e+108	-1.797693227e+108
6	1.797693227e+108	1.797693227e+108
7	1.797693228e+108	1.797693228e+108
8	1.797693229e+108	1.797693229e+108
9	1.79769323e+108	1.79769323e+108
10	1.797693231e+108	1.797693231e+108
11	0	0
cidx	cdouble	elt(2, cdouble, cfloat)
1	-1.797693231e+108	-3.40287e+018
2	-1.79769323e+108	-3.40287e+018
3	-1.797693229e+108	-3.40286e+018
4	-1.797693228e+108	-3.40286e+018
5	-1.797693227e+108	-3.40286e+018
6	1.797693227e+108	3.40286e+018
7	1.797693228e+108	3.40286e+018
8	1.797693229e+108	3.40286e+018
9	1.79769323e+108	3.40287e+018
10	1.797693231e+108	3.40287e+018
11	0	0
cidx	cdouble	insert(cdouble, 3, 4, 'abc')
1	-1.797693231e+108	-1abc693231e+108
2	-1.79769323e+108	-1abc69323e+108
3	-1.797693229e+108	-1abc693229e+108
4	-1.797693228e+108	-1abc693228e+108
5	-1.797693227e+108	-1abc693227e+108
