cidx	CBIGINT	DEGREES(CBIGINT)
1	-72036854775806	-4.12740774805051e+015
2	-72036854775805	-4.12740774805045e+015
3	-72036854775804	-4.1274077480504e+015
4	-72036854775803	-4.12740774805034e+015
5	-72036854775802	-4.12740774805028e+015
6	72036854775803	4.12740774805034e+015
7	72036854775804	4.1274077480504e+015
8	72036854775805	4.12740774805045e+015
9	72036854775806	4.12740774805051e+015
10	72036854775807	4.12740774805057e+015
11	0	0
cidx	CDECIMAL1	DEGREES(CDECIMAL1)
1	-9	-515.662015617741
2	-8	-458.366236104659
3	-7	-401.070456591576
4	-6	-343.774677078494
5	-5	-286.478897565412
6	5	286.478897565412
7	6	343.774677078494
8	7	401.070456591576
9	8	458.366236104659
10	9	515.662015617741
11	0	0
cidx	CDECIMAL4	DEGREES(CDECIMAL4)
1	-999	-57238.4837335692
2	-998	-57181.1879540562
3	-997	-57123.8921745431
4	-996	-57066.59639503
5	-995	-57009.3006155169
6	995	57009.3006155169
7	996	57066.59639503
8	997	57123.8921745431
9	998	57181.1879540562
10	999	57238.4837335692
11	0	0
cidx	CDECIMAL4_2	DEGREES(CDECIMAL4_2)
1	-9.99	-572.384837335692
2	-9.98	-571.811879540562
3	-9.97	-571.238921745431
4	-9.96	-570.6659639503
5	-9.95	-570.093006155169
6	9.95	570.093006155169
7	9.96	570.6659639503
8	9.97	571.238921745431
9	9.98	571.811879540562
10	9.99	572.384837335692
11	0.00	0
cidx	CDECIMAL5	DEGREES(CDECIMAL5)
1	-999	-57238.4837335692
2	-998	-57181.1879540562
3	-997	-57123.8921745431
4	-996	-57066.59639503
5	-995	-57009.3006155169
6	995	57009.3006155169
7	996	57066.59639503
8	997	57123.8921745431
9	998	57181.1879540562
10	999	57238.4837335692
11	0	0
cidx	CDECIMAL9	DEGREES(CDECIMAL9)
1	-999999	-57295722.2173028
2	-999998	-57295664.9215233
3	-999997	-57295607.6257438
4	-999996	-57295550.3299643
5	-999995	-57295493.0341848
6	999995	57295493.0341848
7	999996	57295550.3299643
8	999997	57295607.6257438
9	999998	57295664.9215233
10	999999	57295722.2173028
11	0	0
cidx	CDECIMAL9_2	DEGREES(CDECIMAL9_2)
1	-9999.99	-572957.222173028
2	-9999.98	-572956.649215233
3	-9999.97	-572956.076257438
4	-9999.96	-572955.503299643
5	-9999.95	-572954.930341848
6	9999.95	572954.930341848
7	9999.96	572955.503299643
8	9999.97	572956.076257438
9	9999.98	572956.649215233
10	9999.99	572957.222173028
11	0.00	0
cidx	CDECIMAL10	DEGREES(CDECIMAL10)
1	-9999999	-572957737.835044
2	-9999998	-572957680.539264
3	-9999997	-572957623.243485
4	-9999996	-572957565.947705
5	-9999995	-572957508.651926
6	9999995	572957508.651926
7	9999996	572957565.947705
8	9999997	572957623.243485
9	9999998	572957680.539264
10	9999999	572957737.835044
11	0	0
cidx	CDECIMAL18	DEGREES(CDECIMAL18)
1	-9999999999999	-572957795130766
2	-9999999999998	-572957795130709
3	-9999999999997	-572957795130651
4	-9999999999996	-572957795130594
5	-9999999999995	-572957795130537
6	9999999999995	572957795130537
7	9999999999996	572957795130594
8	9999999999997	572957795130651
9	9999999999998	572957795130709
10	9999999999999	572957795130766
11	0	0
cidx	CDECIMAL18_2	DEGREES(CDECIMAL18_2)
1	-99999999999.99	-5729577951307.66
2	-99999999999.98	-5729577951307.09
3	-99999999999.97	-5729577951306.51
4	-99999999999.96	-5729577951305.94
5	-99999999999.95	-5729577951305.37
6	99999999999.95	5729577951305.37
7	99999999999.96	5729577951305.94
8	99999999999.97	5729577951306.51
9	99999999999.98	5729577951307.09
10	99999999999.99	5729577951307.66
11	0.00	0
cidx	CINTEGER	DEGREES(CINTEGER)
1	-7483646	-428781331.169961
2	-7483645	-428781273.874181
3	-7483644	-428781216.578401
4	-7483643	-428781159.282622
5	-7483642	-428781101.986842
6	7483643	428781159.282622
7	7483644	428781216.578401
8	7483645	428781273.874181
9	7483646	428781331.169961
10	7483647	428781388.46574
11	0	0
cidx	CSMALLINT	DEGREES(CSMALLINT)
1	-766	-43888.5671070211
2	-765	-43831.271327508
3	-764	-43773.9755479949
4	-763	-43716.6797684818
5	-762	-43659.3839889687
6	763	43716.6797684818
7	764	43773.9755479949
8	765	43831.271327508
9	766	43888.5671070211
10	767	43945.8628865341
11	0	0
cidx	CTINYINT	DEGREES(CTINYINT)
1	-26	-1489.69026734014
2	-25	-1432.39448782706
3	-24	-1375.09870831398
4	-23	-1317.80292880089
5	-22	-1260.50714928781
6	23	1317.80292880089
7	24	1375.09870831398
8	25	1432.39448782706
9	26	1489.69026734014
10	27	1546.98604685322
11	0	0
cidx	DEGREES(0)
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
cidx	DEGREES(60)
1	3437.74677078494
2	3437.74677078494
3	3437.74677078494
4	3437.74677078494
5	3437.74677078494
6	3437.74677078494
7	3437.74677078494
8	3437.74677078494
9	3437.74677078494
10	3437.74677078494
11	3437.74677078494
cidx	DEGREES(90)
1	5156.62015617741
2	5156.62015617741
3	5156.62015617741
4	5156.62015617741
5	5156.62015617741
6	5156.62015617741
7	5156.62015617741
8	5156.62015617741
9	5156.62015617741
10	5156.62015617741
11	5156.62015617741
cidx	DEGREES(180)
1	10313.2403123548
2	10313.2403123548
3	10313.2403123548
4	10313.2403123548
5	10313.2403123548
6	10313.2403123548
7	10313.2403123548
8	10313.2403123548
9	10313.2403123548
10	10313.2403123548
11	10313.2403123548
cidx	DEGREES(360)
1	20626.4806247096
2	20626.4806247096
3	20626.4806247096
4	20626.4806247096
5	20626.4806247096
6	20626.4806247096
7	20626.4806247096
8	20626.4806247096
9	20626.4806247096
10	20626.4806247096
11	20626.4806247096
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
