CIDX	from_unixtime(CIDX         )
1	1969-12-31 18:00:01
2	1969-12-31 18:00:02
3	1969-12-31 18:00:03
4	1969-12-31 18:00:04
5	1969-12-31 18:00:05
6	1969-12-31 18:00:06
7	1969-12-31 18:00:07
8	1969-12-31 18:00:08
9	1969-12-31 18:00:09
10	1969-12-31 18:00:10
11	1969-12-31 18:00:11
CBIGINT	from_unixtime(CBIGINT      )
-72036854775806	NULL
-72036854775805	NULL
-72036854775804	NULL
-72036854775803	NULL
-72036854775802	NULL
72036854775803	NULL
72036854775804	NULL
72036854775805	NULL
72036854775806	NULL
72036854775807	NULL
0	1969-12-31 18:00:00
CDECIMAL1	from_unixtime(CDECIMAL1    )
-9	NULL
-8	NULL
-7	NULL
-6	NULL
-5	NULL
5	1969-12-31 18:00:05
6	1969-12-31 18:00:06
7	1969-12-31 18:00:07
8	1969-12-31 18:00:08
9	1969-12-31 18:00:09
0	1969-12-31 18:00:00
CDECIMAL4	from_unixtime(CDECIMAL4    )
-999	NULL
-998	NULL
-997	NULL
-996	NULL
-995	NULL
995	1969-12-31 18:16:35
996	1969-12-31 18:16:36
997	1969-12-31 18:16:37
998	1969-12-31 18:16:38
999	1969-12-31 18:16:39
0	1969-12-31 18:00:00
CDECIMAL4_2	from_unixtime(CDECIMAL4_2  )
-9.99	NULL
-9.98	NULL
-9.97	NULL
-9.96	NULL
-9.95	NULL
9.95	1969-12-31 18:00:10
9.96	1969-12-31 18:00:10
9.97	1969-12-31 18:00:10
9.98	1969-12-31 18:00:10
9.99	1969-12-31 18:00:10
0.00	1969-12-31 18:00:00
CDECIMAL5	from_unixtime(CDECIMAL5    )
-999	NULL
-998	NULL
-997	NULL
-996	NULL
-995	NULL
995	1969-12-31 18:16:35
996	1969-12-31 18:16:36
997	1969-12-31 18:16:37
998	1969-12-31 18:16:38
999	1969-12-31 18:16:39
0	1969-12-31 18:00:00
CDECIMAL9	from_unixtime(CDECIMAL9    )
-999999	NULL
-999998	NULL
-999997	NULL
-999996	NULL
-999995	NULL
999995	1970-01-12 07:46:35
999996	1970-01-12 07:46:36
999997	1970-01-12 07:46:37
999998	1970-01-12 07:46:38
999999	1970-01-12 07:46:39
0	1969-12-31 18:00:00
CDECIMAL9_2	from_unixtime(CDECIMAL9_2  )
-9999.99	NULL
-9999.98	NULL
-9999.97	NULL
-9999.96	NULL
-9999.95	NULL
9999.95	1969-12-31 20:46:40
9999.96	1969-12-31 20:46:40
9999.97	1969-12-31 20:46:40
9999.98	1969-12-31 20:46:40
9999.99	1969-12-31 20:46:40
0.00	1969-12-31 18:00:00
CDECIMAL10	from_unixtime(CDECIMAL10   )
-9999999	NULL
-9999998	NULL
-9999997	NULL
-9999996	NULL
-9999995	NULL
9999995	1970-04-26 12:46:35
9999996	1970-04-26 12:46:36
9999997	1970-04-26 12:46:37
9999998	1970-04-26 12:46:38
9999999	1970-04-26 12:46:39
0	1969-12-31 18:00:00
CDECIMAL18	from_unixtime(CDECIMAL18   )
-9999999999999	NULL
-9999999999998	NULL
-9999999999997	NULL
-9999999999996	NULL
-9999999999995	NULL
9999999999995	NULL
9999999999996	NULL
9999999999997	NULL
9999999999998	NULL
9999999999999	NULL
0	1969-12-31 18:00:00
