cidx	CCHAR1	INSERT(CCHAR1,-1,4,'a')
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CCHAR1	INSERT(CCHAR1,2,-1,'a')
1	a	aa
2	a	aa
3	a	aa
4	a	aa
5	a	aa
6	z	za
7	z	za
8	z	za
9	z	za
10	z	za
11	NULL	NULL
cidx	CCHAR1	INSERT(CCHAR1,NULL,4,'a')
1	a	NULL
2	a	NULL
3	a	NULL
4	a	NULL
5	a	NULL
6	z	NULL
7	z	NULL
8	z	NULL
9	z	NULL
10	z	NULL
11	NULL	NULL
cidx	CCHAR1	INSERT(CCHAR1,2,4,'a')
1	a	aa
2	a	aa
3	a	aa
4	a	aa
5	a	aa
6	z	za
7	z	za
8	z	za
9	z	za
10	z	za
11	NULL	NULL
cidx	CCHAR1	INSERT(CCHAR1,2,4,'zz')
1	a	azz
2	a	azz
3	a	azz
4	a	azz
5	a	azz
6	z	zzz
7	z	zzz
8	z	zzz
9	z	zzz
10	z	zzz
11	NULL	NULL
cidx	CCHAR2	INSERT(CCHAR2,2,4,'a')
1	aa	aa
2	b	ba
3	bb	ba
4	bb	ba
5	bb	ba
6	yy	ya
7	yy	ya
8	yy	ya
9	yy	ya
10	zz	za
11	NULL	NULL
cidx	CCHAR2	INSERT(CCHAR2,2,4,'zz')
1	aa	azz
2	b	bzz
3	bb	bzz
4	bb	bzz
5	bb	bzz
6	yy	yzz
7	yy	yzz
8	yy	yzz
9	yy	yzz
10	zz	zzz
11	NULL	NULL
cidx	CCHAR3	INSERT(CCHAR3,2,4,'a')
1	aaa	aa
2	c	ca
3	cc	ca
4	ccc	ca
5	ccc	ca
6	xxx	xa
7	xxx	xa
8	xxx	xa
9	xxx	xa
10	zzz	za
11	NULL	NULL
cidx	CCHAR3	INSERT(CCHAR3,2,4,'zz')
1	aaa	azz
2	c	czz
3	cc	czz
4	ccc	czz
5	ccc	czz
6	xxx	xzz
7	xxx	xzz
8	xxx	xzz
9	xxx	xzz
10	zzz	zzz
11	NULL	NULL
cidx	CCHAR4	INSERT(CCHAR4,2,4,'a')
1	aaaa	aa
2	d	da
3	dd	da
4	ddd	da
5	dddd	da
6	wwww	wa
7	wwww	wa
8	wwww	wa
9	wwww	wa
10	zzzz	za
11	NULL	NULL
cidx	CCHAR4	INSERT(CCHAR4,2,4,'zz')
1	aaaa	azz
2	d	dzz
3	dd	dzz
4	ddd	dzz
5	dddd	dzz
6	wwww	wzz
7	wwww	wzz
8	wwww	wzz
9	wwww	wzz
10	zzzz	zzz
11	NULL	NULL
cidx	CCHAR5	INSERT(CCHAR5,2,4,'a')
1	aaaaa	aa
2	e	ea
3	ee	ea
4	eee	ea
5	eeee	ea
6	vvvvv	va
7	vvvvv	va
8	vvvvv	va
9	vvvvv	va
10	zzzzz	za
11	NULL	NULL
cidx	CCHAR5	INSERT(CCHAR5,2,4,'zz')
1	aaaaa	azz
2	e	ezz
3	ee	ezz
4	eee	ezz
5	eeee	ezz
6	vvvvv	vzz
7	vvvvv	vzz
8	vvvvv	vzz
9	vvvvv	vzz
10	zzzzz	zzz
11	NULL	NULL
cidx	CCHAR6	INSERT(CCHAR6,2,4,'a')
1	aaaaaa	aaa
2	f	fa
3	ff	fa
4	fff	fa
5	ffff	fa
6	uuuuuu	uau
7	uuuuuu	uau
8	uuuuuu	uau
9	uuuuuu	uau
10	zzzzzz	zaz
11	NULL	NULL
cidx	CCHAR6	INSERT(CCHAR6,2,4,'zz')
1	aaaaaa	azza
2	f	fzz
3	ff	fzz
4	fff	fzz
5	ffff	fzz
6	uuuuuu	uzzu
7	uuuuuu	uzzu
8	uuuuuu	uzzu
9	uuuuuu	uzzu
10	zzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR7	INSERT(CCHAR7,2,4,'a')
1	aaaaaaa	aaaa
2	g	ga
3	gg	ga
4	ggg	ga
5	gggg	ga
6	ttttttt	tatt
7	ttttttt	tatt
8	ttttttt	tatt
9	ttttttt	tatt
10	zzzzzzz	zazz
11	NULL	NULL
cidx	CCHAR7	INSERT(CCHAR7,2,4,'zz')
1	aaaaaaa	azzaa
2	g	gzz
3	gg	gzz
4	ggg	gzz
5	gggg	gzz
6	ttttttt	tzztt
7	ttttttt	tzztt
8	ttttttt	tzztt
9	ttttttt	tzztt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR8	INSERT(CCHAR8,2,4,'a')
1	aaaaaaaa	aaaaa
2	h	ha
3	hh	ha
4	hhh	ha
5	hhhh	ha
6	sssssss	sass
7	ssssssss	sasss
8	ssssssss	sasss
9	ssssssss	sasss
10	zzzzzzzz	zazzz
11	NULL	NULL
cidx	CCHAR8	INSERT(CCHAR8,2,4,'zz')
1	aaaaaaaa	azzaaa
2	h	hzz
3	hh	hzz
4	hhh	hzz
5	hhhh	hzz
6	sssssss	szzss
7	ssssssss	szzsss
8	ssssssss	szzsss
9	ssssssss	szzsss
10	zzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR9	INSERT(CCHAR9,2,4,'a')
1	aaaaaaaaa	aaaaaa
2	i	ia
3	ii	ia
4	iii	ia
5	iiii	ia
6	rrrrrrr	rarr
7	rrrrrrrr	rarrr
8	rrrrrrrrr	rarrrr
9	rrrrrrrrr	rarrrr
10	zzzzzzzzz	zazzzz
11	NULL	NULL
cidx	CCHAR9	INSERT(CCHAR9,2,4,'zz')
1	aaaaaaaaa	azzaaaa
2	i	izz
3	ii	izz
4	iii	izz
5	iiii	izz
6	rrrrrrr	rzzrr
7	rrrrrrrr	rzzrrr
8	rrrrrrrrr	rzzrrrr
9	rrrrrrrrr	rzzrrrr
10	zzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR255	INSERT(CCHAR255,2,4,'a')
1	aaaaaaaaaa	aaaaaaa
2	j	ja
3	jj	ja
4	jjj	ja
5	jjjj	ja
6	qqqqqqq	qaqq
7	qqqqqqqq	qaqqq
8	qqqqqqqqq	qaqqqq
9	qqqqqqqqqq	qaqqqqq
10	zzzzzzzzzz	zazzzzz
11	NULL	NULL
cidx	CCHAR255	INSERT(CCHAR255,2,4,'zz')
1	aaaaaaaaaa	azzaaaaa
2	j	jzz
3	jj	jzz
4	jjj	jzz
5	jjjj	jzz
6	qqqqqqq	qzzqq
7	qqqqqqqq	qzzqqq
8	qqqqqqqqq	qzzqqqq
9	qqqqqqqqqq	qzzqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CVCHAR1	INSERT(CVCHAR1,2,4,'a')
1	a	aa
2	a	aa
3	a	aa
4	a	aa
5	a	aa
6	z	za
7	z	za
8	z	za
9	z	za
10	z	za
11	NULL	NULL
cidx	CVCHAR1	INSERT(CVCHAR1,2,4,'zz')
1	a	azz
2	a	azz
3	a	azz
4	a	azz
5	a	azz
6	z	zzz
7	z	zzz
8	z	zzz
9	z	zzz
10	z	zzz
11	NULL	NULL
cidx	CVCHAR2	INSERT(CVCHAR2,2,4,'a')
1	aa	aa
2	b	ba
3	bb	ba
4	bb	ba
5	bb	ba
6	yy	ya
7	yy	ya
8	yy	ya
9	yy	ya
10	zz	za
11	NULL	NULL
cidx	CVCHAR2	INSERT(CVCHAR2,2,4,'zz')
1	aa	azz
2	b	bzz
3	bb	bzz
4	bb	bzz
5	bb	bzz
6	yy	yzz
7	yy	yzz
8	yy	yzz
9	yy	yzz
10	zz	zzz
11	NULL	NULL
cidx	CVCHAR3	INSERT(CVCHAR3,2,4,'a')
1	aaa	aa
2	c	ca
3	cc	ca
4	ccc	ca
5	ccc	ca
6	xxx	xa
7	xxx	xa
8	xxx	xa
9	xxx	xa
10	zzz	za
11	NULL	NULL
cidx	CVCHAR3	INSERT(CVCHAR3,2,4,'zz')
1	aaa	azz
2	c	czz
3	cc	czz
4	ccc	czz
5	ccc	czz
6	xxx	xzz
7	xxx	xzz
8	xxx	xzz
9	xxx	xzz
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR4	INSERT(CVCHAR4,2,4,'a')
1	aaaa	aa
2	d	da
3	dd	da
4	ddd	da
5	dddd	da
6	wwww	wa
7	wwww	wa
8	wwww	wa
9	wwww	wa
10	zzzz	za
11	NULL	NULL
cidx	CVCHAR4	INSERT(CVCHAR4,2,4,'zz')
1	aaaa	azz
2	d	dzz
3	dd	dzz
4	ddd	dzz
5	dddd	dzz
6	wwww	wzz
7	wwww	wzz
8	wwww	wzz
9	wwww	wzz
10	zzzz	zzz
11	NULL	NULL
cidx	CVCHAR5	INSERT(CVCHAR5,2,4,'a')
1	aaaaa	aa
2	e	ea
3	ee	ea
4	eee	ea
5	eeee	ea
6	vvvvv	va
7	vvvvv	va
8	vvvvv	va
9	vvvvv	va
10	zzzzz	za
11	NULL	NULL
cidx	CVCHAR5	INSERT(CVCHAR5,2,4,'zz')
1	aaaaa	azz
2	e	ezz
3	ee	ezz
4	eee	ezz
5	eeee	ezz
6	vvvvv	vzz
7	vvvvv	vzz
8	vvvvv	vzz
9	vvvvv	vzz
10	zzzzz	zzz
11	NULL	NULL
cidx	CVCHAR6	INSERT(CVCHAR6,2,4,'a')
1	aaaaaa	aaa
2	f	fa
3	ff	fa
4	fff	fa
5	ffff	fa
6	uuuuuu	uau
7	uuuuuu	uau
8	uuuuuu	uau
9	uuuuuu	uau
10	zzzzzz	zaz
11	NULL	NULL
cidx	CVCHAR6	INSERT(CVCHAR6,2,4,'zz')
1	aaaaaa	azza
2	f	fzz
3	ff	fzz
4	fff	fzz
5	ffff	fzz
6	uuuuuu	uzzu
7	uuuuuu	uzzu
8	uuuuuu	uzzu
9	uuuuuu	uzzu
10	zzzzzz	zzzz
11	NULL	NULL
cidx	CVCHAR7	INSERT(CVCHAR7,2,4,'a')
1	aaaaaaa	aaaa
2	g	ga
3	gg	ga
4	ggg	ga
5	gggg	ga
6	ttttttt	tatt
7	ttttttt	tatt
8	ttttttt	tatt
9	ttttttt	tatt
10	zzzzzzz	zazz
11	NULL	NULL
cidx	CVCHAR7	INSERT(CVCHAR7,2,4,'zz')
1	aaaaaaa	azzaa
2	g	gzz
3	gg	gzz
4	ggg	gzz
5	gggg	gzz
6	ttttttt	tzztt
7	ttttttt	tzztt
8	ttttttt	tzztt
9	ttttttt	tzztt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR8	INSERT(CVCHAR8,2,4,'a')
1	aaaaaaaa	aaaaa
2	h	ha
3	hh	ha
4	hhh	ha
5	hhhh	ha
6	sssssss	sass
7	ssssssss	sasss
8	ssssssss	sasss
9	ssssssss	sasss
10	zzzzzzzz	zazzz
11	NULL	NULL
cidx	CVCHAR8	INSERT(CVCHAR8,2,4,'zz')
1	aaaaaaaa	azzaaa
2	h	hzz
3	hh	hzz
4	hhh	hzz
5	hhhh	hzz
6	sssssss	szzss
7	ssssssss	szzsss
8	ssssssss	szzsss
9	ssssssss	szzsss
10	zzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR255	INSERT(CVCHAR255,2,4,'a')
1	aaaaaaaaaa	aaaaaaa
2	j	ja
3	jj	ja
4	jjj	ja
5	jjjj	ja
6	qqqqqqq	qaqq
7	qqqqqqqq	qaqqq
8	qqqqqqqqq	qaqqqq
9	qqqqqqqqqq	qaqqqqq
10	zzzzzzzzzz	zazzzzz
11	NULL	NULL
cidx	CVCHAR255	INSERT(CVCHAR255,2,4,'zz')
1	aaaaaaaaaa	azzaaaaa
2	j	jzz
3	jj	jzz
4	jjj	jzz
5	jjjj	jzz
6	qqqqqqq	qzzqq
7	qqqqqqqq	qzzqqq
8	qqqqqqqqq	qzzqqqq
9	qqqqqqqqqq	qzzqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR2
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR2
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR3
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR3
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
cidx	CCHAR4
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR4
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR5
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR6
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR7
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
