CIDX	sha(CIDX         )
1	356a192b7913b04c54574d18c28d46e6395428ab
2	da4b9237bacccdf19c0760cab7aec4a8359010b0
3	77de68daecd823babbb58edb1c8e14d7106e83bb
4	1b6453892473a467d07372d45eb05abc2031647a
5	ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4
6	c1dfd96eea8cc2b62785275bca38ac261256e278
7	902ba3cda1883801594b6e1b452790cc53948fda
8	fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f
9	0ade7c2cf97f75d009975f4d720d1fa6c19f4897
10	b1d5781111d84f7b3fe45a0852e59758cd7a87e5
11	17ba0791499db908433b80f37c5fbc89b870084b
CBIGINT	sha(CBIGINT      )
-72036854775806	c3dd72cbf875ced83c00cb15a035ca0f60cd4d09
-72036854775805	655fbe9d0d6b0c1969412b7d4c1bf88554b8acf7
-72036854775804	357bc259a24144d948b135ee94d4697eec44b917
-72036854775803	ef061da82cf4900d7ac7ab06a4a83ea562678f23
-72036854775802	5edc5764b20d8310f2b2d258a87873f153e1d615
72036854775803	43dbf252f3d520e8f38dd7cc1df4819ef6b24a58
72036854775804	2c9ec7b16e89f4b7b15e03d2b28fb214382f0e55
72036854775805	b42e03cf205e324b88907abf57424adc6d4be466
72036854775806	847620fc5bd21f86f5556bbd4b5078ef74789e24
72036854775807	19bf0cbcedf575e74198b985fda18488d1460ea6
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL1	sha(CDECIMAL1    )
-9	68ce583f0ebf973d5bbf39da202cf3c7d7f92b6b
-8	413eb32104d697d2d75b5dfde422a9c299130f44
-7	565e8bd101bd602536fe79ba40584a1561da3581
-6	39a28d38b27d077bf9fe4f5a49e1b2087c4e7902
-5	740f5849a5ca4bbed4d445ec762b06967025d7a2
5	ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4
6	c1dfd96eea8cc2b62785275bca38ac261256e278
7	902ba3cda1883801594b6e1b452790cc53948fda
8	fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f
9	0ade7c2cf97f75d009975f4d720d1fa6c19f4897
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL4	sha(CDECIMAL4    )
-999	a9389fe3addc9eb110fc326bba3cbd5783d64239
-998	67f82f7ef20e852fa30cbe17ba738c0304d31525
-997	20cc5800b26c5d828e3faa2f50b6760778a24a97
