cidx	CBIGINT	ASIN(CBIGINT)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	0
cidx	CDECIMAL1	ASIN(CDECIMAL1)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	0
cidx	CDECIMAL4	ASIN(CDECIMAL4)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	0
cidx	CDECIMAL4_2	ASIN(CDECIMAL4_2)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	0
cidx	CDECIMAL5	ASIN(CDECIMAL5)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	NULL
7	996	NULL
8	997	NULL
9	998	NULL
10	999	NULL
11	0	0
cidx	CDECIMAL9	ASIN(CDECIMAL9)
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	NULL
7	999996	NULL
8	999997	NULL
9	999998	NULL
10	999999	NULL
11	0	0
cidx	CDECIMAL9_2	ASIN(CDECIMAL9_2)
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	NULL
7	9999.96	NULL
8	9999.97	NULL
9	9999.98	NULL
10	9999.99	NULL
11	0.00	0
cidx	CDECIMAL10	ASIN(CDECIMAL10)
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	NULL
7	9999996	NULL
8	9999997	NULL
9	9999998	NULL
10	9999999	NULL
11	0	0
cidx	CDECIMAL18	ASIN(CDECIMAL18)
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	NULL
7	9999999999996	NULL
8	9999999999997	NULL
9	9999999999998	NULL
10	9999999999999	NULL
11	0	0
cidx	CDECIMAL18_2	ASIN(CDECIMAL18_2)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	0
cidx	CINTEGER	ASIN(CINTEGER)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	0
cidx	CSMALLINT	ASIN(CSMALLINT)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	0
cidx	CTINYINT	ASIN(CTINYINT)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	0
cidx	ASIN(0)
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
cidx	ASIN(60)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	ASIN(90)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	ASIN(180)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	ASIN(360)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
11	0
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
11	0
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
11	0
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
11	0
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
11	0.00
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
11	0
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
11	0
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
11	0.00
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
11	0
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
11	0
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
11	0
