COUNT(CDATE)
11
COUNT(CDATETIME)
11
cidx	CDATE	COUNT(CDATE)
1	1997-01-01	1
2	1997-01-01	1
3	1997-01-02	1
4	1997-01-03	1
5	1997-01-04	1
6	2009-12-28	1
7	2009-12-29	1
8	2009-12-30	1
9	2009-12-31	1
10	2009-12-31	1
11	2009-12-31	1
cidx	CDATETIME	COUNT(CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	1
7	2009-12-31 23:59:57	1
8	2009-12-31 23:59:58	1
9	2009-12-31 23:59:59	1
10	2009-12-31 23:59:59	1
11	2009-12-31 23:59:59	1
