COUNT(CBIGINT)
11
COUNT(CDECIMAL1)
11
COUNT(CDECIMAL4)
11
COUNT(CDECIMAL4_2)
11
COUNT(CDECIMAL5)
11
COUNT(CDECIMAL9)
11
COUNT(CDECIMAL9_2)
11
COUNT(CDECIMAL10)
11
COUNT(CDECIMAL18)
11
COUNT(CDECIMAL18_2)
11
COUNT(CINTEGER)
11
COUNT(CSMALLINT)
11
COUNT(CTINYINT)
11
cidx	CBIGINT	COUNT(CBIGINT)
1	-72036854775806	1
2	-72036854775805	1
3	-72036854775804	1
4	-72036854775803	1
5	-72036854775802	1
6	72036854775803	1
7	72036854775804	1
8	72036854775805	1
9	72036854775806	1
10	72036854775807	1
11	0	1
cidx	CDECIMAL1	COUNT(CDECIMAL1)
1	-9	1
2	-8	1
3	-7	1
4	-6	1
5	-5	1
6	5	1
7	6	1
8	7	1
9	8	1
10	9	1
11	0	1
cidx	CDECIMAL4	COUNT(CDECIMAL4)
1	-999	1
2	-998	1
3	-997	1
4	-996	1
5	-995	1
6	995	1
7	996	1
8	997	1
9	998	1
10	999	1
11	0	1
cidx	CDECIMAL4_2	COUNT(CDECIMAL4_2)
1	-9.99	1
2	-9.98	1
3	-9.97	1
4	-9.96	1
5	-9.95	1
6	9.95	1
7	9.96	1
8	9.97	1
9	9.98	1
10	9.99	1
11	0.00	1
cidx	CDECIMAL5	COUNT(CDECIMAL5)
1	-999	1
2	-998	1
3	-997	1
4	-996	1
5	-995	1
6	995	1
7	996	1
8	997	1
9	998	1
10	999	1
11	0	1
cidx	CDECIMAL9	COUNT(CDECIMAL9)
1	-999999	1
2	-999998	1
3	-999997	1
4	-999996	1
5	-999995	1
6	999995	1
7	999996	1
8	999997	1
9	999998	1
10	999999	1
11	0	1
cidx	CDECIMAL9_2	COUNT(CDECIMAL9_2)
1	-9999.99	1
2	-9999.98	1
3	-9999.97	1
4	-9999.96	1
5	-9999.95	1
6	9999.95	1
7	9999.96	1
8	9999.97	1
9	9999.98	1
10	9999.99	1
11	0.00	1
cidx	CDECIMAL10	COUNT(CDECIMAL10)
1	-9999999	1
2	-9999998	1
3	-9999997	1
4	-9999996	1
5	-9999995	1
6	9999995	1
7	9999996	1
8	9999997	1
9	9999998	1
10	9999999	1
11	0	1
cidx	CDECIMAL18	COUNT(CDECIMAL18)
1	-9999999999999	1
2	-9999999999998	1
3	-9999999999997	1
4	-9999999999996	1
5	-9999999999995	1
6	9999999999995	1
7	9999999999996	1
8	9999999999997	1
9	9999999999998	1
10	9999999999999	1
11	0	1
cidx	CDECIMAL18_2	COUNT(CDECIMAL18_2)
1	-99999999999.99	1
2	-99999999999.98	1
3	-99999999999.97	1
4	-99999999999.96	1
5	-99999999999.95	1
6	99999999999.95	1
7	99999999999.96	1
8	99999999999.97	1
9	99999999999.98	1
10	99999999999.99	1
11	0.00	1
cidx	CINTEGER	COUNT(CINTEGER)
1	-7483646	1
2	-7483645	1
3	-7483644	1
4	-7483643	1
5	-7483642	1
6	7483643	1
7	7483644	1
8	7483645	1
9	7483646	1
10	7483647	1
11	0	1
cidx	CSMALLINT	COUNT(CSMALLINT)
1	-766	1
2	-765	1
3	-764	1
4	-763	1
5	-762	1
6	763	1
7	764	1
8	765	1
9	766	1
10	767	1
11	0	1
cidx	CTINYINT	COUNT(CTINYINT)
1	-26	1
2	-25	1
3	-24	1
4	-23	1
5	-22	1
6	23	1
7	24	1
8	25	1
9	26	1
10	27	1
11	0	1
