cidx	DATE_FORMAT('2009-10-04 22:23:00','%W %M %Y')
1	Sunday October 2009
2	Sunday October 2009
3	Sunday October 2009
4	Sunday October 2009
5	Sunday October 2009
6	Sunday October 2009
7	Sunday October 2009
8	Sunday October 2009
9	Sunday October 2009
10	Sunday October 2009
11	Sunday October 2009
cidx	DATE_FORMAT('2009-10-04 22:23:00','%D %y %a %d %m %b %j')
1	4th 09 Sun 04 10 Oct 277
2	4th 09 Sun 04 10 Oct 277
3	4th 09 Sun 04 10 Oct 277
4	4th 09 Sun 04 10 Oct 277
5	4th 09 Sun 04 10 Oct 277
6	4th 09 Sun 04 10 Oct 277
7	4th 09 Sun 04 10 Oct 277
8	4th 09 Sun 04 10 Oct 277
9	4th 09 Sun 04 10 Oct 277
10	4th 09 Sun 04 10 Oct 277
11	4th 09 Sun 04 10 Oct 277
