cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 SECOND)
1	1997-01-01	1996-12-31 23:59:57
2	1997-01-01	1996-12-31 23:59:57
3	1997-01-02	1997-01-01 23:59:57
4	1997-01-03	1997-01-02 23:59:57
5	1997-01-04	1997-01-03 23:59:57
6	2009-12-28	2009-12-27 23:59:57
7	2009-12-29	2009-12-28 23:59:57
8	2009-12-30	2009-12-29 23:59:57
9	2009-12-31	2009-12-30 23:59:57
10	2009-12-31	2009-12-30 23:59:57
11	2009-12-31	2009-12-30 23:59:57
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 MINUTE)
1	1997-01-01	1996-12-31 23:57:00
2	1997-01-01	1996-12-31 23:57:00
3	1997-01-02	1997-01-01 23:57:00
4	1997-01-03	1997-01-02 23:57:00
5	1997-01-04	1997-01-03 23:57:00
6	2009-12-28	2009-12-27 23:57:00
7	2009-12-29	2009-12-28 23:57:00
8	2009-12-30	2009-12-29 23:57:00
9	2009-12-31	2009-12-30 23:57:00
10	2009-12-31	2009-12-30 23:57:00
11	2009-12-31	2009-12-30 23:57:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 HOUR)
1	1997-01-01	1996-12-31 21:00:00
2	1997-01-01	1996-12-31 21:00:00
3	1997-01-02	1997-01-01 21:00:00
4	1997-01-03	1997-01-02 21:00:00
5	1997-01-04	1997-01-03 21:00:00
6	2009-12-28	2009-12-27 21:00:00
7	2009-12-29	2009-12-28 21:00:00
8	2009-12-30	2009-12-29 21:00:00
9	2009-12-31	2009-12-30 21:00:00
10	2009-12-31	2009-12-30 21:00:00
11	2009-12-31	2009-12-30 21:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 DAY)
1	1997-01-01	1996-12-29
2	1997-01-01	1996-12-29
3	1997-01-02	1996-12-30
4	1997-01-03	1996-12-31
5	1997-01-04	1997-01-01
6	2009-12-28	2009-12-25
7	2009-12-29	2009-12-26
8	2009-12-30	2009-12-27
9	2009-12-31	2009-12-28
10	2009-12-31	2009-12-28
11	2009-12-31	2009-12-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 WEEK)
1	1997-01-01	1996-12-11
2	1997-01-01	1996-12-11
3	1997-01-02	1996-12-12
4	1997-01-03	1996-12-13
5	1997-01-04	1996-12-14
6	2009-12-28	2009-12-07
7	2009-12-29	2009-12-08
8	2009-12-30	2009-12-09
9	2009-12-31	2009-12-10
10	2009-12-31	2009-12-10
11	2009-12-31	2009-12-10
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 MONTH)
1	1997-01-01	1996-10-01
2	1997-01-01	1996-10-01
3	1997-01-02	1996-10-02
4	1997-01-03	1996-10-03
5	1997-01-04	1996-10-04
6	2009-12-28	2009-09-28
7	2009-12-29	2009-09-29
8	2009-12-30	2009-09-30
9	2009-12-31	2009-09-30
10	2009-12-31	2009-09-30
11	2009-12-31	2009-09-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 QUARTER)
1	1997-01-01	1996-04-01
2	1997-01-01	1996-04-01
3	1997-01-02	1996-04-02
4	1997-01-03	1996-04-03
5	1997-01-04	1996-04-04
6	2009-12-28	2009-03-28
7	2009-12-29	2009-03-29
8	2009-12-30	2009-03-30
9	2009-12-31	2009-03-31
10	2009-12-31	2009-03-31
11	2009-12-31	2009-03-31
