ERROR 122 (HY000) at line 1: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 2: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 3: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 4: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 5: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 6: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 7: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 8: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 9: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 10: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 11: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 12: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 13: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 14: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 15: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 16: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 17: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 18: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 19: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 20: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 21: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 22: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 23: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 24: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 25: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 26: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 27: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 28: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 29: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 30: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 31: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 32: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 33: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 34: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 35: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 36: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 37: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 38: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 39: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 40: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 41: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 42: The system is not yet ready to accept queries
ERROR 122 (HY000) at line 43: The system is not yet ready to accept queries
cidx	CVCHAR5	IF(CVCHAR5>'aaa','Yes','No')
1	aaaaa	Yes
2	e	Yes
3	ee	Yes
4	eee	Yes
5	eeee	Yes
6	vvvvv	Yes
7	vvvvv	Yes
8	vvvvv	Yes
9	vvvvv	Yes
10	zzzzz	Yes
11	NULL	No
cidx	CVCHAR5	IF(CVCHAR5>'aaa','Yes','No')
1	aaaaa	Yes
2	e	Yes
3	ee	Yes
4	eee	Yes
5	eeee	Yes
6	vvvvv	Yes
7	vvvvv	Yes
8	vvvvv	Yes
9	vvvvv	Yes
10	zzzzz	Yes
11	NULL	No
cidx	CVCHAR6	IF(CVCHAR6>'aaa','Yes','No')
1	aaaaaa	Yes
2	f	Yes
3	ff	Yes
4	fff	Yes
5	ffff	Yes
6	uuuuuu	Yes
7	uuuuuu	Yes
8	uuuuuu	Yes
9	uuuuuu	Yes
10	zzzzzz	Yes
11	NULL	No
cidx	CVCHAR6	IF(CVCHAR6>'aaa','Yes','No')
1	aaaaaa	Yes
2	f	Yes
3	ff	Yes
4	fff	Yes
5	ffff	Yes
6	uuuuuu	Yes
7	uuuuuu	Yes
8	uuuuuu	Yes
9	uuuuuu	Yes
10	zzzzzz	Yes
11	NULL	No
cidx	CVCHAR6	IF(CVCHAR6>'aaa','Yes','No')
1	aaaaaa	Yes
2	f	Yes
3	ff	Yes
4	fff	Yes
5	ffff	Yes
6	uuuuuu	Yes
7	uuuuuu	Yes
8	uuuuuu	Yes
9	uuuuuu	Yes
10	zzzzzz	Yes
11	NULL	No
cidx	CVCHAR7	IF(CVCHAR7>'aaa','Yes','No')
1	aaaaaaa	Yes
2	g	Yes
3	gg	Yes
4	ggg	Yes
5	gggg	Yes
6	ttttttt	Yes
7	ttttttt	Yes
8	ttttttt	Yes
9	ttttttt	Yes
10	zzzzzzz	Yes
11	NULL	No
cidx	CVCHAR7	IF(CVCHAR7>'aaa','Yes','No')
1	aaaaaaa	Yes
2	g	Yes
3	gg	Yes
4	ggg	Yes
5	gggg	Yes
6	ttttttt	Yes
7	ttttttt	Yes
8	ttttttt	Yes
9	ttttttt	Yes
10	zzzzzzz	Yes
11	NULL	No
cidx	CVCHAR7	IF(CVCHAR7>'aaa','Yes','No')
1	aaaaaaa	Yes
2	g	Yes
3	gg	Yes
4	ggg	Yes
5	gggg	Yes
6	ttttttt	Yes
7	ttttttt	Yes
8	ttttttt	Yes
9	ttttttt	Yes
10	zzzzzzz	Yes
11	NULL	No
cidx	CVCHAR8	IF(CVCHAR8>'aaa','Yes','No')
1	aaaaaaaa	Yes
2	h	Yes
3	hh	Yes
4	hhh	Yes
5	hhhh	Yes
6	sssssss	Yes
7	ssssssss	Yes
8	ssssssss	Yes
9	ssssssss	Yes
10	zzzzzzzz	Yes
11	NULL	No
