cidx	CCHAR1	LENGTH(CCHAR1)
1	a	1
2	a	1
3	a	1
4	a	1
5	a	1
6	z	1
7	z	1
8	z	1
9	z	1
10	z	1
11	NULL	NULL
cidx	CCHAR2	LENGTH(CCHAR2)
1	aa	2
2	b	1
3	bb	2
4	bb	2
5	bb	2
6	yy	2
7	yy	2
8	yy	2
9	yy	2
10	zz	2
11	NULL	NULL
cidx	CCHAR3	LENGTH(CCHAR3)
1	aaa	3
2	c	1
3	cc	2
4	ccc	3
5	ccc	3
6	xxx	3
7	xxx	3
8	xxx	3
9	xxx	3
10	zzz	3
11	NULL	NULL
cidx	CCHAR4	LENGTH(CCHAR4)
1	aaaa	4
2	d	1
3	dd	2
4	ddd	3
5	dddd	4
6	wwww	4
7	wwww	4
8	wwww	4
9	wwww	4
10	zzzz	4
11	NULL	NULL
cidx	CCHAR5	LENGTH(CCHAR5)
1	aaaaa	5
2	e	1
3	ee	2
4	eee	3
5	eeee	4
6	vvvvv	5
7	vvvvv	5
8	vvvvv	5
9	vvvvv	5
10	zzzzz	5
11	NULL	NULL
cidx	CCHAR6	LENGTH(CCHAR6)
1	aaaaaa	6
2	f	1
3	ff	2
4	fff	3
5	ffff	4
6	uuuuuu	6
7	uuuuuu	6
8	uuuuuu	6
9	uuuuuu	6
10	zzzzzz	6
11	NULL	NULL
cidx	CCHAR7	LENGTH(CCHAR7)
1	aaaaaaa	7
2	g	1
3	gg	2
4	ggg	3
5	gggg	4
6	ttttttt	7
7	ttttttt	7
8	ttttttt	7
9	ttttttt	7
10	zzzzzzz	7
11	NULL	NULL
cidx	CCHAR8	LENGTH(CCHAR8)
1	aaaaaaaa	8
2	h	1
3	hh	2
4	hhh	3
5	hhhh	4
6	sssssss	7
7	ssssssss	8
8	ssssssss	8
9	ssssssss	8
10	zzzzzzzz	8
11	NULL	NULL
cidx	CCHAR9	LENGTH(CCHAR9)
1	aaaaaaaaa	9
2	i	1
3	ii	2
4	iii	3
5	iiii	4
6	rrrrrrr	7
7	rrrrrrrr	8
8	rrrrrrrrr	9
9	rrrrrrrrr	9
10	zzzzzzzzz	9
11	NULL	NULL
cidx	CCHAR255	LENGTH(CCHAR255)
1	aaaaaaaaaa	10
2	j	1
3	jj	2
4	jjj	3
5	jjjj	4
6	qqqqqqq	7
7	qqqqqqqq	8
8	qqqqqqqqq	9
9	qqqqqqqqqq	10
10	zzzzzzzzzz	10
11	NULL	NULL
cidx	CVCHAR1	LENGTH(CVCHAR1)
1	a	1
2	a	1
3	a	1
4	a	1
5	a	1
6	z	1
7	z	1
8	z	1
9	z	1
10	z	1
11	NULL	NULL
cidx	CVCHAR2	LENGTH(CVCHAR2)
1	aa	2
2	b	1
3	bb	2
4	bb	2
5	bb	2
6	yy	2
7	yy	2
8	yy	2
9	yy	2
10	zz	2
11	NULL	NULL
cidx	CVCHAR3	LENGTH(CVCHAR3)
1	aaa	3
2	c	1
3	cc	2
4	ccc	3
5	ccc	3
6	xxx	3
7	xxx	3
8	xxx	3
9	xxx	3
10	zzz	3
11	NULL	NULL
cidx	CVCHAR4	LENGTH(CVCHAR4)
1	aaaa	4
2	d	1
3	dd	2
4	ddd	3
5	dddd	4
6	wwww	4
7	wwww	4
8	wwww	4
9	wwww	4
10	zzzz	4
11	NULL	NULL
cidx	CVCHAR5	LENGTH(CVCHAR5)
1	aaaaa	5
2	e	1
3	ee	2
4	eee	3
5	eeee	4
6	vvvvv	5
7	vvvvv	5
8	vvvvv	5
9	vvvvv	5
10	zzzzz	5
11	NULL	NULL
cidx	CVCHAR6	LENGTH(CVCHAR6)
1	aaaaaa	6
2	f	1
3	ff	2
4	fff	3
5	ffff	4
6	uuuuuu	6
7	uuuuuu	6
8	uuuuuu	6
9	uuuuuu	6
10	zzzzzz	6
11	NULL	NULL
cidx	CVCHAR7	LENGTH(CVCHAR7)
1	aaaaaaa	7
2	g	1
3	gg	2
4	ggg	3
5	gggg	4
6	ttttttt	7
7	ttttttt	7
8	ttttttt	7
9	ttttttt	7
10	zzzzzzz	7
11	NULL	NULL
cidx	CVCHAR8	LENGTH(CVCHAR8)
1	aaaaaaaa	8
2	h	1
3	hh	2
4	hhh	3
5	hhhh	4
6	sssssss	7
7	ssssssss	8
8	ssssssss	8
9	ssssssss	8
10	zzzzzzzz	8
11	NULL	NULL
cidx	CVCHAR255	LENGTH(CVCHAR255)
1	aaaaaaaaaa	10
2	j	1
3	jj	2
4	jjj	3
5	jjjj	4
6	qqqqqqq	7
7	qqqqqqqq	8
8	qqqqqqqqq	9
9	qqqqqqqqqq	10
10	zzzzzzzzzz	10
11	NULL	NULL
cidx	LENGTH('ALOHA')
1	5
2	5
3	5
4	5
5	5
6	5
7	5
8	5
9	5
10	5
11	5
cidx	LENGTH('HAWAII')
1	6
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	6
10	6
11	6
cidx	LENGTH('MELEKALIKIMAKA')
1	14
2	14
3	14
4	14
5	14
6	14
7	14
8	14
9	14
10	14
11	14
cidx	CCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR2
11	NULL
2	b
1	aa
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR3
11	NULL
2	c
3	cc
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR4
11	NULL
2	d
3	dd
4	ddd
1	aaaa
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR5
11	NULL
2	e
3	ee
4	eee
5	eeee
1	aaaaa
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR6
11	NULL
2	f
3	ff
4	fff
5	ffff
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR7
11	NULL
2	g
3	gg
4	ggg
5	gggg
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR8
11	NULL
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR9
11	NULL
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
1	aaaaaaaaa
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR255
11	NULL
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR2
11	NULL
2	b
1	aa
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR3
11	NULL
2	c
3	cc
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR4
11	NULL
2	d
3	dd
4	ddd
1	aaaa
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR5
11	NULL
2	e
3	ee
4	eee
5	eeee
1	aaaaa
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR6
11	NULL
2	f
3	ff
4	fff
5	ffff
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR7
11	NULL
2	g
3	gg
4	ggg
5	gggg
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR8
11	NULL
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR255
11	NULL
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
