cidx	CCHAR1	LOCATE('aaa',CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	LOCATE('zz',CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	LOCATE('aaaaaaaaaaaa',CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR1	LOCATE('zzzzzzzzzzzzzz',CCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CCHAR2	LOCATE('aaa',CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR2	LOCATE('zz',CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	1
11	NULL	NULL
cidx	CCHAR2	LOCATE('aaaaaaaaaaaa',CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR2	LOCATE('zzzzzzzzzzzzzz',CCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CCHAR3	LOCATE('aaa',CCHAR3)
1	aaa	1
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR3	LOCATE('zz',CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	1
11	NULL	NULL
cidx	CCHAR3	LOCATE('aaaaaaaaaaaa',CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR3	LOCATE('zzzzzzzzzzzzzz',CCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CCHAR4	LOCATE('aaa',CCHAR4)
1	aaaa	1
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR4	LOCATE('zz',CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	1
11	NULL	NULL
cidx	CCHAR4	LOCATE('aaaaaaaaaaaa',CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR4	LOCATE('zzzzzzzzzzzzzz',CCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CCHAR5	LOCATE('aaa',CCHAR5)
1	aaaaa	1
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR5	LOCATE('zz',CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	1
11	NULL	NULL
cidx	CCHAR5	LOCATE('aaaaaaaaaaaa',CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR5	LOCATE('zzzzzzzzzzzzzz',CCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CCHAR6	LOCATE('aaa',CCHAR6)
1	aaaaaa	1
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR6	LOCATE('zz',CCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	1
11	NULL	NULL
