cidx	CBIGINT	LOG10(CBIGINT)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	13.8575547426909
7	72036854775804	13.8575547426909
8	72036854775805	13.8575547426909
9	72036854775806	13.8575547426909
10	72036854775807	13.8575547426909
11	0	NULL
cidx	CDECIMAL1	LOG10(CDECIMAL1)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	0.698970004336019
7	6	0.778151250383644
8	7	0.845098040014257
9	8	0.903089986991944
10	9	0.954242509439325
11	0	NULL
cidx	CDECIMAL4	LOG10(CDECIMAL4)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	2.99782308074573
7	996	2.9982593384237
8	997	2.99869515831166
9	998	2.99913054128737
10	999	2.99956548822598
11	0	NULL
cidx	CDECIMAL4_2	LOG10(CDECIMAL4_2)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	0.997823080745725
7	9.96	0.998259338423699
8	9.97	0.998695158311656
9	9.98	0.999130541287371
10	9.99	0.999565488225982
11	0.00	NULL
cidx	CDECIMAL5	LOG10(CDECIMAL5)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	2.99782308074573
7	996	2.9982593384237
8	997	2.99869515831166
9	998	2.99913054128737
10	999	2.99956548822598
11	0	NULL
cidx	CDECIMAL9	LOG10(CDECIMAL9)
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	5.99999782852216
7	999996	5.9999982628186
8	999997	5.9999986971146
9	999998	5.99999913141017
10	999999	5.9999995657053
11	0	NULL
cidx	CDECIMAL9_2	LOG10(CDECIMAL9_2)
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	3.99999782852216
7	9999.96	3.9999982628186
8	9999.97	3.9999986971146
9	9999.98	3.99999913141017
10	9999.99	3.9999995657053
11	0.00	NULL
cidx	CDECIMAL10	LOG10(CDECIMAL10)
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	6.99999978285271
7	9999996	6.99999982628217
8	9999997	6.99999986971164
9	9999998	6.9999999131411
10	9999999	6.99999995657055
11	0	NULL
cidx	CDECIMAL18	LOG10(CDECIMAL18)
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	12.9999999999998
7	9999999999996	12.9999999999998
8	9999999999997	12.9999999999999
9	9999999999998	12.9999999999999
10	9999999999999	13
11	0	NULL
cidx	CDECIMAL18_2	LOG10(CDECIMAL18_2)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	10.9999999999998
7	99999999999.96	10.9999999999998
8	99999999999.97	10.9999999999999
9	99999999999.98	10.9999999999999
10	99999999999.99	11
11	0.00	NULL
cidx	CINTEGER	LOG10(CINTEGER)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	6.87411306172107
7	7483644	6.87411311975356
8	7483645	6.87411317778604
9	7483646	6.87411323581852
10	7483647	6.87411329385099
11	0	NULL
cidx	CSMALLINT	LOG10(CSMALLINT)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	2.88252453795488
7	764	2.88309335857569
8	765	2.88366143515362
9	766	2.8842287696326
10	767	2.88479536394898
11	0	NULL
cidx	CTINYINT	LOG10(CTINYINT)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	1.36172783601759
7	24	1.38021124171161
8	25	1.39794000867204
9	26	1.41497334797082
10	27	1.43136376415899
11	0	NULL
cidx	LOG10(-1)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	LOG10(0)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	LOG10(2)
1	0.301029995663981
2	0.301029995663981
3	0.301029995663981
4	0.301029995663981
5	0.301029995663981
6	0.301029995663981
7	0.301029995663981
8	0.301029995663981
9	0.301029995663981
10	0.301029995663981
11	0.301029995663981
cidx	LOG10(265536)
1	5.42412340881286
2	5.42412340881286
3	5.42412340881286
4	5.42412340881286
5	5.42412340881286
6	5.42412340881286
7	5.42412340881286
8	5.42412340881286
9	5.42412340881286
10	5.42412340881286
11	5.42412340881286
cidx	LOG10(100)
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
cidx	LOG10(-100)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
