cidx	CDECIMAL1	LOG2(CDECIMAL1)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	2.32192809488736
7	6	2.58496250072116
8	7	2.8073549220576
9	8	3
10	9	3.16992500144231
11	0	NULL
cidx	CDECIMAL4	LOG2(CDECIMAL4)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	9.95855271543101
7	996	9.96000193206808
8	997	9.9614496943982
9	998	9.96289600533726
10	999	9.96434086779242
11	0	NULL
cidx	CDECIMAL4_2	LOG2(CDECIMAL4_2)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	3.31469652565629
7	9.96	3.31614574229336
8	9.97	3.31759350462347
9	9.98	3.31903981556254
10	9.99	3.32048467801769
11	0.00	NULL
cidx	CDECIMAL5	LOG2(CDECIMAL5)
1	-999	NULL
2	-998	NULL
3	-997	NULL
4	-996	NULL
5	-995	NULL
6	995	9.95855271543101
7	996	9.96000193206808
8	997	9.9614496943982
9	998	9.96289600533726
10	999	9.96434086779242
11	0	NULL
cidx	CDECIMAL9	LOG2(CDECIMAL9)
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	19.9315613558309
7	999996	19.9315627985325
8	999997	19.9315642412326
9	999998	19.9315656839312
10	999999	19.9315671266284
11	0	NULL
cidx	CDECIMAL9_2	LOG2(CDECIMAL9_2)
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	13.2877051660562
7	9999.96	13.2877066087577
8	9999.97	13.2877080514578
9	9999.98	13.2877094941565
10	9999.99	13.2877109368537
11	0.00	NULL
cidx	CDECIMAL10	LOG2(CDECIMAL10)
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	23.2534959428638
7	9999996	23.2534960871334
8	9999997	23.253496231403
9	9999998	23.2534963756725
10	9999999	23.253496519942
11	0	NULL
cidx	CDECIMAL18	LOG2(CDECIMAL18)
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	43.185065233535
7	9999999999996	43.1850652335351
8	9999999999997	43.1850652335353
9	9999999999998	43.1850652335354
10	9999999999999	43.1850652335356
11	0	NULL
cidx	CDECIMAL18_2	LOG2(CDECIMAL18_2)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	36.5412090437603
7	99999999999.96	36.5412090437604
8	99999999999.97	36.5412090437606
9	99999999999.98	36.5412090437607
10	99999999999.99	36.5412090437608
11	0.00	NULL
cidx	CINTEGER	LOG2(CINTEGER)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	22.8353093071634
7	7483644	22.8353094999432
8	7483645	22.8353096927229
9	7483646	22.8353098855026
10	7483647	22.8353100782823
11	0	NULL
cidx	CSMALLINT	LOG2(CSMALLINT)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	9.57553924683453
7	764	9.57742882803575
8	765	9.57931593758001
9	766	9.58120058192496
10	767	9.58308276750293
11	0	NULL
cidx	CTINYINT	LOG2(CTINYINT)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	4.52356195605701
7	24	4.58496250072116
8	25	4.64385618977472
9	26	4.70043971814109
10	27	4.75488750216347
11	0	NULL
cidx	LOG2(-1)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	LOG2(0)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	LOG2(2)
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
cidx	LOG2(265536)
1	18.0185479418717
2	18.0185479418717
3	18.0185479418717
4	18.0185479418717
5	18.0185479418717
6	18.0185479418717
7	18.0185479418717
8	18.0185479418717
9	18.0185479418717
10	18.0185479418717
11	18.0185479418717
cidx	LOG2(100)
1	6.64385618977473
2	6.64385618977473
3	6.64385618977473
4	6.64385618977473
5	6.64385618977473
6	6.64385618977473
7	6.64385618977473
8	6.64385618977473
9	6.64385618977473
10	6.64385618977473
11	6.64385618977473
cidx	LOG2(-100)
1	NULL
2	NULL
3	NULL
4	NULL
5	NULL
6	NULL
7	NULL
8	NULL
9	NULL
10	NULL
11	NULL
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
11	0
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
